№ действия,"Роль (актор на конкретном шаге, в т.ч. Судья)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,Необходимость рассмотрения заявления об истребовании доказательств,—,Возникла необходимость рассмотреть заявление об истребовании доказательств,—,"Судья принимает решение о необходимости рассмотрения заявления об истребовании доказательств. Согласно ч.4 ст. 66 АПК РФ: лицо, участвующее в деле и не имеющее возможности самостоятельно получить необходимое доказательство от лица, у которого оно находится, вправе обратиться в арбитражный суд с ходатайством об истребовании данного доказательства.В ходатайстве должно быть обозначено доказательство, указано, какие обстоятельства, имеющие значение для дела, могут быть установлены этим доказательством, указаны причины, препятствующие получению доказательства, и место его нахождения. При удовлетворении ходатайства суд истребует соответствующее доказательство от лица, у которого оно находится."
1,Судья,Заявление об истребовании доказательств,"",Изучить обозначенное в ходатайстве доказательство,—,"Судья изучает содержание заявления об истребовании доказательств, анализирует указанное в нем доказательство. Автоматическое извлечение ключевых данных из ходатайства с помощью OCR и ML"
2,Судья,—,—, Параллельный шлюз,—,Параллельный шлюз для координации процессов. Переход к шагам 3-5
3,Система,—,"Анализ обстоятельств, которые могут быть установлены доказательством",Проанализировать обстаятельства,—,"Система анализирует, какие обстоятельства, имеющие значение для дела, могут быть установлены с помощью истребуемого доказательства"
4,Система,—,"Анализ причин, препятствующих получению доказательства",Проанализировать препятствие,—,"Система проверяет причины, препятствующие получению доказательства заявителем самостоятельно"
5,Система,—,Проверка указания местонахождения доказательства,Проанализировать местонахождение,—,"Система проверяет, указано ли в ходатайстве местонахождение истребуемого доказательства"
6,Судья,—,—, Параллельный шлюз,—,"Параллельный шлюз для координации процессов, переход к шагу 7 "
7,Судья,—,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
8,Судья,Результаты всех проверок,Решение об обоснованности ходатайства,Суд приходит к выводу об обоснованности заявления об истребовании доказательств? Эксклюзивный шлюз,—,Судья на основе результатов всех проверок принимает решение об обоснованности заявления об истребовании доказательств.Автоматическая поддержка принятия решений на основе анализа всех критериев
9,Система,—,—,Установить основания для удовлетворения ходатайства,—,Система устанавливает конкретные основания для удовлетворения ходатайства об истребовании доказательств. Автоматическая поддержка принятия решений на основе анализа всех критериев
10,Система,—,—,Сохранить данные,—,Система сохраняет данные
11,Судья,—,—,Завершение процесса. Переход в основной процесс,—,Судья передает управление в основной процесс рассмотрения дела для истребования доказательства
12,Судья,—,Определение об отказе в удовлетворении ходатайства,ТБП80.Принять СА,—,"Переход к типовому процессу ""Принять СА"". В результате данного процесса Судья принимает судебный акт (определение) об отказе в удовлетворении ходатайства об истребовании доказательствАвтоматическая генерация определения на основе шаблона"
13,Канцелярия суда ,Определение об отказе в удовлетворении ходатайства,—,ТБП46.Направить документ,"1. Не позднее следующего дня после дня принятия СА – для направления электронного документа путем публикации в информационно-телекоммуникационной сети ""Интернет"".2. 5 дней со дня принятия решения - для СА, изготовленного только на бумажном носителе.3. 5 дней с момента получения ходатайства о необходимости выдать СА на бумажном носители если он был принят в форме электронного документа","Канцелярия суда первой инстанции направляет определение об отказе в удовлетворении ходатайства заявителю. Согласно ст. 186 АПК РФ: Определение, вынесенное в виде отдельного судебного акта, выполненное в форме электронного документа, направляется лицам, участвующим в деле, и другим заинтересованным лицам посредством его размещения в установленном порядке в информационно-телекоммуникационной сети ""Интернет"" в режиме ограниченного доступа не позднее следующего дня после дня его вынесения, если иное не установлено настоящим Кодексом.По ходатайству указанных лиц копии определения, вынесенного в виде отдельного судебного акта, на бумажном носителе могут быть направлены им в пятидневный срок со дня поступления соответствующего ходатайства в арбитражный суд заказным письмом с уведомлением о вручении или вручены им под расписку. В случае, если определение выполнено только на бумажном носителе, арбитражный суд направляет указанным лицам копии определения в пятидневный срок со дня вынесения определения заказным письмом с уведомлением о вручении или вручает им под расписку, если иной срок не установлен настоящим Кодексом.Определение, выполненное в форме электронного документа, может быть также направлено указанным лицам посредством единого портала государственных и муниципальных услуг либо системы электронного документооборота участника арбитражного процесса с использованием единой системы межведомственного электронного взаимодействия.Автоматическая отправка документов через электронные каналы связи"
14,Канцелярия суда,—,—,Завершение процесса. Вынесено определение об отказе в удовлетворении ходатайства,—,Вынесено определение об отказе в удовлетворении ходатайства
15,ЛУВД,Определение об отказе в удовлетворении ходатайства,—,Получено определение,—,ЛУВД получает определение об отказе в удовлетворении ходатайства об истребовании доказательствАвтоматическое уведомление о поступлении документов
16,ЛУВД,—,—,Ознакомиться в ЛК,—,ЛУВД знакомится с содержанием определения об отказе в удовлетворении ходатайства
17,Система,—,—,Отправить время ознакомления,—,Система фиксирует время ознакомления и уведомляет пользователя
18,ЛУВД,—,—,Есть основания для обжалования? Эксклюзивный шлюз,—,"ЛУВД анализирует определение на предмет наличия оснований для обжалования.Да: переход к шагу 16,Нет: переход к шагу 17"
19,ЛУВД,—,—,Переход к процессу апелляционного обжалования,—,Переход к процессу апелляционного обжалования
20,ЛУВД,—,—,Завершение процесса.Лицо ознакомлено с определением,—,Лицо ознакомлено с определением
