№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Председатель/заместитель председателя,—,—,Возникла необходимость формирования кадрового резерва. Стартовое событие,—,Председатель/заместитель председателя инициирует процесс формирования кадрового резерва. Старт процесса.
1,Председатель/заместитель председателя,—,Положение о кадровом резерве,ОБП37 Принять приказ по кадровому вопросу,—,"ОБП37: «Принять приказ по кадровому вопросу», результатом которого будет изданное и подписанное председателем суда положение о кадровом резерве"
2,Сотрудник отдела кадров,—,-,Начать подготовительный этап формирования,—,Сотрудник отдела кадров инициирует начало подготовительного этапа формирования кадрового резерва.
3,Сотрудник отдела кадров,—,Карточка кадрового резерва,Создать и заполнить новую карточку кадрового резерва,—,Сотрудник отдела кадров создает и заполняет новую карточку кадрового резерва
4,Сотрудник отдела кадров,—,—,Информировать о вакансиях через СМИ,—,Сотрудник отдела кадров информирует о вакансиях через СМИ
5,Система,—,—,Информировать о вакансиях через внутренние каналы,—,Система автоматически информирует о вакансиях через внутренние каналы суда всех сотрудников
6,Сотрудник отдела кадров,Карточка кадрового резерва,—,Объявить конкурс на включение в кадровый резерв,—,Сотрудник отдела кадров объявляет конкурс на включение в кадровый резерв
7,Система,—,—,Разместить информацию о приеме документов для участия в конкурсе,—,Система автоматически размещает информацию о приеме документов для участия в конкурсе
8,Система,—,—,Разместить информацию о конкурсе,—,Система автоматически размещает информацию о самом конкурсе и требованиях к кандидатам 
9,Система,—,—,Указать срок приема документов,—,Система автоматически указывает срок приема документов
10,Система,—,—,Указать предполагаемую дату проведения конкурса,—,Система автоматически указывает предполагаемую дату проведения конкурса
11,Система,—,—,Указать место и порядок проведения конкурса,—,Система указывает место и порядок проведения конкурса
12,Сотрудник/кандидат на должность,—,—,Кто желает встать в кадровый резерв? Эксклюзивный открывающий шлюз,—,Кто желает встать в кадровый резерв?Сотрудник: переход к шагу 17Гражданин-кандидат на должность: переход к шагу 13
13,Сотрудник/кандидат на должность,—,"Документы о кандидате, Заявление",Составить личное заявление,—,Сотрудник/кандидат на должность выполняет составляет личное заявление
14,Сотрудник/кандидат на должность,—,—,Заполнить анкету,21 календарный день,Гражданин-кандидат на должность заполняет подготовленную судом анкету.
15,Сотрудник/кандидат на должность,—,—,Приложить необходимые документы,—,Сотрудник/кандидат на должность выполняет прикладывает необходимые документы
16,Сотрудник/кандидат на должность,—,—,Подать документы на участие в конкурсе,21 календарный день,Сотрудник/кандидат на должность подает документы на участие в конкурсе
17,Сотрудник/кандидат на должность,—,Заявление,Подготовить заявление на имя председателя,—,Сотрудник/кандидат на должность готовит заявление на имя председателя суда
18,Сотрудник/кандидат на должность,—,—,Направить документ,—,Сотрудник/кандидат на должность направляет документ председателю суда
19,Председатель/заместитель председателя,—,—,Ознакомиться с заявлением сотрудника на включение в резерв,—,Председатель/заместитель председателя знакомится с заявлением сотрудника на включение в кадровый резерв
20,Председатель/заместитель председателя,—,—,Необходимо проведение конкурса для включения в кадровый резерв? Эксклюзивный открывающий шлюз,—,"Необходимо проведение конкурса для включения в кадровый резерв? Если да, то переход к шагу 22Если нет, то переход к шагу 21"
21,Председатель/заместитель председателя,—,—,Дать указание включить сотрудника в кадровый резерв,—,Председатель/заместитель председателя дает указание включить сотрудника в кадровый резерв
22,Сотрудник отдела кадров,—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 16-го, 20-го шага"
23,Система, Карточка кадрового резерва,Список кандидатов,"Формировать список кандидатов, подавших документы",30 календарных дней после завершения приема документов,"Система автоматически формирует список кандидатов, подавших документы."
24,Система,—,—,Ожидать окончания срока для предоставления документа,—,Система ожидает окончания срока для предоставления документов от кандидатов на участие в конкурсе
25,Председатель/заместитель председателя,—,—,"Принять решение о дате, месте и времени конкурса",Не позднее 15 календарных дней до даты проведения конкурса,"Председатель/заместитель председателя принимает решение о дате, месте и времени конкурса"
26,Система,—,—,"Передать сведения о дате, месте и времени конкурса",—,"Система автоматически передает сведения о дате, месте и времени конкурса"
27,Система,—,—,"Разместить точную дату, место и время на сайте суда",—,"Система размещает точную дату, место и время на сайте суда"
28,Конкурсная комиссия,—,—,Провести конкурс,—,Конкурсная комиссия проводит конкурс
29,Конкурсная комиссия,—,—,Дать оценку кандидатам,—,""
30,Конкурсная комиссия,—,—,Принять решение о возможности включения в кадровый резерв,—,Конкурсная комиссия принимает решение о возможности включения в кадровый резерв
31,Конкурсная комиссия,—,Протокол,Оформить результаты голосования и решение протоколом,—,"Конкурсная комиссия оформляет протокол, в котором указываются результаты голосования членов комиссии и итоговое решение по кандидатам."
32,Конкурсная комиссия,—,—,Подписать протокол,—,Все члены конкурсной комиссии подписывают протокол УКЭП в системе
33,Система,—,—,Передать на подпись председателю,7 дней со дня завершения конкурса,Система автоматически передает протокол на подпись председателю суда
34,Председатель/заместитель председателя,"Согласие кандидатов на включение в кадровый резерв, Протокол",—,Подписать протокол,—,Председатель/заместитель председателя подписывает протокол УКЭП в системе
35,Сотрудник отдела кадров,—,Сообщение о результатах конкурса,Сообщить о результатах конкурса кандидатам,—,Сотрудник отдела кадров сообщает о результатах конкурса кандидатам
36,Сотрудник отдела кадров,—,"Выписка из протокола, Согласие кандидатов",Отобрать согласие кандидатов на включение в кадровый резерв,—,Сотрудник отдела кадров отбирает согласие кандидатов на включение в кадровый резерв
37,Сотрудник отдела кадров,—,—,По результатам конкурса было принято решение об отказе во включении в кадровый резерв? Эксклюзивный открывающий шлюз,—,"По результатам конкурса было принято решение об отказе во включении в кадровый резерв?Если да, то переход к шагу 38Если нет, то переход к шагу 42Сотрудник отдела кадров выдает выписку из протокола кандидату лично или направляет заказным почтовым направлением с уведомлением."
38,Сотрудник отдела кадров,—,Выписка из протокола,"Подготовить выписку из протокола, содержащую решение об отказе",—,"Сотрудник отдела кадров готовит выписку из протокола, содержащую решение об отказе"
39,Система,—,—,Направить выписку кандидату,—,Система автоматически направляет выписку в ЛК кандидата 
