Номер действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага процесса,Срок,Описание процесса
0,Судья,Ходатайство о раздельном рассмотрении требований,-,Возникла необходимость решить вопрос о раздельном рассмотрении требованийСтартовое событие,-,"В соответствии со ст. 160 АПК РФ «В случае, если в одном заявлении соединены требование об установлении оснований ответственности ответчика и связанное с ним требование о применении мер ответственности, арбитражный суд вправе с согласия сторон рассмотреть такие требования в раздельных судебных заседаниях. О рассмотрении дела в раздельных судебных заседаниях выносится определение».У судьи возникла необходимость решить вопрос о раздельном рассмотрении требований. Старт процесса."
1,Судья,-,-,Было отказано в удовлетворении требований об установлении оснований ответственности ответчика?Эксклюзивный шлюз,-,"При отказе в удовлетворении требования об установлении оснований ответственности ответчика арбитражный суд не рассматривает связанное с ним требование о применении мер ответственности и второе судебное заседание не проводит.Судья смотрит было ли отказано в удовлетворении требований об установлении оснований ответственности ответчика?Если «Да», то переход к шагу 2 процесса.Если «Нет», то переход к шагу 3 процесса."
2,Судья,-,-,Завершающее событие,-,Завершение процесса решения вопроса о раздельном рассмотрении требований. Отсутствуют основания для раздельного рассмотрения требований.
3,Судья,-,-,Проверить наличие нескольких самостоятельных требований,-,"Судья проверяет наличие нескольких самостоятельных требований на основании информации, доступной в системе."
4,Судья,-,-,Решить вопрос о необходимость рассматривать требования по частям,-,Судья решает вопрос о необходимость рассматривать требования по частям по итогам анализа требований в системе.
5,Судья,-,-,Узнать мнение сторон,-,Судья узнает мнение сторон по вопросу раздельного рассмотрения требований.
6,ЛУВД,-,-,Возникла необходимость выразить мнение по вопросу раздельного рассмотрения требованийСтартовое событие,-,Сторонам необходимо выразить мнение по вопросу раздельного рассмотрения требований. Стартовое событие
7,ЛУВД,-,-,Высказать мнение,-,ЛУВД высказывают свое мнение по вопросу.
8,ЛУВД,-,-,Завершающее событие,-,Завершение процесса выражения мнения по вопросу.
9,Судья,-,-,Есть возражения?(Эксклюзивный шлюз),-,"Судья смотрит поступили ли возражения от сторон по вопросу раздельного рассмотрения требований.Если «Да», то переход к шагу 12 процесса.Если «Нет», то переход к шагу 10 процесса."
10,Судья,-,-,Проверить отсутствие нарушений прав участников,-,"Судья проверяет отсутствие нарушений прав участников при раздельном рассмотрении требований на основе информации в системе. Необходимо установить, что раздельное рассмотрение требований не нарушает прав других участников процесса."
11,Судья,-,-,Нарушает права?Эксклюзивный шлюз,-,"Судьей установлено, что раздельное рассмотрение требований будет нарушать права других участников?Если «Да», то переход к шагу 12 процесса.Если «Нет», то переход к шагу 17 процесса."
12,Судья,-,-,Закрывающий шлюз,-,"Закрывающий шлюз, объединяющий потоки шага 11 и 9 процесса."
13,Судья,-,-,Вопрос рассматривался по ходатайству лица?(Эксклюзивный шлюз),-,"Суд смотрит рассматривался ли вопрос по ходатайству стороны?Если «Да», то переход к шагу 15 процесса.Если «Нет», то переход к шагу 14 процесса."
14,Судья,-,-,Переход к основному процессу. Завершающее событие,-,Завершение процесса. Вопрос решался по инициативе суда. Раздельное рассмотрение требований невозможно.
15,Судья,-,Протокольное определение об отказе в удовлетворении требований о раздельном рассмотрении,"Переход к типовому процессу ""Принять СА""",-,"Переход к типовому процессу ""Принять СА"", результатом которого будет принятие судом протокольного определения об отказе в удовлетворении требований о раздельном рассмотрении требований.Автогенерация определения об отказе на основе шаблона с последующей валидацией и подписанием ЭП судьей."
16,Судья,-,-,Переход к основному процессу. Завершающее событие,-,Завершение процесса. Раздельное рассмотрение требований невозможно.
17,Судья,-,-,"Зафиксировать, какие вопросы выносятся в отдельное СЗ",-,Судья фиксирует в системе какие именно требования выносятся в отдельное судебное заседание.
18,Судья,-,-,Зафиксировать порядок рассмотрения вопросов,-,Судья фиксирует в системе порядок рассмотрения вопросов.
19,Судья,-,-,Зафиксировать дату и время второго СЗ,-,"При необходимости можно назначать более двух заседаний в зависимости от количества требований, которые необходимо рассмотреть раздельно. Судья фиксирует дату и время второго судебного заседания в системе."
20,Судья,-,Определение о назначении СЗ,"Переход к типовому процессу ""Назначить СЗ""",-,"В случае удовлетворения требования об установлении оснований ответственности ответчика арбитражный суд сразу же или после перерыва, срок которого не может превышать пять дней, вправе провести второе судебное заседание и в этом судебном заседании рассмотреть требование о применении мер ответственности, в том числе определить размер взыскиваемой суммы. По результатам рассмотрения арбитражный суд принимает решение по всем заявленным требованиям. Переход к типовому процессу ""Назначить СЗ"", результатом которого будет вынесение определения о назначении судебного заседания, сформированного системой и провалидированного со стороны судьи.В рамках процесса - предложение даты, времени и места проведения СЗ системой на основании данных календарей, валидация даты и времени со стороны участников процесса."
21,Канцелярия,-,-,"Переход к типовому процессу ""Направить документ""",5 дней с момента вынесения,"Переход к типовому процессу ""Направить документ"", результатом которого будет направление сторонам определения о назначении судебного заседания."
22,Канцелярия,-,-,Рассмотрен вопрос о раздельном рассмотрении требований. Завершающее событие,-,Завершение процесса. Рассмотрен вопрос о раздельном рассмотрении требований. 
23,ЛУВД,Определение о назначении СЗ,-,Получено определениеСтартовое событие,-,ЛУВД получают определение суда о назначении судебного заседания.
24,ЛУВД,Определение о назначении СЗ,-,Ознакомиться,-,ЛУВД знакомятся с определением суда в ЛК.
25,Система,-,Дата и время ознакомления ЛУВД,Вернуть время ознакомления ,-,Система отправляет данные о дате и времени ознакомления с СА для фиксации данных в системе арбитражного суда. 
26,ЛУВД,-,-,Завершающее событие,-,Завершение процесса на пуле ЛУВД.
