№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Организатор мероприятия,—,—,Возникла необходимость в техническом сопровождении мероприятий проводимых в суде,—,"Возникла необходимость в техническом сопровождении мероприятий, проводимых в суде (круглые столы/заседания Научно-консультативного совета/торжественные собрания/праздничные концерты и т.д.)"
1,Организатор мероприятия,"","",Создать сущность мероприятие,—,Организатор мероприятия составляет программу/пишет сценарий мероприятия с указанием на необходимое техническое сопровождение мероприятия.
2,Организатор мероприятия,—,"",Подготовить программу/сценарий мероприятия,—,"Организатор мероприятия в ИС дает поручение о техническом сопровождении, в карточку поручения прикрепляется программа/сценарий мероприятия"
3,Организатор мероприятия,"",—,Дать поручение о техническом сопровождении,—,"Начальник отдела информатизации получает поручение, изучает программу/сценарий"
4,Начальник отдела информатизации,"","",Изучить программу/сценарий,—,"Начальник отдела информатизации определяет перечень используемой техники (система ВКС, микрофоны, проектор и т.д.)"
5,Начальник отдела информатизации,—,"",Определить перечень используемой техники,—,"Начальник отдела информатизации определяет ответственных лиц - сотрудников отдела информатизации, которые будут обеспечивать техническое сопровождение мероприятия."
6,Начальник отдела информатизации,"","",Определить ответственных лиц,—,Начальник отдела информатизации дает поручение ответственным лицам
7,Начальник отдела информатизации,"","",Дать поручение ответственным лицам,—,Начальник отдела информатизации получает поручение и заблаговременно проверяет работоспособность используемой при проведении мероприятия техники.
8,Сотрудник отдела информатизации,—,—,Проверить работоспособность техники,—,Сотрудник отдела информатизации проверяет работоспособность техники
9,Сотрудник отдела информатизации,—,"",Техника исправна?. Эксклюзивный шлюз,—,Проверяется исправна ли техника?Да: переход к шагу 23Нет: переход к шагу 10
10,Начальник отдела информатизации,—,—,Определить срок ремонта,—,Начальник отдела информатизации получает информацию о неисправности техники и определяет срок ремонта (возможность восстановления работоспособности до начала мероприятия)
11,Начальник отдела информатизации,—,"",До начала мероприятия возможно восстановить техникуЭксклюзивный шлюз,—,До начала мероприятия возможно восстановить технику?Да: переход к шагу 12Нет: переход к шагу 13
12,Начальник отдела информатизации,—,—,ОБП14:Организовать обслуживание оборудования и техники,—,Переход к процессу «ОБП14:Организовать  обслуживание  оборудования и техники». В результате данного ТП Начальник отдела информатизации инициирует обслуживание  оборудования и техники.
13,Начальник отдела информатизации,—,—,Определить возможность получения техники в другом суде,—,Начальник отдела информатизации определяет возможность получения техники в другом суде
14,Начальник отдела информатизации,—,—,Направить запрос на выдачу техники,—,Начальник отдела направляет запрос на выдачу техники
15,Начальник отдела информатизации,—,"",Другой суд предоставит технику?Эксклюзивный шлюз,—,Другой суд предоставит технику?Да: переход к шагу 16Нет: переход к шагу 17
16,Начальник отдела информатизации,—,—,Получить технику,—,"Начальник отдела информатизации получает технику на время проведения мероприятия в другом суде, находящемся в том же городе."
17,Начальник отдела информатизации,—,—,Сообщить организатору об отсутствии техники,—,Начальник отдела информатизации сообщает организатору мероприятия об отсутствии техники
18,Организатор мероприятия,—,—,Определить возможность проведения мероприятия,—,"Организатор мероприятия определить возможность проведения мероприятия (круглый стол в формате ВКС при невозможности проведения ВКС будет отменен, праздничный концерт при неисправности проектора будет проведен и т.д.)"
19,Организатор мероприятия,—,"",Проведение мероприятия возможно?Эксклюзивный шлюз,—,Проведение мероприятия возможно?Да: переход к шагу 21Нет: переход к шагу 20
20,Организатор мероприятия,—,—,Провести мероприятие невозможно по техническим причинам.,—,Провести мероприятие невозможно по техническим причинам
21,Организатор мероприятия,—,—,Изменить программу/сценарий мероприятия,—,Организатор мероприятия изменяет программу/сценарий мероприятия с указанием на новое техническое сопровождение мероприятия
22,Сотрудник отдела информатизации,—,"",Эксклюзивный шлюз,—,"Эксклюзивный шлюз для координации процесса, переход к шагу 23. "
23,Сотрудник отдела информатизации,—,"",Эксклюзивный  шлюз,—,"Эксклюзивный шлюз для координации процесса, переход к шагу 24"
24,Сотрудник отдела информатизации,—,—,Ожидать дату начала мероприятия,—,Сотрудник отдела информатизации ожидает дату начала мероприятия
25,Сотрудник отдела информатизации,—,—,Включить технику,—,"Сотрудник отдела информатизации включают технику. Происходит включение и настройка аудио и видео техники, системы ВКС, проверка, проверка форматов используемых файлов (презентаций, аудиодорожек, видеоматериалов)"
26,Организатор мероприятия,—,—,Провести мероприятие,—,Организатор проводит мероприятие
27,Сотрудник отдела информатизации,—,—,Выключить технику,—,Сотрудник отдела информатизации выключает технику
28,Сотрудник отдела информатизации,—,—,Определить необходимость сохранения записей,—,"Сотрудник отдела информатизации определяет необходимость сохранения записей мероприятия (фото, видео)"
29,Сотрудник отдела информатизации,—,"",Необходимо сохранить записи? Эксклюзивный  шлюз,—,Необходимо сохранить записи?Да: переход к шагу 31Нет: переход к шагу 30
30,Сотрудник отдела информатизации,—,—,Мероприятие проведено.,—,Мероприятие проведено
31,Сотрудник отдела информатизации,—,—,Сохранить записи,—,"Сотрудник отдела информатизации сохраняет видео- и аудиозаписи, фотографии проведённого мероприятия"
32,Сотрудник отдела информатизации,"Видео- и аудиозаписи, фотографии проведённого мероприятия",—,Предоставить доступ к записям,—,"Сотрудник отдела информатизации предоставить доступ к видео- и аудиозаписям, фотографиям проведённого мероприятия организатору мероприятия и уведомляет организатора о месте хранения."
33,Организатор мероприятия,—,—,Ознакомиться с записями,—,"Организатор мероприятия знакомится с видео- и аудиозаписями, фотографиями проведённого мероприятия"
34,Организатор мероприятия,—,—,"Мероприятие проведено. Фото, видео сохранены в электронном архиве суда.",—,"Мероприятие проведено. Фото, видео сохранены в электронном архиве суда."
