№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,"Сотрудник отдела, ответственного за выдачу литературы",—,—,Получены приобретенные печатные издания,__,"Старт процесса инициирует поступление в суд заказанных ранее печатных изданий, когда сотрудник отдела, ответственного за выдачу литературы получает эти издания для выдачи сотрудникам суда."
1,"Сотрудник отдела, ответственного за выдачу литературы",—,Акт приема-передачи,Сформировать акт приема-передачи,__,"Сотрудник отдела, ответственного за выдачу литературы в системе ЕПЦП формирует акт приема-передачи изданий, которые получил, инициатору закупки."
2,Система,—,Уведомление о получении печатных изданий,Уведомить инициатора закупки о получении,__,Система выполняет задачу: 'Уведомить инициатора закупки о получении'.
3,Председатель судебных составов и судебных коллегий,—,—,Получить уведомление о поступлении печатных изданий,__,"Председатель судебных составов и судебных коллегий получает уведомление о том, что издания поступили и их можно получить."
4,Председатель судебных составов и судебных коллегий,Акт приема-передачи,—,Подписать акт приема-передачи,__,Председатель судебных составов и судебных коллегий подписывает УКЭП акт приема-передачи поступившей литературы в системе ЕПЦП
5,Председатель судебных составов и судебных коллегий,—,—,Получить печатные издания,—,Председатель судебных составов и судебных коллегий получает печатные издания на руки для выдачи сотрудникам
6,Председатель судебных составов и судебных коллегий,__,Акт приема-передачи для сотрудников,Сформировать акт приема-передачи для сотрудников суда,__,Председатель судебных составов и судебных коллегий формирует в системе ЕПЦП акт приема-передачи печатных изданий для сотрудников суда своего состава/коллегии
7,Председатель судебных составов и судебных коллегий,—,—,Выдать печатные издания на руки,—,Председатель судебных составов и судебных коллегий выдает печатные издания на руки сотрудникам суда
8,Сотрудники суда,—,—,Подписать акт приема-передачи,__,"Сотрудник суда подписывает УКЭП акт приема передачи, подтверждая получение печатного издания на руки в ЕПЦП "
9,Сотрудники суда,—,—,Получить заказанную литературу,—,Сотрудники суда получает заказанную литературу
10,Сотрудники суда,—,—,Издание получено,—,Завершения процесса выдачи литературы. Заказанное издание получено сотрудником суда.
