№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Судья,—,—,Возникла необходимость в размещении информации в публичный доступ и в решении вопроса о ее деперсонификации,—,—
1,Судья,—,—,Проверить документ/СА на возможность публикации,__,"Судья проверяет документ/СА на возможность публикации в общем доступе. Помимо судебных актов в общем доступе публикуются, например сведения о доходах судей и государственных гражданских служащих, которые тоже подлежат деперсонификации."
2,Судья,__,__,Документ/СА запрещен к публикации?. Эксклюзивный шлюз,__,"Судья проверяет документ/СА запрещен к публикации?Если «Да» - переход к шагу 3,Если «Нет» - переход к шагу 6"
3,Судья,—,—,Установить запрет на публикацию документа/СА,—,Судья Устанавливает запрет на публикацию документа/СА в ИС.
4,Система,—,—,Сохранить запрет публикации и подготовить заглушку СА.,—,Система сохраняет запрет публикации и готовит заглушку для СА.
5,Судья,—,—,Завершающее событие. Документ/СА запрещен для публикации,—,Документ/СА запрещен для публикации
6,Судья,—,—,Выбрать данные для деперсонификации,__,"Судья выбрает данные, которые нужно деперсонифицировать"
7,Судья,—,—,Запустить деперсонификацию документа/СА,__,Судья запускает процесс деперсонификации документа/СА в ИС.
8,Система,—,Деперсонифицированный документ,Деперсонифицировать документ/СА,—,Система деперсонифицирует документ/СА
9,Система,—,—,ТБП139.Проверить выводы системы,—,Переход к ТБП139.Проверить выводы системы. Судья валидирует результат деперсонификации.
10,Судья,—,—,Опубликовать/ обновить документ/СА в КАД Арбитр,__,Судья загружает деперсонифицированный документ/СА в подсистему АИС/ПК САД.
11,КАД  Арбитр,—,—,Получить пакет данных документа/СА,__,"Для системы КАД Арбитр старт процесса происходит с момента, когда от АИС/ПК САД получен пакет данных документа/СА для публикации"
12,КАД  Арбитр,—,—,Сформировать файл в формате .pdf,__,КАД Арбитр формирует файл в формате .pdf
13,КАД  Арбитр,—,—,Определить время публикации,__,КАД Арбитр определяет время публикации. Есть возможность отложенной публикации в системе.
"",КАД  Арбитр,"","",__,__,"В необходимое время (или сразу, если параметры не заданы) КАД Арбитр публикует документ/СА"
14,КАД  Арбитр,__,__,Параллельный  шлюз,__,Параллельный  шлюз
16,КАД  Арбитр,—,—,Записать дату и время публикации,__,КАД Арбитр записывает дату и время публикации 
17,КАД  Арбитр,—,—,Отобразить документ/CA в интерфейсе,__,КАД Арбитр отображает документ/CA в интерфейсе
18,КАД  Арбитр,__,__,Параллельный шлюз,__,Параллельный  шлюз
19,КАД  Арбитр,—,—,Отправить дату опубликования документа/СА,—,КАД Арбитр отправляет дату опубликования документа/СА в ИС суда и на этом процесс для КАД Арбитр завершен.
20,Судья,—,—,Получить данные из КАД Арбитр,—, Сотрудник аппарата суда получает данные из КАД Арбитр.
21,Судья,—,Отчет о  публикации документа/СА,Проверить факт публикации,__,Судья проверяет отчет о публикации документа/СА в ИС суда.
22,Судья,—,__,Документ опубликован корректно? Эксклюзивный шлюз,—,"Судья смотрит документ/СА опубликован корректно?Если «Да» - переход к шагу 23, если нет — переход к шагу 10. "
23,Система,—,—,Записать дату опубликования документа/СА,__,Система сохраняет дату опубликования документа/СА
24,Система,—,—,Отобразить дату опубликования в карточке документа/СА,__,Система отображает дату опубликования в карточке документа/СА.
25,Судья,—,—,Председатель хочет проверить своевременность опубликования? Эксклюзивный  шлюз,—,"Председатель хочет проверить своевременность опубликования? Если «Да», то переход к шагу 26Если «Нет», то переход к шагу 29"
26,Председатель суда,—,—,Проверить своевременность размещения,__,Председатель проверяет своевременность и правильность размещения документа/СА в общем доступе.
27,Председатель суда,—,Отчет о размещении документа/СА,ТБП2. Сформировать отчет,—,Переход к ТБП2. Сформировать отчет. Формируется отчет о публикации
28,Председатель суда,—,—,Сроки соблюдены?. Эксклюзивный шлюз,—,Если «да» - то переход к шагу 29. Если «нет» - то переход к шагу 31
29,Судья,__,__,Закрывающий шлюз.,__,"Закрывающий шлюз, объединяющий потоки из 25-го, 28-го шага"
30,Судья,—,—,Завершающее событие.,—,Завершена публикация акта.
31,Председатель суда,—,—,Зафиксировать нарушение сроков,__,"Если документ/СА опубликован с ошибками в части сроков или порядка публикации, то такие нарушения фиксирует председатель суда."
32,Председатель суда,—,—,Провести служебную проверку по факту нарушения,—,Председатель суда проводит служебную проверку по факту нарушения срока и порядка публикации документов/СА
33,Председатель суда,—,—,Завершающее событие.,—,Завершена публикация акта. Выявлены нарушения сроков публикации
