№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Отдел делопроизводства/сотрудник суда,-,-,"Появилась необходимость сформировать почтовую отправку, почтовый реестр",-,Сотрудник фиксирует необходимость доставки документов адресату и запускает процедуру подготовки отправления
1,Отдел делопроизводства/сотрудник суда,-,-,Внести информацию о передаче в ИС суда,-,"В ИС суда фиксируются сведения об отправителе, адресатах и способе отправки"
2,Отдел делопроизводства/сотрудник суда,-,-,Как направить? Эксклюзивный шлюз,-,"Сотрудник выбирает способ направления (ЛК, Гос. органы, Факс, Телеграмма, Телефонограмма, Email, Гибридная почта)"
3,Отдел делопроизводства/сотрудник суда,-,-,Сформировать отправление,-,Отдел делопроизводства формирует отправление в ПК САД
4,Отдел делопроизводства/сотрудник суда,-,-,Сформировать реестр почтового отправления 103-Ф,-,Отдел делопроизводства формирует реестр отправки в ПК САД
5,Отдел делопроизводства/сотрудник суда,-,-,Распечатать конверт,-,Распечатывается конверт с адресом из справочника адресатов
6,Система,-,-,Определить способ отправления,-,"Система анализирует справочник адресата, применяет приоритеты отправки администратора, выбирает оптимальный канал"
7,Отдел делопроизводства/сотрудник суда,-,Решение,Необходимо направить в ЛК пользователя? Эксклюзивный шлюз,-,Если ДА → шаг 8. Если НЕТ → шаг 17
8,Система,-,-,Направить в ЛК пользователя,-,Система отправляет документ во внешний ЛК по API интеграции
9,Отдел делопроизводства/сотрудник суда,-,-,Опубликовать документ в ЛК,-,Документ становится доступным в ЛК адресата с уведомлением
10,Система,-,-,Ожидать информации о получении,-,Система ждёт подтверждения о прочтении документа от ЛК
11,Отдел делопроизводства/сотрудник суда,-,Решение,Ответ получен в срок? Эксклюзивный шлюз,В день отправки,Если ДА → шаг 14. Если НЕТ → шаг 12
12,Система,-,-,Уведомить судью,-,"Система создаёт уведомление судье о том, что адресат не ознакомился с документом"
13,Отдел делопроизводства/сотрудник суда,-,-,Документ направлен через ЛК без подтверждения прочтения,-,Завершение процесса. Документ направлен и занесён в журнал
14,Отдел делопроизводства/сотрудник суда,-,-,Получить время ознакомления,-,Получена информация о времени ознакомления адресата
15,Система,-,-,Сохранить данные об ознакомлении,-,Система фиксирует время прочтения документа в ИС
16,Отдел делопроизводства/сотрудник суда,-,-,Документ отправлен через ЛК с подтверждением прочтения,-,"Завершение процесса. Документ доставлен и прочитан, все данные в ИС"
17,Отдел делопроизводства/сотрудник суда,-,Решение,Необходимо направить в гос. органы через спец. интеграцию? Эксклюзивный шлюз,-,Если ДА → шаг 18. Если НЕТ → шаг 27
18,Система,-,-,Сформировать пакет данных для отправления,-,"Система преобразует документ в формат, требуемый гос. органом (SMEV/GEO), добавляет метаданные и подпись"
19,Система,-,-,Отправить данные в брокер сообщений,-,Система отправляет пакет в очередь сообщений для асинхронной доставки
