№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Сотрудник ответственный за подготовку локального акта,-,-,Возникла необходимость принять локальный акт,-,"Сотрудник, ответственный за подготовку локального акта, инциирует процесс принятия локального акта.Процесс принятия локальных актов в арбитражных судах регламентирован ст. 34 Инструкции N 100."
1,Сотрудник ответственный за подготовку локального акта,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 11-го, 30-го шага",Эксклюзивный закрывающий шлюз,—,"Закрывающий шлюз, объединяющий потоки из 11-го, 30-го шага"
2,Система,-,Шаблон проекта акта,Сформировать шаблон проекта акта,-,"Система формирует шаблон проекта локального акта.Подготовка локальных актов арбитражных судов производится в соответствии с регламентом подготовки локальных актов соответствующего арбитражного суда, утвержденным приказом арбитражного суда. Локальными актами в арбитражном суде являются приказы и распоряжения арбитражного суда.Подготовка проекта локального акта осуществляется структурным подразделением арбитражного суда по поручению председателя арбитражного суда, его заместителей, руководителя аппарата - администратора арбитражного суда либо в инициативном порядке в связи с необходимостью решения возложенных на подразделение задач.Подготовка проекта локального акта может быть поручена нескольким структурным подразделениям. При этом организация работы по его подготовке возлагается на структурное подразделение, начальник которого указан в поручении первым либо назначен ответственным исполнителем.Проекты локальных актов арбитражного суда оформляются на бланках арбитражного суда установленной формы (Приложение N 41 к Инструкции по делопроизводству в арбитражных судах Российской Федерации)(выдержки из ст. 34 Инструкции)"
3,Сотрудник ответственный за подготовку локального акта,Шаблон проекта акта,Проект акта,Завершить или доработать по замечаниям проект акта,-,Сотрудник ответственный за подготовку локального акта выполняет задачу: 'Завершить или доработать по замечаниям проект акта'.
4,Сотрудник ответственный за подготовку локального акта,Проект акта,Решение по согласованию,Определить необходимость согласования акта,-,Сотрудник ответственный за подготовку локального акта выполняет задачу: 'Определить необходимость согласования акта'.
5,Сотрудник ответственный за подготовку локального акта,Решение по согласованию,Список согласующих лиц,Необходимо согласование?Эксклюзивный открывающий шлюз,—,Необходимо согласование?Эксклюзивный открывающий шлюзЕсли да – переход к шагу 6Если нет- переход к шагу 14
6,Система,"Проект акта, Список согласующих лиц",Лист согласования,Сформировать лист согласования,-,"Система выполняет задачу: 'Сформировать лист согласования'.Проект локального акта подлежит обязательному предварительному направлению ответственным исполнителем в структурные подразделения, указанные в поручении, для рассмотрения, внесения замечаний и предложений (ст. 34 Инструкции).Система формирует лист согласования для направления его в структурные подразделения."
7,Руководители структурных подразделений,Проект акта,—,Ознакомиться с проектом акта,-,Руководители структурных подразделений знакомятся с проектом акта.
8,Руководители структурных подразделений,Проект акта,—,Рассмотреть и согласовать проект акта,—,Руководители структурных подразделений выполняет задачу: 'Рассмотреть и согласовать проект акта'.
9,Руководители структурных подразделений,—,—,Проект акта согласован?Эксклюзивный открывающий шлюз,—,"Проект акта согласован?Если да, то переход к шагу 12. Если нет, то переход к шагу 10"
