№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,"Сотрудник отдела делопроизводства, ответственный за работу с обращениями/Пресс-служба",—,—,Возникла необходимость рассмотреть внепроцессуальное обращение/запрос,—,"Ответственный сотрудник фиксирует поступление обращения, запускает рабочий процесс и назначает исполнителей"
1,Система,—,Зарегистрированное обращение,Выполнить анализ обращения,—,Система с помощью OCR LLM проводит анализ поступившего документа и приложения в обращении
2,Система,—,Ответ на обращение,Подготовить рекомендацию к действиям,До 30 дней с даты регистрации обращения,Система подготавливает событие с рекомендациями по дальнейшим шагам на основе анализа документов.
3,Система,—,—,Создать задачу на обработку,До 7 дней с даты регистрации обращения,"Подготовка уведомления с указанием причины переадресации и адресата, подписание должностным лицом. Согласно ст.3 ч.8 Федеральный закон от 02.05.2006 N 59-ФЗ: Письменное обращение, содержащее вопросы, решение которых не входит в компетенцию данных государственного органа, органа местного самоуправления или должностного лица, направляется в течение семи дней со дня регистрации в соответствующий орган или соответствующему должностному лицу, в компетенцию которых входит решение поставленных в обращении вопросов, с уведомлением гражданина, направившего обращение, о переадресации обращения, за исключением случая, указанного в части 4 статьи 11 настоящего Федерального закона."
4,"Сотрудник отдела делопроизводства, ответственный за работу с обращениями/Пресс-служба",—,—,ТБП139.Проверить выводы системы,—,"Переход к типовому процессу ТБП139.Проверить выводы системы, результатом которого будет заполненные данные в сущности обращения или направленные ошибки в техническую поддержку."
5,"Сотрудник отдела делопроизводства, ответственный за работу с обращениями/Пресс-служба",—,—,Требуется направить в другой суд?. Эксклюзивный открывающий шлюз,—,"Если обращение не относится к компетенции, формируется ветвь переадресации, иначе продолжается внутреннее рассмотрение Если да, то переход к шагу 6. Если нет, то переход к шагу 10"
6,"Сотрудник отдела делопроизводства, ответственный за работу с обращениями/Пресс-служба",—,—,ТБП49.Сформировать и подписать документ,—,Переход к типовому процессу ТБП49.Сформировать и подписать документ результатом котором будет подписанный электронный документ сохраненный в сущности.
7,"Сотрудник отдела делопроизводства, ответственный за работу с обращениями/Пресс-служба",—,Уведомление о перенаправлении обращении,ТБП46.Направить документ,—,"Переход к типовому процессу ТБП46.Направить документ, результатом которого будет, документ направляется по каналам СМЭВ/почты, фиксируется исходящая корреспонденция"
8,Система,—,—,Закрыть задачу на обработку,—,Автоматическое выполнение: Закрыть задачу на обработку
9,"Сотрудник отдела делопроизводства, ответственный за работу с обращениями/Пресс-служба",—,—,Обращение направлено,—,"Готовится проект ответа, при необходимости используются шаблоны и согласуются формулировки"
10,"Сотрудник отдела делопроизводства, ответственный за работу с обращениями/Пресс-служба",—,—,Требуется передать на рассмотрение председателю судебной коллегии?. Эксклюзивный открывающий шлюз,—,"Определяется, нужно ли подключать судебную коллегию; Если да, то переход к шагу 11. Если нет, то переход к шагу 13"
11,"Сотрудник отдела делопроизводства, ответственный за работу с обращениями/Пресс-служба",—,—,ТБП106.Передать документ,—,"Переход к типовому процессу ТБП106.Передать документ, результатом которого будет, документ передается на рассмотрение председателю судебной коллегии"
12,Система,—,—,Закрыть задачу на обработку,—,Система закрывает задачу 
13,"Сотрудник отдела делопроизводства, ответственный за работу с обращениями/Пресс-служба",—,—,Требуется передать на рассмотрение в приемную председателя суда?. Эксклюзивный открывающий шлюз,—,"Выбирается, должен ли документ пройти через приемную председателя суда Если да, то переход к шагу 19. Если нет, то переход к шагу 14"
14,"Сотрудник отдела делопроизводства, ответственный за работу с обращениями/Пресс-служба",—,—,ТБП49.Сформировать и подписать документ,—,"Переход к типовому процессу ТБП49.Сформировать и подписать документ результатом котором будет подписанный электронный документ сохраненный в сущности.Готовится проект ответа, при необходимости используются шаблоны и согласуются формулировки"
15,"Сотрудник отдела делопроизводства, ответственный за работу с обращениями/Пресс-служба",—,—,Требуется согласование ответа с председателем суда?. Эксклюзивный открывающий шлюз,—,"Если да, то переход к шагу 16. Если нет, то переход к шагу 18"
16,"Сотрудник отдела делопроизводства, ответственный за работу с обращениями/Пресс-служба",—,—,ТБП106.Передать документ,—,Комплект материалов передается в приемную председателя суда для согласования
17,Приемная председателя суда/ заместитель председателя суда,—,Согласованный ответ на обращение,Согласовать документ,—,"Руководитель проверяет обоснованность ответа, вносит резолюцию и визирует документ"
18,"Сотрудник отдела делопроизводства, ответственный за работу с обращениями/Пресс-служба",—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 15-го, 17-го шага"
