Номер действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага процесса,Срок,Описание процесса
0,Судья,—,—,Возникла необходимость рассмотреть вопрос об оставлении заявления о признании должника банкротом без рассмотрения,—,"Судья инициирует процесс рассмотрения вопроса об оставлении заявления о признании должника банкротом без рассмотрения.Данный вопрос регулируется ст. 48 ФЗ от 26.10.2002 N 127—ФЗ ""О несостоятельности (банкротстве)"" (далее по тексту — «ФЗ»)"
1,Система,—,—,Начать анализ,—,"Система, анализируя текущую ситуацию на основе LLM  дает полную оценку текущей ситуации и дает вывод по необходимым действий в отношении вопроса об оставлении заявления о признании должника банкротом без рассмотрения."
2,Система,—,—,Заявление о признании должника банкротом признано необоснованным?Эксклюзивный шлюз.,—,"Определение об отказе во введении наблюдения и оставлении заявления о признании должника банкротом без рассмотрения выносится при условии, если в заседании арбитражного суда требование лица, обратившегося с заявлением о признании должника банкротом, признано необоснованным (п. 3 ст. 48 ФЗ)"
3,Система,—,—,Поданы заявления о вступлении в дело?Эксклюзивный шлюз.,—,Система проверяет наличие иных заявлений о вступлении в данное дело.
4,Система,—,—,Переход к процессу прекращения производства по делу,—,Система переходит к процессу прекращения производства по делу о банкротстве в соответствии со ст. 57 ФЗ.
5,Система,—,—,На дату СЗ размер требований включенных и подлежащих к включению в РТК меньше 2 млн.руб.?Эксклюзивный шлюз.,—,"Согласно ст. 33 ФЗ, заявление о признании должника банкротом принимается арбитражным судом, если требования к должнику — юридическому лицу в совокупности составляют не менее чем два миллиона рублей. Следовательно, если такие требования — меньше двух миллиона, это является основанием для оставления заявления без рассмотрения (п. 2 ст. 48 ФЗ)Система проверяет размер требований, включенных и подлежащих к включению в РТК, по заявлению."
6,Система,—,—,Эксклюзивный закрывающий шлюз.,—,Эксклюзивный закрывающий шлюз.
7,Система,—,—,Требования заявителя удовлетворены должником?Эксклюзивный шлюз.,—,"Согласно ст. 33 ФЗ, заявление о признании должника банкротом принимается арбитражным судом, если требования к должнику — юридическому лицу в совокупности составляют не менее чем два миллиона рублей, и если указанные требования не исполнены в течение трех месяцев с даты, когда они должны были быть исполнены. В противном случае судья устанавливает, что заявление будет оставлено без рассмотрения. (п. 3 ст. 48 ФЗ)Система проверяет удовлетворение требований должником."
8,Система,—,—,Эксклюзивный закрывающий шлюз.,—,Эксклюзивный закрывающий шлюз.
9,Система,—,—,Требования кредитора не подтверждены вступившим в ЗС СА?Эксклюзивный шлюз.,—,"Определение об отказе во введении наблюдения и оставлении заявления о признании должника банкротом без рассмотрения выносится при условии, если требования кредитора не подтверждены вступившим в законную силу судебным актом (п. 3 ст. 48 ФЗ)Система проверяет наличие подтверждения требований кредитора вступившим в законную силу судебным актом."
10,Система,—,—,Должник является кредитной организацией?Эксклюзивный шлюз.,—,"Система проверяет, является ли должник кредитной организацией. Это необходимо ввиду того, что в условии, указанном в предыдущем шаге, есть исключение в виде абзаца второго п. 2 ст. 7 ФЗ («Право на обращение в арбитражный суд возникает у конкурсного кредитора — кредитной организации, у кредитного управляющего по договору синдицированного кредита (займа) (глава X.1 настоящего Федерального закона), а также у конкурсного кредитора — государственной корпорации ""ВЭБ.РФ"" с даты возникновения у должника признаков банкротства, установленных настоящим Федеральным законом.»). То есть положения предыдущего шага не распространяются на кредитные организации."
11,Система,—,—,Эксклюзивный закрывающий шлюз.,—,Эксклюзивный закрывающий шлюз.
12,Система,—,—,Эксклюзивный закрывающий шлюз.,—,Эксклюзивный закрывающий шлюз.
