№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Сотрудник  отдела информатизации,-,-,Возникла необходимость организации технического обеспечения систем,-,"Сотрудник отдела информатизации инициирует процесс технического обеспечения систем суда.В качестве инициирующего события могут быть: - входящая заявка,- личное обращение сотрудников,- обращение в службу технической поддержки,- личное обнаружение неисправности"
1,Сотрудник  отдела информатизации,-,-,Внести информацию в систему,-,"Сотрудник отдела информатизации запускает проверку, измеряет параметры."
2,Система,-,-,Поступила заявка на техническое обеспечение,-,"Сотрудник отдела информатизации инициирует процесс технического обеспечения систем суда.В качестве инициирующего события могут быть: - входящая заявка,- личное обращение сотрудников,- обращение в службу технической поддержки,- личное обнаружение неисправности"
3,Система,-,-,Эксклюзивный закрывающий шлюз,-,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 1-го, 2-го шага"
4,Система,База данных с информацией о нагрузке пользователей,-,Запросить информацию о загруженности сотрудников,-,Сотрудник отдела информатизации диагностирует сбой и анализирует логи
5,Система,-,-,Назначить исполнителя,-,"Система определяет исполнителя в соответствии с нагрузкой и отпусками, или проставляет группу ответственного отдела."
6,Сотрудник  отдела информатизации,-,-,Ознакомиться с задачей,-,Сотрудник  отдела информатизации ознакомливается с задачей.
7,Сотрудник  отдела информатизации,-,-,Внести в систему данные о выявленных проблемах,-,Сотрудник  отдела информатизации вносит данные в заявку о выявленных/не выявленных ошибках
8,Сотрудник  отдела информатизации,-,-,Есть возможность устранить проблему самостоятельно?. Эксклюзивный открывающий шлюз,-,"Если да, то переход к шагу 13. Если нет, то переход к шагу 9"
9,Сотрудник  отдела информатизации,-,-,Заключен ли договор на обслуживание?. Эксклюзивный открывающий шлюз,-,"Если да, то переход к шагу 12. Если нет, то переход к шагу 10"
10,Сотрудник  отдела информатизации,-,"Заявка по устранению сбоя, Перечень товаров, работ, услуг",Сформировать задание,-,Сотрудник отдела информатизации готовит заявку по устранению сбоя
11,Система,"Перечень товаров, работ, услуг",-,ОБП18:Участвовать в госзакупках,-,Переход в обеспечивающий процесс ОБП18.Участвовать в госзакупках
12,Сотрудник  отдела информатизации,-,-,Эксклюзивный закрывающий шлюз,-,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 9-го, 11-го, 18-го шага"
13,Сотрудник  отдела информатизации,-,-,Выполнить мероприятия по устранению проблемы,-,Сотрудник  отдела информатизации выполняют задачу: 'Выполнить мероприятия по устранению проблемы'. Направление и характер работ зависит от заявки и формулировки задачи.
14,Сотрудник  отдела информатизации,-,-,Отправить запрос на устранение проблемы,-,Сотрудник формирует запрос подрядчику отвественному за устранение ошибки согласно заявки.
15,Сотрудник  отдела информатизации,-,-,Запрос отправлен,-,Отправить заявку по устранению сбоя
16,Сотрудник  отдела информатизации,-,-,Ответ на запрос получен,-,Получить уведомление об устранении сбоя и акт приема-передачи выполненных работ
17,Сотрудник  отдела информатизации,"Акт приёма-передачи выполненных работ, товаров, услуг",-,Ознакомиться с результатами работ по устранению сбоя и документами,-,Сотрудник  отдела информатизации ознакамливается с результатами работ по устранению сбоя и документами.
18,Сотрудник  отдела информатизации,-,-,Проблема устранена?. Эксклюзивный открывающий шлюз,-,"Сотрудник отдела информатизации определяет, требуется ли профилактическое обслуживание систем. Если да, то переход к шагу 19. Если нет, то переход к шагу 12"
19,Сотрудник  отдела информатизации,"Акт приёма-передачи выполненных работ, товаров, услуг",-,Подписание документа,-,"Сотрудник отдела информатизации проводит профилактическое обслуживание систем, после устраненного сбоя."
20,Сотрудник  отдела информатизации,-,-,Внести в систему информацию об устранении проблемы,-,"Сотрудник отдела информатизации проверяет корректность работы оборудования, после проведенных технических работ"
21,Сотрудник  отдела информатизации,-,-,Требуется согласование отчёта?. Эксклюзивный открывающий шлюз,-,"Если да, то переход к шагу 22. Если нет, то переход к шагу 25"
22,Система,-,-,Сформировать отчет о проведенном обслуживании,-,Система формирует отчет и сохраняет его. 
23,Система,-,-,Передать отчет на согласование руководителю,-,Система передает отчет на согласование руководителю информируя в сущности обращения.
24,Руководитель отдела информатизации,-,-,Согласовать,-,Руководитель отдела информатизации согласовывает отчет и меняет статус сущности обращения.
25,Руководитель отдела информатизации,-,-,Заявка на техническое обеспечение выполнена,-,Заявка на техническое обеспечение выполнена. Завершение процесса.
