№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,"Сотрудник, ответственный за пожарную безопасность",-,-,Согласно локальному акту наступила дата проведения противопожарной проверки,—,Согласно локальному акту наступила дата проведения противопожарной проверки
1,Система,-,-,Уведомить ответственного,—,Система уведомляет ответственного о необходимости проведения противопожарной проверки
2,Система,-,Шаблон акта проверки автоматической установки пожарной сигнализации,Подготовить шаблон акта проверки,—,Система выполняет задачу: 'Подготовить шаблон акта проверки' и направляет его ответственному за противопожарную безопасность сотруднику
3,"Сотрудник, ответственный за пожарную безопасность",—,—,Проверить работоспособность датчиков дыма,—,"Проводится проверка работоспособности датчиков на предмет задымления, проверка работы системы дымоудаления и системы оповещения о пожаре.Проверка проводится с участием сотрудника эксплуатирующей организации."
4,"Сотрудник, ответственный за пожарную безопасность",-,"Локальный акт о противопожарном инструктаже, Акт проверки автоматической установки пожарной сигнализации",Завершить подготовку акта проверки,—,"Сотрудник, ответственный за пожарную безопасность выполняет задачу: 'Завершить подготовку акта проверки'."
5,"Сотрудник, ответственный за пожарную безопасность",Шаблон акта проверки автоматической установки пожарной сигнализации,Подписанный Акт проверки автоматической установки пожарной сигнализации,Подписать акт проверки,—,"Сотрудник, ответственный за пожарную безопасность выполняет задачу: 'Подписать акт проверки'."
6,"Сотрудник, ответственный за пожарную безопасность",-,-,Изучить локальный акт,—,"Сотрудник, ответственный за пожарную безопасность изучает локальный акт, регламентирующий проведение проверок противопожарной безопасности, и принимает решение о необходимости проведения противопожарных учений."
7,"Сотрудник, ответственный за пожарную безопасность",—,"Если да, то переход к шагу 10. Если нет, то переход к шагу 8",Согласно локальному акту требуется провести противопожарные учения? Эксклюзивный открывающий шлюз,—,"Согласно локальному акту требуется провести противопожарные учения?Если да, то переход к шагу 10. Если нет, то переход к шагу 8"
8,"Сотрудник, ответственный за пожарную безопасность",-,-,Внести в систему следующую дату проверки,—,"Сотрудник, ответственный за пожарную безопасность выполняет задачу: 'Внести в систему следующую дату проверки'."
9,"Сотрудник, ответственный за пожарную безопасность",—,—,Обеспечена противопожарная безопасность.,—,—
10,"Сотрудник, ответственный за пожарную безопасность",—,—,Провести учения,—,"Сотрудник, ответственный за пожарную безопасность проводит учения и обучение по программам противопожарного инструктажа лиц, осуществляющих трудовую или служебную деятельность в суде."
11,"Сотрудник, ответственный за пожарную безопасность",—,—,Внести в систему следующую дату проверки,—,"Сотрудник, ответственный за пожарную безопасность выполняет задачу: 'Внести в систему следующую дату проверки'."
12,"Сотрудник, ответственный за пожарную безопасность",—,—,Обеспечена противопожарная безопасность. Проведены учения.,—,—
