№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Отдел кадров,-,-,Сотрудник принят в штат,-,"Отдел кадров  инициирует процесс формирования личного дела, когда сотрудник трудоустраивается в суд."
1,Отдел кадров,—,—,Создать карточку сотрудника,—,Отдел кадров создает карточку сотрудника.
2,Система,—,—,Предоставить доступ к сущности,—,Система  предоставить доступ пользователю к сущности (карточке сотрудника)
3,Система,—,Согласие сотрудника на обработку персональных данных,Создать согласие сотрудника на обработку персональных данных,—,Система формирует согласие сотрудника на обработку персональных данных
4,Сотрудник,—,"Согласие сотрудника на обработку персональных данных, подписанное",Подписать в системе документ на обработку персональных данных,—,Сотрудник  подписывает в системе (ЭП) документ на обработку персональных данных
5,Система,—,—,Предоставление доступа к загрузке документов,—,Система  предоставляет доступ сотруднику к загрузке документов
6,Сотрудник,—,Пакет документов,Сформировать пакет документов,—,Сотрудник формирует пакет документов и загружает их в систему.
7,Сотрудник,—,—,Переход из шага 14,—,—
8,Сотрудник,—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 6-го, 7-го шага"
9,Система,—,—,Проверка полноты пакета документов,—,"Система  проверяет полноту пакета документов, загруженных сотрудником"
10,Сотрудник,—,—,Пакет документов полный?. Эксклюзивный шлюз,—,"Если да, то переход к шагу 15. Если нет, то переход к шагу 11"
11,Система,—,—,Увемомить пользователя,—,"Система  уведомляет пользователя о том, что пакет представленных документов - неполный."
12,Сотрудник,—,—,Подготовить пакет недостающих документов ,—,Сотрудник готовит пакет недостающих документов.
13,Сотрудник,—,—,Загрузить недостающие документы в карточку сотрудника ,—,Сотрудник загружает недостающие документы в карточку в системе.
14,Сотрудник,—,—,Переход в шаг 7 ,—,—
15,Система,—,—,Создать задачу на группу ответственных,—,Система создает задачу на группу ответственных лиц о формировании личного дела на основе представленных документов.
16,Отдел кадров,—,—,Параллельный шлюз,—,Параллельный шлюз
12,Отдел кадров,—,—,Распечатать документы из личного дела,—,Отдел кадров  печатает документы из личного дела.
13,Отдел кадров,—,—,Приступить к формированию личного дела,—,Сотрудник отдела кадров начинает формирование личного бумажного дела.
14,Отдел кадров,Согласие сотрудника на обработку персональных данных,—,Приложить согласие к личному делу,—,Сотрудник отдела кадров прикладывает согласие сотрудника на обработку персональных данных к личному делу.
15,Отдел кадров,—,—,Приложить анкету сотрудника,—,Сотрудник отдела кадров прикладывает анкету сотрудника к личному делу.
16,Отдел кадров,—,—,Приложить представленные документы сотрудника,—,Сотрудник отдела кадров прикладывает представленные документы сотрудника к личному делу.
17,Отдел кадров,—,—,Приложить форму N 001-ГС/у,—,"Сотрудник отдела кадров прикладывает форму N 001-ГС/у  к личному делу.Форма N 001-ГС/у - это ""Заключение медицинской организации о наличии (отсутствии) заболевания, препятствующего поступлению на государственную гражданскую службу Российской Федерации и муниципальную службу или ее прохождению""."
18,Отдел кадров,—,—,Сшить личное дело сотрудника,—,"Сотрудник отдела кадров сшивает личное дело сотрудника, включая всю приложенную ранее документацию."
19,Отдел кадров,—,—,Оформить обложку,—,Сотрудник отдела кадров оформляет обложку бумажного личного дела.
