№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Сотрудник отдела кадров,—,—,Наступил срок формирования графика отпусков,—,Не позднее чем за две недели до наступления календарного года сотрудник отдела кадров приступает к формированию графиков отпусков на следующий год. Старт процесса.
1,Система,—,—,Создать сущность для графиков отпусков,—,Система создает сущность для графиков отпусков
2,Сотрудник отдела кадров,—,Письмо о необходимости формирования графика отпусков,Сформировать письмо о формировании графика отпусков,—,Сотрудник отдела кадров формирует в системе письмо о формировании графика отпусков
3,Система,—,—,Разослать письмо о формировании графика всем сотрудникам,—,Система автоматически рассылает письмо о формировании графика всем сотрудникам
4,Сотрудник суда,—,—,Ознакомиться с письмом,—,Сотрудник суда знакомится с письмом
5,Сотрудник суда,—,—,Сообщить желаемую дату отпуска,—,Сотрудник суда указывает в системе желаемую дату отпуска
6,Сотрудник отдела кадров,—,—,Переход из шага 17 Событие-ссылка,—,Переход из шага 17.
7,Сотрудник отдела кадров,—,"",Эксклюзивный закрывающий шлюз,—,"Закрывающий шлюз, объединяющий потоки из 5-го, 6-го шага"
8,Сотрудник отдела кадров,—,График отпусков в xlsx,Сформировать таблицу с графиками отпусков в Excel,—,"Сотрудник суда формирует таблицу с графиками отпусков в Excel, в которой указывает даты отпусков, предоставленные сотрудниками"
9,Система,—,—,Направить таблицу на согласование,—,Система автоматически направляет график отпусков на согласование председателю суда
10,Председатель суда,—,—,Ознакомиться с таблицей,—,Председатель суда знакомится с таблицей
11,Председатель суда,—,—,Принять решение по графику,—,Председатель суда принимает решение по графику
12,Председатель суда,—,"",График согласован?Эксклюзивный открывающий шлюз,—,"График согласован?Если да, то переход к шагу 18Если нет, то переход к шагу 13"
13,Председатель суда,—,—,Внести предложения-коррективы в график отпусков,—,Председатель суда вносит предложения-коррективы в график отпусков и направляет таблицу сотруднику отдела кадров
14,Сотрудник отдела кадров,—,—,Ознакомиться с предложениями,—,"Сотрудник отдела кадров знакомится с предложениями председателя, внесенными в график отпусков"
15,Система,—,—,Разослать запрос на желаемые изменения дат,—,Система автоматически рассылает запрос на желаемые изменения дат
16,Сотрудник суда,—,—,Изменить дату отпуска,—,Сотрудник суда указывает желаемую дату отпуска
17,Сотрудник суда,—,—,Переход к шагу 6. Событие ссылка,—,Процесс продолжается с шага 6
18,Председатель суда,—,—,Направить утвержденный график,—,"Председатель суда направляет утвержденный график, подписанный УКЭП председателя суда"
19,Сотрудник отдела кадров,—,—,Внести данные об отпусках в СЕШР,—,Сотрудник отдела кадров вносит данные об отпусках в СЕШР
20,Сотрудник отдела кадров,—,Запись в журнале,Зафиксировать информацию в журнале отпусков,—,Сотрудник отдела кадров фиксирует информацию в электронном журнале отпусков
21,Сотрудник отдела кадров,—,—,Направить утвержденный график отпусков сотрудникам,—,Сотрудник отдела кадров направляет утвержденный график отпусков сотрудникам
22,Сотрудник суда,—,—,Ознакомиться с утвержденным графиком,—,Сотрудник суда знакомится с утвержденным графиком
23,Сотрудник суда,—,—,Изменить дату отпуска? Эксклюзивный открывающий шлюз,—,"Изменить дату отпуска?Если да, то переход к шагу 26Если нет, то переход к шагу 24"
24,Сотрудник суда,—,—,Подписать ознакомление с утвержденным графиком,—,Сотрудник суда подписывает УКЭП ознакомление с утвержденным графиком
25,Сотрудник суда,—,—,"Сотрудник пойдет в отпуск по утвержденному графику, информация зафиксирована в СЕШР и журнале. Завершающее событие",—,"Сотрудник пойдет в отпуск по утвержденному графику, информация зафиксирована в СЕШР и журнале. Завершение процесса."
26,Сотрудник суда,—,—,Определить желаемую дату отпуска,—,Сотрудник суда определяет желаемую дату отпуска
27,Сотрудник суда,—,Заявление об изменении даты отпуска,Подать заявление об изменении даты отпуска,—,Сотрудник суда подать заявление об изменении даты отпуска через ЭДО внутри системы ЕПЦП
28,Председатель суда,—,—,Ознакомиться с заявлением сотрудника об изменении даты,—,"Председатель суда знакомится с заявлением сотрудника об изменении даты отпуска и решает, возможно ли его удовлетворить."
29,Председатель суда,—,"",Возможно изменить дату отпуска? Эксклюзивный открывающий шлюз,—,"Возможно изменить дату отпуска?Если да, то переход к шагу 32Если нет, то переход к шагу 30"
30,Председатель суда,—,—,Отказать в изменении графика отпусков,—,Председатель суда ставит визу об отказе в изменении графика отпусков на заявлении.
31,Председатель суда,—,—,График отпусков неизменен. Сотрудник пойдет в отпуск по утвержденному графику. Завершающее событие,—,График отпусков неизменен. Сотрудник пойдет в отпуск по утвержденному графику. Завершение процесса
32,Председатель суда,—,—,Согласовать изменения в график отпусков,—,"Председатель суда согласовывает изменения в график отпусков, о чем ставит визу на заявлении и передает заявление сотруднику отдела кадров"
33,Сотрудник отдела кадров,—,—,Внести изменения,—,Сотрудник отдела кадров вносит изменения в график отпусков в системе.
34,Сотрудник отдела кадров,—,—,Зафиксировать информацию в журнале отпусков,—,Сотрудник отдела кадров фиксирует информацию в электронном журнале отпусков
35,Сотрудник отдела кадров,—,—,Направить измененный график сотрудникам,—,Сотрудник отдела кадров направляет измененный график сотрудникам через ЭДО внутри системы
36,Сотрудник суда,—,—,Ознакомиться с измененным графиком,—,Сотрудник суда знакомится с измененным графиком'.
37,Сотрудник суда,—,—,График отпусков изменен. Завершающее событие,—,График отпусков изменен. Завершение процесса
