Номер действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага процесса,Срок,Описание процесса
0,Судья,-,-,Возникла необходимость обратить СА к исполнениюСтартовое событие,-,"Согласно ст. 318 АПК РФ Судебные акты арбитражных судов приводятся в исполнение после вступления их в законную силу, за исключением случаев немедленного исполнения, в порядке, установленном АПК РФ и иными федеральными законами, регулирующими вопросы исполнительного производства. Принудительное исполнение судебного акта производится на основании выдаваемого арбитражным судом исполнительного листа, если иное не предусмотрено АПК РФ. Согласно ст. 229.1 АПК РФ Судебный приказ является одновременно исполнительным документом и приводится в исполнение в порядке, установленном для исполнения судебных решений. По делам об административных правонарушениях и в ряде других случаев предусмотренных АПК РФ и ФЗ «Об исполнительном производстве»У судьи возникла необходимость обратить СА к исполнению. Старт процесса."
"",Система,-,Отчет,Сформировать отчет,-,"Переход к типовому процессу «Сформировать отчет», в рамках которого система формирует отчет в виде таблицы данных о сроках, судебном акте и иных данных по делу в личном кабинете судьи и помощника "
"",Система,-,-,Проверить срок ,-,Переход к типовому процессу «Проверить срок». Система проверяет срок вступления СА в законную силу.
"",Судья,Отчет,-,Проверить выводы системы ,-,"Переход к типовому процессу «Проверить выводы системы», в рамках которого судья валидирует данные из отчета и данные по срокам, предоставленные системой."
"",Судья,-,-,Что необходимо выдать?Эксклюзивный шлюз,-,"В зависимости от того, что будет являться основанием для исполнения, определяется ветка движения по процессу.  Судья решает, какой документ необходимо выдать для того, чтобы привести решение суда в исполнение.Если необходимо выдать судебный приказ, то переход к шагу 5 процессаЕсли необходимо выдать исполнительный лист, то переход к шагу 14 процессаЕсли необходимо выдать решение суда (судебный акт), то переход к шагу 53 процесса"
"",Судья,-,-,Контроль надлежащего уведомления,-,"Судья должен убедиться, что должник был извещен о том, что вынесен судебный приказ.Переход к типовому процессу ""Контроль надлежащего уведомления"", результатом которого будет произведенная системой проверка надлежащего уведомления должника. Судья валидирует вывод системы внутри процесса."
"",Судья,-,-,Судебный приказ вступил в законную силу?Эксклюзивный шлюз,-,"По результатам проверки срока судья смотрит вступил ли в законную силу судебный приказ?Если «Да», то переход к шагу 7Если «Нет», то переход к шагу 8"
"",Судья,-,-,Переход к шагу 24. Событие-ссылка.,-,"Если судебный приказ вступил в законную силу, то дальнейшее движение процесса происходит с шага 24 процесса."
"",Судья,-,Определение,"Переход к типовому процессу ""Принять СА""",-,"Переход к типовому процессу ""Принять СА"", результатом которого будет вынесение судьей определения об отказ в выдаче СП в связи с тем, что он еще не вступил в законную силу.Автогенерация определения на основе шаблона с автозаполнением данных по делу."
"",Судья,-,-,Параллельный шлюз,-,Параллельный шлюз для координации процессов. Шаги 10 и 12 процесса происходят параллельно.
"",Судья,-,-,Ожидать вступления СП в законную силу,10 дней со дня получения должником копии СП,Ожидать вступления СП в законную силу.
"",Судья,-,-,Переход к шагу 5. Событие ссылка.,-,"Судья ожидает вступления СП в законную силу. После этого снова должен произойти контроль уведомления и проверка срока, поэтому процесс продолжается с шага 5"
"",Канцелярия,-,-,"Переход к типовому процессу ""Направить документ""",-,"Переход к типовому процессу ""Направить документ"", результатом которого будет направление канцелярией суда определения об отказе в выдаче СП заявителю."
"",Канцелярия,-,-,Завершающее событие,-,Завершение ветки процесса с направлением определения заявителю.
"",Судья,-,-,"СА, по вопросу которого выдается ИЛ, вступил в законную силу?Эксклюзивный шлюз",-,"Проверив срок, судья решает вступил ли СА в законную силу?Если «Да», то переход к шагу 17Если «Нет», то переход к шагу 15"
"",Судья,-,-,СА подлежит немедленному исполнению?Эксклюзивный шлюз,-,"Согласно ст. 182 АПК РФ решение арбитражного суда приводится в исполнение после вступления его в законную силу, за исключением случаев немедленного исполнения. Судья проверяет, подлежит ли судебный акт немедленному исполнениюЕсли «Да», то переход к шагу 23Если «Нет», то переход к шагу 16"
"",Судья,-,-,Ожидать вступление СА в законную силуПромежуточное событие (Таймер),-,"Судья ожидает вступление СА в законную силу. Согласно ст. 180 АПК РФ судебный акт вступает в законную силу по истечении срока, установленного для его обжалования."
"",Судья,-,-,Закрывающий шлюз,-,"Закрывающий шлюз, объединяющий потоки шага 14 и шага 15 процесса."
"",Система,-,-,Проверить добровольность исполнения,-,"Система проверяет добровольную оплату, уведомляет судью о её наличии или отсутствии, и записывает данные о дате проверки."
"",Судья,-,-,СА был исполнен добровольно?Эксклюзивный шлюз,-,"Судья смотрит были ли представлены должником документы, подтверждающие добровольное исполнение судебного акта.Если «Да», то переход к шагу 20Если «Нет», то переход к шагу 23"
"",Судья,-,Определение об отказе в выдаче ИЛ,"Переход к типовому процессу ""Принять СА""",-,"Переход к типовому процессу ""Принять СА"", результатом которого будет вынесение судьей определения об отказе в выдаче исполнительного листа в связи с добровольным исполнением СА.Автогенерация определения на основе шаблона с автозаполнением данных по делу."
