№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Лицо ответственное за межведомственный документооборот,"","",Поступил запрос о предоставлении аналитических/статистических данных,"","Судебный департамент в случае необходимости проведения анализа и обобщения судебной практики Верховным Судом Российской Федерации по запросам высших органов государственной власти при отсутствии необходимых показателей в регламентной статистической отчетности или необходимости подтверждения данных статистической отчетности вправе проводить специально организованные статистические наблюдения, запрашивать дополнительные статистические данные на основе имеющихся сведений в первичном статистическом учете, копии судебных актов, если эта информация не может быть получена из имеющихся объединенных информационных ресурсов судов"
1,Лицо ответственное за межведомственный документооборот,Входящий документ,Зарегистрированный входящий документ,Зарегистрировать входящий документ,"",Лицо ответственное за межведомственный документооборот регистрирует входящий документ (запрос СД при ВС РФ/суда вышестоящей инстанции)
2,Лицо ответственное за межведомственный документооборот,Зарегистрированный входящий документ,Реестр передачи,ТБП106.Передать документ,"",Переход к типовому процессу «Передать документ»Результатом данного технологического процесса станет оформление и передача зарегистрированного входящего документа с внесением данных в соответствующий реестр суда
3,Председатель суда,Зарегистрированный входящий документ,"",Ознакомиться с запросом,"",Председатель суда знакомиться с запросом.
4,Председатель суда,Зарегистрированный входящий документ,Список ответственных лиц,Определить ответственных лиц,"",Председатель суда определяет исполнителей ответа на запрос.
5,Председатель суда,Зарегистрированный входящий документ,Поручение председателя,Дать поручение,"",Председатель суда дает поручения ответственным лицам.
6,Сотрудник ответственный за ведение стат. отчетности,Поручение председателя,"",Получить поручения,"",Сотрудник ответственный за ведение статистической отчетности получает поручение подготовить ответ на запрос
7,Сотрудник ответственный за ведение стат. отчетности,Зарегистрированный входящий документ,"",Ознакомиться с запросом,"",Сотрудник ответственный за ведение статистической отчетности знакомиться с запросом.
8,Сотрудник ответственный за ведение стат. отчетности,"","",Возможно подготовить статистическую информацию с помощью существующих отчетов? Эксклюзивный шлюз,"","Сотрудник ответственный за ведение статистической отчетности определяет источник данных для подготовки ответа на запросЭксклюзивный шлюз Переход к шагам  9, 54"
9,Сотрудник ответственный за ведение стат. отчетности,Данные учетно-статистических карточек,Рассчитанный отчет по утвержденной форме,ТБП2.Сформировать отчет,Сроки устанавливаются поручением председателя суда,"В соответствии с задачами и функциями арбитражных судов специалист, ответственный за судебную статистику, выполняет следующие функции в подсистеме «Судебное делопроизводство».Осуществляет расчет утвержденных форм статистической отчетности.Проверяет выполнение контрольных соотношений для рассчитанных форм.Основой формирования статистических отчетов являются данные, внесенные в картотеки (журналы) автоматизированного судебного делопроизводства по делам и материалам.Переход к типовому процессу ""Сформировать отчет"""
10,Сотрудник ответственный за ведение стат. отчетности,Рассчитанный отчет,Реестр передачи,Передать отчет на проверку и согласование ,"",Сотруднику ответственному в соответствии с приказом о распределении обязанностей передаётся отчет на проверку и согласование.
11,Лица ответственные за подготовку отчетов (судьи/председатели судебных составов/коллегий,Реестр передачи,Рассчитанный отчет,Получить отчет ,"",Лицо ответственное в соответствии с приказом о распределении обязанностей получает отчет на проверку и согласование.
12,Лица ответственные за подготовку отчетов (судьи/председатели судебных составов/коллегий,Рассчитанный отчет,Проверенный отчет,Проверить показатели в отчете ,"",Лицо ответственное в соответствии с приказом о распределении обязанностей проверяет полноту и достоверность сведений в отчете.
13,Лица ответственные за подготовку отчетов (судьи/председатели судебных составов/коллегий,"","",Данные отчета корректны? Эксклюзивный шлюз,"","Лицо ответственное в соответствии с приказом о распределении обязанностей определяет корректность данных в отчете Переход к шагам 14, 17"
14,Лица ответственные за подготовку отчетов (судьи/председатели судебных составов/коллегий,Проверенный отчет,Согласованный и подписанный отчет,Подписать отчет ,"",Лицо ответственное в соответствии с приказом о распределении обязанностей подтверждает полноту и достоверность сведений в отчете и подписывает согласованный отчет.
15,Лица ответственные за подготовку отчетов (судьи/председатели судебных составов/коллегий,Согласованный и подписанный отчет,Реестр передачи,Передать отчет ,"","Лицо ответственное в соответствии с приказом о распределении обязанностей передает согласованный отчет в подразделение, ответственное за ведение судебной статистики."
16,Сотрудник ответственный за ведение стат. отчетности,Реестр передачи,Согласованный и подписанный отчет,Получить отчет ,"",Сотрудник ответственный за ведение статистической отчетности получает согласованный отчет.
17,Лица ответственные за подготовку отчетов (судьи/председатели судебных составов/коллегий,"","",Данные возможно исправить в системе? Эксклюзивный шлюз,"","Лицо ответственное в соответствии с приказом о распределении обязанностей определяет наличие ошибок в алгоритме расчета показателей отчета Переход к шагам 18, 22"
18,Лица ответственные за подготовку отчетов (судьи/председатели судебных составов/коллегий,Недостоверные / неполные данные в ИС,Достоверные и полные данные в ИС,Внести изменения в ИС ,"",Лицо ответственное в соответствии с приказом о распределении обязанностей вносит изменения в первичные данные учетно-статистических карточек.
19,Лица ответственные за подготовку отчетов (судьи/председатели судебных составов/коллегий,Изменения в ИС,Уведомление об изменениях в ИС,Сообщить информацию о внесении изменений ,"",Лицо ответственное в соответствии с приказом о распределении обязанностей сообщает сотруднику ответственному за ведение статистической отчетности о внесении изменений.
20,Сотрудник ответственный за ведение стат. отчетности,Уведомление об изменениях в ИС,"",Получить информацию об изменениях в ИС ,"",Сотрудник ответственный за ведение статистической отчетности получает информацию об изменениях в ИС 
21,Сотрудник ответственный за ведение стат. отчетности,Уведомление об изменениях в ИС,"",Перейти к шагу 9 ,"",Сотрудник ответственный за ведение статистической отчетности после получения информации об изменениях в ИС запускает формирование нового отчета.
22,Лица ответственные за подготовку отчетов (судьи/председатели судебных составов/коллегий,Проверенный отчет с ошибками,Исправленный вручную отчетОписание причины изменений,Внести изменения в сформированный отчет,"",Лицо ответственное в соответствии с приказом о распределении обязанностей вносит изменения в сформированный отчет
23,Лица ответственные за подготовку отчетов (судьи/председатели судебных составов/коллегий,Исправленный вручную отчетОписание причины изменений,Согласованный и подписанный исправленный вручную отчетОписание причины изменений,Подписать отчет с исправлениями ,"",Лицо ответственное в соответствии с приказом о распределении обязанностей подтверждает полноту и достоверность сведений в отчете с исправлениями и подписывает согласованный отчет.
24,Лица ответственные за подготовку отчетов (судьи/председатели судебных составов/коллегий,Согласованный и подписанный исправленный вручную отчетОписание причины изменений,Реестр передачи,Передать отчет ,"","Лицо ответственное в соответствии с приказом о распределении обязанностей передает согласованный отчет в подразделение, ответственное за ведение судебной статистики."
25,Сотрудник ответственный за ведение стат. отчетности,Реестр передачи,Согласованный и подписанный исправленный вручную отчетОписание причины изменений,Получить отчет ,"",Сотрудник ответственный за ведение статистической отчетности получает согласованный отчет.
26,Сотрудник ответственный за ведение стат. отчетности,Согласованный и подписанный исправленный вручную отчетОписание причины изменений,Исправленный вручную отчет по суду,Внести изменения в сводный отчет,"","Сотрудник ответственный за ведение статистической отчетности получает получает информацию об ошибках, вносит изменения в сводный отчет по суду."
27,Сотрудник ответственный за ведение стат. отчетности,"","",Эксклюзивный шлюз,"","Эксклюзивный шлюз для координации процесса, переход к шагу 28"
28,Сотрудник ответственный за ведение стат. отчетности,"","",Все отчеты согласованы? Эксклюзивный шлюз,"",Определяется согласованы ли отчеты по всем структурным подразделениям Да: переход к шагу 32Нет: переход к шагу 29
29,Сотрудник ответственный за ведение стат. отчетности,Информация об отсутствии согласованного и подписанного отчета,Уведомление об истечении срока согласования отчета,Уведомить об истечении срока согласовании отчета ,"",Сотрудник ответственный за ведение статистической отчетности уведомляет лиц ответственных в соответствии с приказом о распределении обязанностей об истечении срока согласования отчета
30,Сотрудник ответственный за ведение стат. отчетности,"","",Ожидать согласования отчетов,"",Сотрудник ответственный за ведение статистической отчетности мониторит получение согласованных отчетов по всем структурным подразделениям
31,Сотрудник ответственный за ведение стат. отчетности,"","",Переход к шагу 28,"",Определяется согласованы ли отчеты по всем структурным подразделениям Переход к шагу 28
32,Сотрудник ответственный за ведение стат. отчетности,Согласованные и подписанные отчеты по структурным подразделениям,Отчет по запросу,Подготовить итоговый отчет по запросу,"",Сотрудник ответственный за ведение статистической отчетности после получения согласованных отчетов по всем структурным подразделениям проверяет полноту и достоверность сводного отчета суда по запросу
33,Сотрудник ответственный за ведение стат. отчетности,Отчет по запросу,Подписанный исполнителем отчет по запросу,Подписать отчет ,"",Сотрудник ответственный за ведение статистической отчетности подтверждает полноту и достоверность сведений в отчете и подписывает согласованный отчет.
34,Сотрудник ответственный за ведение стат. отчетности,"",Сопроводительное письмо на бланке,Подготовить сопроводительное письмо,"","Сотрудник ответственный за ведение статистической отчетности готовит сопроводительное письмо.Исходящие служебные документы печатаются на бланках арбитражного суда установленной формы, с угловым расположением реквизитов штампа суда (приложение N 42 к Инструкции по делопроизводству)."
35,Сотрудник ответственный за ведение стат. отчетности,Сопроводительное письмо на бланкеПодписанный исполнителем отчет по запросу,Реестр передачи,Передать письмо и отчет на подписание,"",Сотрудник ответственный за ведение статистической отчетности передает сопроводительное письмо председателю суда для подписания.
36,Председатель суда,Реестр передачи,Сопроводительное письмо на бланкеПодписанный исполнителем отчет по запросу,Получить письмо и отчет,"",Председатель суда получает сопроводительное письмо председателю суда для подписания.
37,Председатель суда,Сопроводительное письмо на бланкеПодписанный исполнителем отчет по запросу,Подписанное сопроводительное письмо на бланкеПодписанный председателем суда и исполнителем отчет по запросу,Подписать,"",Председатель суда подписывает сопроводительное письмо и отчет по запросу.
38,Председатель суда,Данные об исполнении поручения,Статус поручения - Выполнено,Снять поручение,"",Председатель суда изменяет статус поручения на Выполнено.
39,Председатель суда,Подписанное сопроводительное письмо на бланкеПодписанный председателем суда и исполнителем отчет по запросу,Реестр передачи,ТБП106.Передать документ,"",Переход к типовому процессу «Передать документ»Результатом данного технологического процесса станет оформление и передача зарегистрированного входящего документа с внесением данных в соответствующий реестр суда
40,Лицо ответственное за межведомственный документооборот,Подписанное сопроводительное письмо на бланке,Зарегистрированное в ИС подписанное сопроводительное письмо на бланке,Зарегистрировать исходящее письмо ,"",Лицо ответственное за межведомственный документооборот регистрирует исходящее письмо.
