№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Главный бухгалтер,—,—,На депозитный счет суда внесены денежные средства (далее ДС),-,—
1,Система,Запись о поступлении денежных средств на депозитный счет суда,Назначение платежа,Определить цель внесения ДС,-,Система автоматически определяет назначение платежа (внесения ДС) согласно п.1.3 Регламента по работе с лицевыми (депозитными) счетами (далее - «Регламент»)
2,Система,—,—,Уведомить ответственное лицо о поступлении ДС,-,Система автоматически уведомляет ответственное лицо о поступлении ДС на счет суда и передает сведения о назначении платежа.
3,Система,—,—,Кто является ответственным лицом?. Эксклюзивный открывающий шлюз,—,"Эксклюзивный шлюзКто является ответственным лицом?.Если «Судья» - переход к шагу 4,Если «Председатель суда» - переход к шагу 13,Если «Ответственный за госконтракты» - переход к шагу 23."
4,Система,—,—,Отметить в материалах дела факт и сумму перечисления,-,Система сохраняет в деле запись о перечислении ДС и сумму этого перечисления.
5,Судья,Запись о перечислении ДС,Судебный акт,Совершить процессуальное действие,-,"Судья совершает соответствующее назначению платежа процессуальное действие.Процессуальные действия могут быть разными в зависимости от дела. Ряд процессуальных действий отражен в схемах: KBP61, KBP56, KBP51, KBP81, KBP20, KBP21, KBP22, KBP23, KBP24, KBP25, KBP26, KBP27, KBP28, KBP29, KBP30, KBP31, KBP34, KBP32, KBP33, KBP36.В результате совершенного процессуального действия выносится СА по делу."
6,Система,Судебный акт,Судебный акт,Передать СА в бухгалтерию,-,"Система направляет СА, вынесенный по итогам совершения процессуального действия, в бухгалтерию."
7,Система,Судебный акт,Информация об истечении срока,Посчитать срок исполнения СА,-,"Система рассчитывает срок - 3 года с момента вступления в законную силу СА завершающего производство по делу, и сравнивает его с текущей датой. "
8,Система,—,"Если да, то переход к шагу 9. Если нет, то переход к шагу 11",Прошло 3 года с момента вступления в законную силу СА завершающего производство по делу?. Эксклюзивный шлюз,—,"Эксклюзивный шлюзПрошло 3 года с момента вступления в законную силу СА завершающего производство по делу?.Если «Да» - переход к шагу 9,Если «Нет» - переход к шагу 11."
9,Главный бухгалтер,-,Акт о списании,Перечислить в доход федерального бюджета,5 рабочих дней с момента утверждения акта о списании,"Главный бухгалтер выполняет задачу: 'Перечислить в доход федерального бюджета'.Невостребованные денежные средства, поступившие во временное распоряжение суда, списываются с лицевого (депозитного) счета по истечении трех лет с момента вступления в законную силу судебного акта, которым дело разрешено по существу, на основании акта о списании, утвержденного председателем суда. Списанные денежные средства подлежат перечислению в доход федерального бюджета не позднее пяти рабочих дней с момента утверждения акта о списании (п. 2.13 Регламента)"
10,Главный бухгалтер,—,—,Невостребованные ДС списаны в доход федерального бюджета.Завершение процесса,—,Невостребованные ДС списаны в доход федерального бюджета.Завершение процесса
11,Главный бухгалтер,Судебный акт,—,Исполнить СА,—,"Перечисление денежных средств с лицевого (депозитного) счета производится финансово-экономическим отделом суда (управления) только на основании судебного акта, вступившего в законную силу, содержащего указание в резолютивной части о выплате денежных средств залогодателю, лицам, участвующим в деле, иным участникам судопроизводства или уполномоченным лицам за счет средств, поступивших во временное распоряжение суда (управления), или о возврате денежных средств плательщику, за исключением случаев ошибочного зачисления средств. (п. 2.6 Регламента)Главный бухгалтер  производит перечисление/возврат ДС на основании СА."
12,Главный бухгалтер,—,—,ДС перечислены с депозитного счета на основании СА.Завершение процесса,—,ДС перечислены с депозитного счета на основании СА.Завершение процесса
13,Председатель суда,"Справка, подтверждающая зачисление на лицевой (депозитный) счет суда ДС",-,Установить ошибку при перечислении ДС,-,"Главный бухгалтер составляет на имя председателя суда справку, подтверждающую зачисление на лицевой (депозитный) счет суда (управления) указанной в заявлении суммы. Председатель устанавливает ошибку при перечислении ДС."
14,Система,Заявление о возврате ошибочно зачисленных средств,—,OBP9:Регистрация и учет обращений,—,"Переход в процесс OBP9:Регистрация и учет обращенийВозврат ошибочно зачисленных средств, в том числе ошибочно зачисленной на лицевой (депозитный) счет государственной пошлины, производится плательщику на основании его письменного заявления с указанием реквизитов лицевого (расчетного) счета в течение 30 дней со дня подачи такого заявления."
15,Система,—,Ответ на заявление о возврате ошибочно зачисленных средств,OBP10:Подготовить ответ на обращение,—,OBP10:Подготовить ответ на обращениеСистема уведомляет заявителя о возврате ошибочно зачисленных средств
16,Председатель суда,"Заявление о возврате ошибочно зачисленных средствСправка, подтверждающая зачисление на лицевой (депозитный) счет суда ДС",Резолюция о возврате,Поставить резолюцию,—,Председатель суда проставляет резолюцию о возврате на основании заявления и справки согласно п. 1.19 Регламента.
17,Система,—,—,Посчитать срок возврата ДС,—,Система рассчитывает срок возврата ошибочно переведенных ДС согласно Регламенту.
18,Главный бухгалтер,—,—,Прошло 3 года с момента зачисления ДС на депозит?. Эксклюзивный шлюз,—,"Эксклюзивный шлюзПрошло 3 года с момента зачисления ДС на депозит?.Если «Да» - переход к шагу 19,Если «Нет» - переход к шагу 21."
