№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Руководитель МТО,—,—,Возникла необходимость проверки по охране труда и техники безопасности,—,Возникла необходимость проверки по охране труда и техники безопасности
1,Руководитель МТО,—,—,Создать сущность проверки,—,Руководитель МТО создает сущность проверки для ведения в ней процесса
2,Руководитель МТО,—,—,Определить участников проверки,—,Руководитель МТО определяет участников проверки
3,Руководитель МТО,—,—,Проверка проводиться комиссионно?. Эксклюзивный открывающий шлюз,—,"Эксклюзивный шлюз Проверка проводиться комиссионно? Если да, то переход к шагу 4. Если нет, то переход к шагу 5"
4,Председатель суда,—,Локальный акт об утверждении комиссии,Утвердить состав комиссии,—,Председатель суда утверждает состав комисси для проверки в системе по процессу согласования.
5,Руководитель МТО,—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 3-го, 4-го шага"
6,Руководитель МТО,—,—,Провести проверку,—,Руководитель МТО производит проверку по охране труда и техники безопасности
7,Руководитель МТО,—,—,Проверка установила соблюдение требований охраны труда и техники безопасности?. Эксклюзивный открывающий шлюз,—,"Эксклюзивный шлюз Проверка установила соблюдение требований охраны труда и техники безопасности? Если да, то переход к шагу 8. Если нет, то переход к шагу 9"
8,Руководитель МТО,—,—,Требования  охраны труда и техники безопасности соблюдены.,—,Завершение процесса.
9,Руководитель МТО,—,—,Установить факт нарушения,—,При осуществлении проверки по охране труда и техники безопасности Руководитель МТО устанавливает факты нарушения
10,Руководитель МТО,—,—,Сообщить о нарушении председателю,—,Руководитель МТО сообщает о нарушении председателю
11,Председатель суда,—,Локальный акт по устранению нарушений,Разработать меры по устранению нарушения,—,Председатель суда разрабатывает меры по устранению нарушения
12,Руководитель МТО,—,—,Исполнить поручение,—,Исполнить поручение
13,Руководитель МТО,—,—,Установить устранение нарушения,—,После принятия мер по устранению нарушений Руководитель МТО устанавливает устранение нарушений и фиксирует результат
14,Руководитель МТО,—,—,Нарушения устранены.Требования охраны труда и техники безопасности соблюдены.,"",Нарушения устранены.Требования охраны труда и техники безопасности соблюдены.Завершение процесса
