№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Поставщик,—,—,Заключен договор с поставщиком,—,Поставщик поставил ТМЦ  в соответствии с договором.
1,Поставщик,—,"УПД, Счёт-фактура, ТОРГ-12",Поставить ТМЦ,—,Поставщик поставляет ТМЦ вместе с закрывающими документами
2,Поставщик,—,—,ТМЦ поставлены,—,Завершение процесса
3,Сотрудник МТО,—,—,Поступили ТМЦ,—,Поставщик поставил ТМЦ  в соответствии с договором.
4,Сотрудник МТО,—,—,Создать сущность приемка,—,Сотрудник МТО создает сущность для приемки и контроля ТМЦ
5,Сотрудник МТО,"ТОРГ-12 и счёт-фактура, УПД",—,Проверить ТМЦ,—,Сотрудник МТО проверяет соответствует  ТМЦ требованиям и сопроводительным документам
6,Сотрудник МТО,—,"",ТМЦ соответствует требованиям и сопроводительным документам?,—,"Эксклюзивный  шлюзТМЦ соответствует требованиям и сопроводительным документам?Если да, то переход к шагу 9. Если нет, то переход к шагу 7"
7,Сотрудник МТО,—,—,Оформить возврат,—,"Сотрудник МТО выполняет задачу: Оформить возврат, результатом будет созданные акты возврата с отметками/причинами и фиксация в системе информации"
8,Система,—,—,Зафиксировать данные в системе,—,Система выполняет задачу: Зафиксировать данные в системе.
9,Сотрудник МТО,"","",Возврат оформлен ,"",Завершение процесса.Сущность закрывается с определенным статусом после подписания акта возврата в системе.
10,Сотрудник МТО,—,"Подписанный УПД, Подписанная ТОРГ-12 и счёт-фактура",Подписать документы,—,Сотрудник МТО подписывает документы
11,Сотрудник МТО,—,—,Учесть ТМЦ на складе,—,Сотрудник МТО выполняет задачу: Учесть ТМЦ на складе.
12,Сотрудник МТО,—,—,Передать документы в бухгалтерию,—,Сотрудник МТО передает документы в бухгалтерию
13,Сотрудник бухгалтерии,"","",Внести документы в 1С,"",Сотрудник бухгалтерии вносит документы в 1С
14,Сотрудник бухгалтерии,—,—,ТМЦ приняты и учтены,—,Завершение процесса
