№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Председатель суда,—,—,"Возникла необходимость обеспечить ознакомление сотрудников с санитарными нормами, правилами пожарной безопасности, охране труда и техникой безопасности, нормами надлежащей эксплуатации зданий, сооружений и помещений суда",—,"Председатель суда отвечает за обеспечение ознакомления сотрудников с санитарными нормами, правилами пожарной безопасности, охране труда и техникой безопасности, нормами надлежащей эксплуатации зданий, сооружений и помещений суда в соответствии с Трудовым кодексом РФ"
1,Система,—,"Шаблон локального акта об утверждении ответственного за ознакомление сотрудников с санитарными нормами, правилами пожарной безопасности, охране труда и техникой безопасности, нормами надлежащей эксплуатации зданий, сооружений и помещений суда",Подготовить шаблон локального акта,—,Назначить ответственного
2,Председатель суда,—,"Локальный акт об утверждении ответственного за ознакомление сотрудников с санитарными нормами, правилами пожарной безопасности, охране труда и техникой безопасности, нормами надлежащей эксплуатации зданий, сооружений и помещений суда",Назначить ответственного,—,Председатель суда назначает ответственное лицо за проведение инструктажа
3,Председатель суда,—,—,Ознакомить сотрудников с нормами. Параллельный открывающий шлюз,—,"Сотрудник, ответственный за проведение инструктажа проводит мероприятия по обучению, проверке знаний в сфере пожарной безопасности и охране трудаПараллельный открывающий шлюз, разделяющий поток на 4-й, 5-й шаги"
4,Система,"—, Утвержденные в суде нормы",—,Ознакомить сотрудников с нормами,—,"Председатель суда отвечает за обеспечение ознакомления сотрудников с санитарными нормами, правилами пожарной безопасности, охране труда и техникой безопасности, нормами надлежащей эксплуатации зданий, сооружений и помещений суда в соответствии с Трудовым кодексом РФ"
5,Система,—,—,Уведомить сотрудника о назначении ответственным,—,Инструктаж проведен.
6,"Сотрудник, ответственный за проведение инструктажа","Локальный акт об утверждении ответственного за ознакомление сотрудников с санитарными нормами, правилами пожарной безопасности, охране труда и техникой безопасности, нормами надлежащей эксплуатации зданий, сооружений и помещений суда",—,Ознакомиться с назначением,—,"Сотрудник, ответственный за проведение инструктажа знакомиться с локальным актом о назначении ответственного"
7,"Сотрудник, ответственный за проведение инструктажа",—,—,Контролировать процесс ознакомления,—,Выполнение действия: Контролировать процесс ознакомления
8,"Сотрудник, ответственный за проведение инструктажа",—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 4-го, 7-го шага"
9,"Судьи, сотрудники суда",—,Журнал ознакомления,Ознакомиться и заполнить журналы ознакомления,—,"Судьи, сотрудники суда после прохождения обучения заполняют журналы ознакомления в электронной форме."
10,"Судьи, сотрудники суда",—,—,Инструктаж проведен.,—,Инструктаж проведен.Завершение процесса
