№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Отдел информатизации,-,-,Появилась потребность в обслуживании установленного в суде оборудования и техники,-,Появилась потребность в обслуживании установленного в суде оборудования и техники
1,Отдел информатизации,-,-,Создать сущность,-,Сотрудник отдела информатизации создает сущность для ведения контроля и проверок оборудования и техники.
2,Отдел информатизации,-,-,Запустить проверку списка оборудования и техники,-,Отдел информатизации запускает проверку списка оборудования и техники.
3,Система,-,-,Сформировать рекомендацию,-,"Система выполняет задачу: 'Сформировать рекомендацию', результатом которой будет созданное событие в сущности с перечислением техники и оборудования подходящего под дату регламентного обслуживания или работ."
4,Система,-,-,ТБП139.Проверить выводы системы,-,"Переход к типовому процессу ТБП139.Проверить выводы системы, результатом которого будет введенная в систему информация провалидированная специалистом, или отправленный отчет об ошибке в техническую поддержку."
5,Отдел информатизации,-,Акт о проведенной инвентаризации,Провести инвентаризацию оборудования и техники,-,Сотрудник формирует акт о проведенной инвернторизации на основе данных в системе.
6,Отдел информатизации,-,-,Запустить создания графика технического обслуживания,-,"Отдел информатизации запускает создание графика технического обслуживания в сущности карточки, результатом будет сохраненный график технического обслуживания."
7,Система,-,График технического обслуживания,Создать график технического обслуживания,Отдел информатизации подготавливает запрос на техническое обслуживание,Система выполняет задачу: 'Создать график технического обслуживания' на основании данных в системе.
8,Отдел информатизации,-,-,Уведомить пользователя о предстоящем техническом обслуживании,Отдел информатизации направляет подрядчику запрос на обслуживание,Отдел информатизации направляет подрядчику запрос на обслуживание
9,Отдел информатизации,-,-,Уведомление отправлено,-,Получено уведомление о проведенном техническом обслуживании и документы о выполнении работ
10,Пользователи,-,-,Уведомление получено,-,Ознакомиться с результатами работ по тех. обслуживанию
11,Отдел информатизации,-,-,Кто выполняет техническое обслуживание?. Эксклюзивный открывающий шлюз,-,Сотрудник отдела информатизации определяет С помощью подрядчика: переход к шагу 12; Самостоятельно: переход к шагу 14
12,Отдел информатизации,График технического обслуживания,-,Подготовить запрос на техническое обслуживание,-,"Отдел информатизации выполняют задачу: 'Подготовить запрос на техническое обслуживание', результатом будет отправленный запрос."
13,Отдел информатизации,-,-,Направлен запрос на техническое обслуживание,-,Направлен запрос на техническое обслуживание подрядчику.
14,Отдел информатизации,-,-,Провести техническое обслуживание,-,Отдел информатизации самостоятельно проводит техническое обслуживание
15,Отдел информатизации,-,-,Получено уведомление о проведенном техническом обслуживании и документы о выполнении работ,-,Уведомить пользователя о результатах технического обслуживания подрядчиком
16,Отдел информатизации,-,Документы о выполнении работ,Ознакомиться с результатами работ по тех. обслуживанию,-,Сотрудник отдела информатизации регистрирует результаты технического обслуживания в системе и изучает входящие данные.
17,Отдел информатизации,-,-,Подписать документы,-,Сотрудник подписывает документы в системе электронной подписью
18,Система,-,-,Сохранить документ и открепленную электронную печать,-,Система выполняет задачу: 'Сохранить документ и открепленную электронную печать' в сущности заявки на обслуживание.
19,Отдел информатизации,-,-,Эксклюзивный закрывающий шлюз,-,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 14-го, 18-го шага"
20,Отдел информатизации,-,-,Зарегистрировать результаты технического обслуживания,-,Отдел информатизации выполняют задачу: 'Зарегистрировать результаты технического обслуживания'.
21,Отдел информатизации,-,-,Уведомить пользователя о результатах технического обслуживания,-,Отдел информатизации выполняют задачу: 'Уведомить пользователя о результатах технического обслуживания'.
22,Отдел информатизации,-,-,Уведомление о результатах отправлено,-,Сотрудник отдела информатизации уведомляет пользователя о результатах технического обслуживания
23,Пользователи,-,-,Уведомление о результатах получено,-,Пользователь получает информацию о результатах технического обслуживания
24,Пользователи,-,-,Текущее обслуживание установленного в суде оборудования и техники организовано,-,Текущее обслуживание установленного в суде оборудования и техники организованоЗавершение процесса
