№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Лицо ответственное за межведомственный документооборот,—,—,Поступил запрос от СД при ВС РФ на формирование штатного расписания,—,В суд поступает запрос от СД при ВС РФ на формирование штатного расписания
1,Система,—,—,Зарегистрировать входящий документ,—,"Система автоматически регистрирует входящий документ при получении запроса от СД при ВС РФ, извлекает метаданные и сохраняет в базу данных"
2,Система,—,—,Назначить группу ответственных,—,"Система назначает отвественную группу лиц, для принятия документа в порядке очереди обращений или согласно нагрузке."
3,Лицо ответственное за межведомственный документооборот,—,—,ТБП106:Передать документ,—,"Переход к типовому процессу ТБП106:Передать документ, где результатом будет переданный в электронном виде документ с рекомендацией последующих действий."
4,Председатель суда,—,—,Ознакомиться с запросом,—,Председатель суда получает зарегистрированный документ и знакомиться с запросом
5,Председатель суда,—,—,Определить ответственных лиц,—,Председатель суда определяет ответственное лицо
6,Председатель суда,—,"",Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 5-го, 12-го шага"
7,Система,—,—,Уведомить ответственных лиц,—,Система уведомляет пользователя  выбранных в шаге 5 процесса.
8,Начальник отдела кадров,—,Проект штатного расписания,Сформировать штатное расписание на будущий год,—,Начальник отдела кадров формирует проект штатного расписания на будущий года
9,Начальник отдела кадров,—,—,Передать штатное расписание на подпись председателю суда,—,Сформированный проект штатного расписания начальник отдела кадров передает его на подписание председателю суда
10,Председатель суда,—,—,Изучить проект штатного расписания,—,Председатель суда получает проект штатного расписания и знакомиться с ним
11,Председатель суда,—,"",Штатное расписание согласовано?. Эксклюзивный открывающий шлюз,—,"Эксклюзивный шлюз Штатное расписание согласовано? Если да, то переход к шагу 13. Если нет, то переход к шагу 12"
12,Председатель суда,—,—,Передать замечания на штатное расписание,—,Председатель суда формирует замечания на штатное расписание и передает ответственному лицу
13,Председатель суда,—,Штатное расписание,Подписать штатное расписание,—,"Председатель суда ознакомился с штатным расписанием, согласовал и подписал его"
14,Председатель суда,—,—,Сменить статус сущности,—,Председатель суда изменяет статус сущности.
15,Председатель суда,—,—,ТБП106:Передать документ,—,"Переход к типовому процессу ТБП106:Передать документ, где результатом будет переданный в электронном виде документ с рекомендацией последующих действий."
16,Лицо ответственное за межведомственный документооборот,—,—,Инклюзивный открывающий шлюз. Открывающий шлюз,—,Определяется на шаге 15 какой вид отправления.Или фельдъегерской связью или по системе ведомственного документооборота или по электронной почте.
17,Лицо ответственное за межведомственный документооборот,—,—,Распечатать,—,Лицо ответственное за межведомственный документооборот распечатывает документ для передачи.
18,Лицо ответственное за межведомственный документооборот,—,—,Передать для направления фельдъегерской связью,—,Передать для направления фельдъегерской связью
19,Лицо ответственное за межведомственный документооборот,—,—,Штатное расписание направлено в СД при ВС РФ фельдъегерской связью.,—,Завершение процесса. Штатное расписание направлено в СД при ВС РФ фельдъегерской связью.
20,Лицо ответственное за межведомственный документооборот,—,—,Направить по системе ведомственного документооборота,—,Лицо ответственное за межведомственный документооборот направляет штатное расписание по системе ведомственного документооборота
21,Лицо ответственное за межведомственный документооборот,—,—,Получить квитанцию о доставке,—,Лицо ответственное за межведомственный документооборот получает квитанцию о доставке по системе ведомственного документооборота и прикрепляет к сущности.
22,Лицо ответственное за межведомственный документооборот,—,—,Штатное расписание направлено в СД при ВС РФ по системе ведомственного документооборота.,—,Штатное расписание направлено в СД при ВС РФ по системе ведомственного документооборота Завершение процесса
23,Лицо ответственное за межведомственный документооборот,—,—,Направить по электронной почте,—,Лицо ответственное за межведомственный документооборот направляет штатное расписание по электронной почте
24,Лицо ответственное за межведомственный документооборот,—,—,Получить отчет о доставке,—,Лицо ответственное за межведомственный документооборот получает отчет о доставке по электронной почте
25,Лицо ответственное за межведомственный документооборот,—,—,Штатное расписание направлено в СД при ВС РФ по электронной почте.,—,Лицо ответственное за межведомственный документооборот подшивает в номенклатурное дело экземпляр направленного отчета о результатах загрузки Хранение статистических отчетов на бумажном носителе производится в специально созданных номенклатурных делах с соответствующими сроками хранения.
