№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Возникла необходимость в составлении и предоставлении бюджетной отчетности. Стартовое событие,—,"Бюджетный учет имущества, обязательств, операций, их изменяющих (фактов хозяйственной деятельности), финансовых результатов осуществляется методом двойной записи на взаимосвязанных счетах бухгалтерского учета, включенных в рабочий план счетов субъекта учета. В целях обеспечения своевременного и достоверного отражения в бухгалтерском учете фактов хозяйственной жизни формируется первичный учетный документ в момент совершения факта хозяйственной жизни, а если это не представляется возможным – непосредственно по окончании операции. Процесс стартует при необходимости в составлении и предоставлении бюджетной отчетности. Отчетность бывает ежегодная, ежеквартальная или ежемесячная в зависимости от формы отчетности."
1,Система,—,—,Создать сущность бюджет,—,Система создает сущность бюджет
2,Система,—,—,Составить отчет об исполнении бюджета,—,Система автоматически составляет отчет об исполнении бюджета
3,Система,—,—,Составить баланс исполнения бюджета,—,Система автоматически составляет баланс исполнения бюджета
4,Система,—,—,Составить отчет о финансовых результатах деятельности,—,Система автоматически составляет отчет о финансовых результатах деятельности
5,Система,—,—,Составить отчет о движении денежных средств,—,Система автоматически составляет отчет о движении денежных средств
6,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Составить пояснительную записку,—,Сотрудник отдела бухгалтерского учета и отчетности составляет пояснительную записку
7,Сотрудник отдела бухгалтерского учета и отчетности,—,Бюджетная отчетность,Составить бюджетную отчетность,—,Сотрудник отдела бухгалтерского учета и отчетности составляет бюджетную отчетность
8,Система,—,—,Передать на согласование председателю,—,Система автоматически передает бюджетную отчетность на согласование председателю суда
9,Председатель суда/Зам. председателя,—,—,Ознакомиться с бюджетной отчетностью,—,"Председатель суда/Зам. Председателя знакомится с бюджетной отчетностью и принимает решение о том, подписывать ли ее для дальнейшего направления или необходима корректировка или уточнение"
10,Председатель суда/Зам. председателя,—,"",Необходима корректировка? Эксклюзивный открывающий шлюз,—,"Необходима корректировка?Если да, то переход к шагу 11Если нет, то переход к шагу 14"
11,Система,—,—,Передать замечания к бюджетной отчетности,—,Система передает замечания к бюджетной отчетности сотруднику отдела бухгалтерского учета и отчетности
12,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Внести необходимые коррективы,—,Сотрудник отдела бухгалтерского учета и отчетности вносит необходимые коррективы
13,Система,—,—,Передать исправленную отчетность,—,Система автоматически передает исправленную отчетность
14,Председатель суда/Зам. председателя,—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 10-го, 13-го шага"
15,Председатель суда/Зам. председателя,—,Согласованная бюджетная отчетность,Подписать бюджетную отчетность,—,Председатель суда/Зам. председателя подписывает УКЭП в системе бюджетную отчетность
16,Система,—,"Согласованная бюджетная отчетность, подписанный",Сохранить подписанный документ в сущности,—,Система сохраняет подписанный документ в системе
17,Система,—,—,Предоставить бюджетную отчетность в УСД,—,Система автоматически предоставляет бюджетную отчетность в УСД
18,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Ожидать ответа УСД,—,Сотрудник отдела бухгалтерского учета и отчетности ожидает ответа УСД
19,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Получен ответ из УСД по поводу отчетности.,—,Сотрудник отдела бухгалтерского учета и отчетности получает ответ из УСД по поводу отчетности
20,Сотрудник отдела бухгалтерского учета и отчетности,—,"",Бюджетная отчетность принята? Эксклюзивный открывающий шлюз,—,"Бюджетная отчетность принята?Если да, то переход к шагу 21Если нет, то переход к шагу 22"
21,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Бюджетная отчетность составлена и представлена в УСД. Завершающее событие,—,Бюджетная отчетность составлена и представлена в УСД. Завершение процесса
22,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Внести коррективы по замечаниям УСД,—,Сотрудник отдела бухгалтерского учета и отчетности вносит коррективы по замечаниям УСД в бюджетную отчетность
23,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Сформировать новую бюджетную отчетность,—,Сотрудник отдела бухгалтерского учета и отчетности формирует новую (скорректированную) бюджетную отчетность и передает на согласование председателю суда/зам. председателя суда
24,Председатель суда/Зам. председателя,—,—,Подписать скорректированную отчетность по замечаниям УСД,—,Председатель суда/Зам. председателя подписывает скорректированную отчетность по замечаниям УСД
25,Система,—,—,Передать скорректированную отчетность,—,Система автоматически передает скорректированную отчетность в УСД
26,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Бюджетная отчетность скорректирована по замечаниям и представлена в УСД. Завершающее событие,—,Бюджетная отчетность скорректирована по замечаниям и представлена в УСД. Завершение процесса
