№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Отдел информатизации,-,-,Возникла необходимость оказания информационной и программной поддержки информационной системы суда (далее ИС),-,"Специалист по информатизации начинает оказывать информационную и программную поддержку автоматизированных процессовЗаявки на оказание информационной и программной поддержки автоматизированных процессов поступают в процессе OBP34:Регистрация, учет и обработка заявок в Service Desk системе"
1,Отдел информатизации,-,-,Параллельный открывающий шлюз,-,"Параллельный открывающий шлюз, разделяющий поток на 2-й, 3-й шаги"
2,Система,-,-,Проверить наличие заявок от сотрудников судов,-,"Система выполняет задачу, проверить наличие заявок от сотрудников судов, результатом будет вывод системы со списком обращений."
3,Система,-,-,Выполнить мониторинг работоспособности ИС,-,"Система выполняет задачу: 'Выполнить мониторинг работоспособности ИС', результатом будет сформированная карточка отчета о мониторинге или внешние ИС могут обеспечить контроль."
4,Отдел информатизации,-,-,Параллельный закрывающий шлюз,-,"Параллельный закрывающий шлюз, объединяющий потоки из 2-го, 3-го шага"
5,Отдел информатизации,-,-,Обнаружен сбой в работе ИС?. Эксклюзивный открывающий шлюз,-,"Если да, то переход к шагу 6. Если нет, то переход к шагу 7"
6,Система,-,-,Установить причину сбоя,-,"Система выполняет задачу: 'Установить причину сбоя', результатом будет вывод логов из автоматизированных систем мониторинга работы ИС и сетей."
7,Отдел информатизации,-,"",Требуется ли подрядчик для устранения сбоя?. Эксклюзивный закрывающий шлюз,-,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 5-го, 6-го шага"
8,Система,-,-,Сформировать отчет об ошибках/обращениях,-,Система выполняет задачу: 'Сформировать отчет об ошибках/обращениях'.Автоматическое построение отчета по имеющимся данным в реальном времени.
9,Система,-,-,Уведомить ответственного сотрудника,-,"Система выполняет задачу: 'Уведомить ответственного сотрудника', при проставлении ответственного или группы ответственных в задаче."
10,Система,-,-,ТБП139.Проверить выводы системы,-,"Переход к типовому процессу ТБП139.Проверить выводы системы, результатом которой будет валидированные данные в системе или сформированный отчет об ошибке для технической поддержки."
11,Отдел информатизации,-,-,Сбой в работе ИС подтвержден?. Эксклюзивный открывающий шлюз,-,"Специалист по информатизации выполняет повторную проверку работоспособности ИС Если да, то переход к шагу 12. Если нет, то переход к шагу 19"
12,Отдел информатизации,-,-,Требуется ли подрядчик для устранения сбоя?. Эксклюзивный открывающий шлюз,-,"Если да, то переход к шагу 13. Если нет, то переход к шагу 18"
13,Отдел информатизации,-,-,Самостоятельно устранить сбой. Эксклюзивный закрывающий шлюз,-,"Специалист по информатизации самостоятельно устраняет сбой в системе. Эксклюзивный закрывающий шлюз, объединяющий потоки из 12-го, 17-го шага"
14,Отдел информатизации,-,-,Отправить запрос на устранение сбоя подрядчику,-,Отправить запрос на устранение сбоя подрядчику
15,Отдел информатизации,-,-,Получить информацию об устранении сбоя,-,Информационная и программная поддержка ИС оказана
16,Отдел информатизации,-,-,Повторно проверить работоспособность ИС,-,Отдел информатизации выполняют задачу: 'Повторно проверить работоспособность ИС'.
17,Отдел информатизации,-,-,Обнаружен сбой в работе ИС?. Эксклюзивный открывающий шлюз,-,"Если да, то переход к шагу 13. Если нет, то переход к шагу 19"
18,Отдел информатизации,-,-,Самостоятельно устранить сбой,-,Отдел информатизации выполняют задачу: 'Самостоятельно устранить сбой'.
19,Отдел информатизации,-,"",Эксклюзивный закрывающий шлюз,-,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 11-го, 17-го, 18-го шага"
20,Отдел информатизации,-,-,Информационная и программная поддержка ИС оказана,-,Информационная и программная поддержка ИС оказана. Завершенние процесса.
