№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Начальник отдела информатизации/отдела МТО/отдела анализа и обобщения.,—,—,Наступил срок проведения плановой годовой инвентаризации,__,Процесс стартует с момента наступил срок проведения плановой годовой инвентаризации.
1,Начальник отдела информатизации/отдела МТО/отдела анализа и обобщения.,—,—,Поступил запрос на проведение инвентаризации,__,Процесс стартует с момента поступления запрос на проведение инвентаризации
2,Начальник отдела информатизации/отдела МТО/отдела анализа и обобщения.,—,"",Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий поток из 1-го шага"
3,Начальник отдела информатизации/отдела МТО/отдела анализа и обобщения.,—,—,Определить состав комиссии,__,"Начальник отдела информатизации/отдела МТО/отдела анализа и обобщения определяет состав комиссии для проведения конкретной инвентаризации. Состав комиссии утверждается председателем суда.  Система создаст новый объект инвентаризации, добавить необходимых участников. Все акты, касающиеся инвентаризации будут привязаны к этому объекту."
4,Система,—,—,Подготовить шаблон решения,__,Система готовит шаблон решения
5,Начальник отдела информатизации/отдела МТО/отдела анализа и обобщения.,—,Решение о проведении инвентаризации,Подготовить решение о проведении инвентаризации,__,Начальник отдела информатизации/отдела МТО/отдела анализа и обобщения готовит в системе решение о проведении инвентаризации
6,Начальник отдела информатизации/отдела МТО/отдела анализа и обобщения.,—,—,Передать для подписания,__,Начальник отдела информатизации/отдела МТО/отдела анализа и обобщения передает проект решения о проведении инвентаризации для подписания через ЭДО внутри ЕПЦП
7,Система,—,—,Создать задачу на подпись,__,Система создает  задачу на подпись для председателя суда
8,Председатель суда,—,—,Подписать Решение о проведении инвентаризации,__,Председатель суда подписывает УКЭП в системе решение о проведении инвентаризации и передает его начальнику отдела информатизации/отдела МТО/отдела анализа и обобщения для организации проведения инвентаризации.
9,Система,—,—,Закрыть задачу на подпись,__,Система закрывает задачу на подписание документа
10,Начальник отдела информатизации/отдела МТО/отдела анализа и обобщения.,—, Инвентаризационная опись,Сформировать инвентаризационную опись,__,Начальник отдела информатизации/отдела МТО/отдела анализа и обобщения формирует инвентаризационную опись в системе ЕПЦП
11,Начальник отдела информатизации/отдела МТО/отдела анализа и обобщения.,—,—,Определить дату начала инвентаризации,__,Начальник отдела информатизации/отдела МТО/отдела анализа и обобщения указывает в системе дату и время начала инвентаризации
12,Начальник отдела информатизации/отдела МТО/отдела анализа и обобщения.,—,—,Довести до сведения комиссии,__,Начальник отдела информатизации/отдела МТО/отдела анализа и обобщения доводит до сведения комиссии дату и время начала проведения инвентаризации.
13,Начальник отдела информатизации/отдела МТО/отдела анализа и обобщения.,—,—,Ожидать начала инвентаризации,__,Начальник отдела информатизации/отдела МТО/отдела анализа и обобщения. выполняет задачу: 'Ожидать начала инвентаризации'.
14,Начальник отдела информатизации/отдела МТО/отдела анализа и обобщения.,—,—,Начать проведение инвентаризации,__,"Начальник отдела информатизации/отдела МТО/отдела анализа и обобщения после наступления даты и времени проведения инвентаризации проведения самой инвентаризации вместе с инвентаризационной комиссией, в состав которой он обычно включен."
15,Инвентаризационная комиссия,—,—,Провести инвентаризацию,__,Инвентаризационная комиссия проводит инвентаризацию.
16,Инвентаризационная комиссия,—,—,Сверить инвентаризационные номера из акта с фактическими номерами,__,Инвентаризационная комиссия сверяет инвентаризационные номера из акта с фактическими номерами и сразу указывает данные в системе ЕПЦП
17,Система,—,—,Подготовить шаблон акта о результатах инвентаризации,__,Система формирует шаблон акта о результатах инвентаризации.
18,Инвентаризационная комиссия,—,Акт о результатах инвентаризации,Завершить акт о результатах инвентаризации,__,Инвентаризационная комиссия завершает акт о результатах инвентаризации внесением в него недостающих данных и подписывая его УКЭП
19,Инвентаризационная комиссия,—,—,Выявлены расхождения по итогам инвентаризации? Эксклюзивный шлюз,—,"Выявлены расхождения по итогам инвентаризации? Если да, то переход к шагу 20Если нет, то переход к шагу 24"
20,Система,—,—,Подготовить шаблон дефективного акта,__,Система готовит шаблон дефективного акта
21,Инвентаризационная комиссия,—,Дефектный акт,Завершить дефектный акт,—,Инвентаризационная комиссия завершает дефектный акт внесением в него недостающих данных и подписывая его УКЭП
22,Начальник отдела информатизации/отдела МТО/отдела анализа и обобщения.,—,Документы по расхождениям по итогам инвентаризации,Завершить документы по итогам инвентаризации,—,Начальник отдела информатизации/отдела МТО/отдела анализа и обобщения завершает документы по итогам инвентаризации внесением в него недостающих данных и подписывая его УКЭП
23,Система,—,—,Подготовить шаблон документов по итогам,—,Система готовит шаблон документов по итогам проведенной инвентаризации
24,Начальник отдела информатизации/отдела МТО/отдела анализа и обобщения.,—,"",Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 19-го, 22-го шага"
25,Система,—,—,Сохранить данные о результатах инвентаризации в системе,—,Система сохраняет данные о результатах инвентаризации в системе
26,Начальник отдела информатизации/отдела МТО/отдела анализа и обобщения.,—,—,Инвентаризация проведена. Результаты инвентаризации зафиксированы. Завершающее событие,—,Инвентаризация проведена. Результаты инвентаризации зафиксированы. Завершение процесса
