№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Возникла необходимость обеспечить своевременность налоговых платежей. Стартовое событие,__,"Суд как государственное учреждение уплачивает:1) НДФЛ -удерживается с зарплаты сотрудников и иных выплат, перечисляется в день фактической выплаты дохода.2) Страховые взносы -пенсионные, медицинские, соцстрах, перечисляются не позднее 15 числа следующего месяца.3) имущественный налог (если суд является балансодержателем)Процесс стартует, когда возникает необходимость обеспечить своевременность налоговых платежей. Цель процесса- обеспечить корректное и своевременное начисление, удержание, перечисление и отчетность по обязательным налогам и сборам суда, исключить риски просрочек, штрафов и нарушений бюджетного законодательства."
1,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Создать сущность запрос,__,Сотрудник отдела бухгалтерского учета и отчетности создает сущность запрос в системе
2,Сотрудник отдела бухгалтерского учета и отчетности,—, Запрос данных,Запросить данные у отделов,__,Сотрудник отдела бухгалтерского учета и отчетности запрашивает данные у отделов
3,Отдел кадров,—,—,Параллельный открывающий шлюз,—,"Параллельный открывающий шлюз, разделяющий поток на 4-й, 10-й шаги"
4,Отдел кадров,—,—,Ознакомиться с запросом бухгалтерии,__,Отдел кадров выполняет знакомится с запросом бухгалтерии
5,Отдел кадров,—,—,Подготовить сведения о приеме/увольнении сотрудников,__,Отдел кадров готовит сведения о приеме/увольнении сотрудников
6,Отдел кадров,—,—,Подготовить данные о больничных/отпусках/командировках,__,Отдел кадров готовит данные о больничных/отпусках/командировках
7,Отдел кадров,—,—,Подготовить сведения о льготах и вычетах,__,Отдел кадров готовит сведения о льготах и вычетах
8,Отдел кадров,—,Сводный отчет для бухгалтерии от отдела кадров,Сформировать сведения в единый документ,__,Отдел кадров формирует в системе сведения в единый документ
9,Система,—,—,Передать сводный отчет в бухгалтерию,__,Система автоматически передает сводный отчет в бухгалтерию
10,Отдел МТО,—,—,Ознакомиться с запросом бухгалтерии,__,Отдел МТО знакомится с запросом бухгалтерии
11,Отдел МТО,—,—,Подготовить данные об имуществе,__,Отдел МТО готовит данные об имуществе
12,Отдел МТО,—,—,Подготовить акты списания,__,Отдел МТО готовит акты списания
13,Отдел МТО,—, Сводный отчет по имуществу,Сформировать сведения в единый документ,__,Отдел МТО формирует в системе сведения в единый документ
14,Система,—,—,Передать сводный отчет в бухгалтерию,__,Система автоматически передает сводный отчет в бухгалтерию
15,Отдел кадров,—,—,Параллельный закрывающий шлюз,—,"Параллельный закрывающий шлюз, объединяющий потоки из 9-го, 14-го шага"
16,Сотрудник отдела бухгалтерского учета и отчетности,—,—,"Получить сведения, необходимые для налогового расчета",__,"Сотрудник отдела бухгалтерского учета и отчетности получает сведения, необходимые для налогового расчета"
17,Система,—,Налоговый расчет,Рассчитать налоги,__,Система автоматически рассчитывает налоги
18,Сотрудник отдела бухгалтерского учета и отчетности,—,—,ТБП139.Проверить выводы системы,—,"Переход к ТБП139 Проверить выводы системы, результатом которого будет валидация выводов системы сотрудником отдела бухгалтерского учета и отчетности"
19,Система,—,—,Передать налоговый расчет на согласование,__,Система автоматически передает налоговый расчет на согласование председателю суда
20,Председатель суда/Зам. председателя суда,—,—,Ознакомиться с налоговым расчетом,__,Председатель суда/Зам. председателя суда знакомится с налоговым расчетом
21,Председатель суда/Зам. председателя суда,—,—,Есть замечания?Эксклюзивный открывающий шлюз,—,"Есть замечания?Если да, то переход к шагу 22Если нет, то переход к шагу 24"
22,Система,—,—,Передать замечания,__,Система автоматически передает замечания
23,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Рассчитать с учетом замечаний,__,Сотрудник отдела бухгалтерского учета и отчетности производит налоговый расчет с учетом замечаний
24,Председатель суда/Зам. председателя суда,—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 21-го, 23-го шага"
25,Председатель суда/Зам. председателя суда,—,Согласованный налоговый расчет,Согласовать налоговый расчет,__,Председатель суда/Зам. председателя суда согласовывает налоговый расчет
26,Система,—,—,Подготовить платежное поручение по каждому налогу,__,Система автоматически готовит платежное поручение по каждому налогу
27,Система,—,—,Проверить корректность реквизитов в платежных поручениях,__,Система автоматически проверяет корректность реквизитов в платежных поручениях
28,Система,—,—,Указать сроки перечисления в платежном поручении,__,Система автоматически указывает сроки перечисления в платежном поручении
29,Система,—,—,ТБП139.Проверить выводы системы,__,Сотрудник отдела бухгалтерского учета и отчетности направляет платежное поручение в казначейство
30,Сотрудник отдела бухгалтерского учета и отчетности,—,Платежный документ,Сформировать платежный документ,__,Сотрудник отдела бухгалтерского учета и отчетности ожидает подтверждения об исполнении от казначейства
31,Сотрудник отдела бухгалтерского учета и отчетности,—,"Уведомление о кассовом исполнении, Заявка",Внести заявку в казначейскую систему,__,Сотрудник отдела бухгалтерского учета и отчетности получает от казначейства подтверждение об исполнении- «уведомление о кассовом исполнении».
32,Система,—,—,Отразить удержание НДФЛ,__,Сотрудник отдела бухгалтерского учета и отчетности отражает удержание НДФЛ в журналах/реестрах
33,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Ожидать подтверждение об исполнении,—,Отразить начисление страховых взносов
34,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Получить подтверждение об исполнении,—,Отразить уплату налогов
35,Система,—,—,ТБП139.Проверить выводы системы,—,"Переход к ТБП139 Проверить выводы системы, результатом которого будет валидация выводов системы сотрудником отдела бухгалтерского учета и отчетности"
36,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Сверить обязательства на конец месяца,__,Сотрудник отдела бухгалтерского учета и отчетности сверяет обязательства на конец месяца'.
37,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 36-го, 50-го шага"
38,Сотрудник отдела бухгалтерского учета и отчетности,—, Налоговая отчетность,Сформировать налоговую отчетность,__,"Сотрудник отдела бухгалтерского учета и отчетности формирует и сдаёт:6-НДФЛ (помесячно и поквартально) За квартал / полугодие / 9 месяцев — не позднее 25-го числа месяца, следующего за отчётным периодом. Годовой расчёт — до 25 февраля следующего года2-НДФЛ / Справки о доходах - крайний срок — до 1 марта года, следующего за отчётнымСЗВ-М - Ежемесячно — не позднее 15 числа текущего месяца за предыдущий СЗВ-СТАЖ Раз в год — не позднее 1 марта года, следующего за отчётнымРСВ - поквартально: до 25-го числа месяца, следующего за отчётным кварталом"
