Номер действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага процесса,Срок,Описание процесса
0.,Помощник судьи/секретарь СЗ,-,-,Появилась необходимость оформить протокол СЗСтартовое событие,-,"протокол судебного заседания в арбитражном суде — это официальный процессуальный документ, который фиксирует всё, что происходило в судебном заседании. Оформление протокола судебного заседания регламентировано положениями п. 7 Инструкции по делопроизводству№ 100, аудио протокола – п.6 Инструкции № 100, а также нормами АПК РФ. Стартом процесса является необходимость оформить протокол СЗ после проведения СЗ или ПСЗ."
"",Помощник судьи/секретарь СЗ,-,-,Явочное СЗ?Эксклюзивный шлюз,-,"Если никто из вызванных лиц не явился и все были извещены надлежащим образом, то такое судебное заседание будет считаться не явочным. Помощник судьи/секретарь СЗ решает явились ли участники СЗ/ПСЗ на судебное заседание.Если «Да», то переход к шагу 14 процессаЕсли «Нет», то переход к шагу 2 процесса."
"",Помощник судьи/секретарь СЗ,-,Неявочный протокол,Составить неявочный протокол,-,Помощник судьи/секретарь СЗ инициирует в системе процесс генерации неявочного протокола на основе шаблона.
"",Помощник судьи/секретарь СЗ,-,-,Параллельный шлюз,-,"Параллельный шлюз для координации процесса. Шаги 4,5,6,7,8,9 процесса происходят параллельно."
"",Система,-,-,"Зафиксировать год, месяц, число, место проведения СЗ",-,"Система фиксирует в протоколе год, месяц, число, место проведения судебного заседания."
"",Система,-,-,"Зафиксировать наименование АС, состав суда",-,"Система фиксирует в протоколе наименование Арбитражного суда, состав суда, рассматривающий дело."
"",Система,-,-,Зафиксировать наименование и номер дела,-,Система фиксирует в протоколе наименование и номер дела
"",Система,-,-,Зафиксировать ходатайство о рассмотрении в отсутствии,-,"Система фиксирует в протоколе ходатайство о рассмотрении дела в отсутствии лиц, извещенных надлежащим образом."
"",Система,-,-,Зафиксировать дату составления протокола,-,Система фиксирует в протоколе дату составления протокола
"",Помощник судьи/секретарь СЗ,-,-,"Зафиксировать иные сведения, имеющие значение для дела",-,"Помощник судьи/секретарь СЗ фиксирует в протоколе иные сведения, имеющие значение для дела."
"","",-,-,Параллельный шлюз.,-,Параллельный шлюз.
"",Система,-,Отчет,Сформировать отчет ,-,Система формирует отчет о составленном на основе шаблона протоколе с указанием занесенных сведений и результатом обработки для последующей валидации пользователем.
"",Помощник судьи/секретарь СЗ,-,-,Проверить выводы системы ,-,"Переход к типовому процессу «Проверить выводы системы», в рамках которого Помощник судьи/секретарь СЗ валидирует составленный системой протокол."
"",Помощник судьи/секретарь СЗ,-,-,Переход к шагу 47. Событие ссылка.,-,Промежуточное событие-переход к шагу 47 процесса
"",Помощник судьи/секретарь СЗ,-,-,Параллельный шлюз,-,Параллельный шлюз для координации процесса. Шаги 23 и 15 процесса происходят параллельно. Отражает одновременное составление письменного протокола и ауди фиксацию процесса.
"",Помощник судьи/секретарь СЗ,-,-,Закрытое СЗ по гос. тайне?(Эксклюзивный шлюз),-,"Файлы аудиозаписи судебных заседаний сохраняются в информационной системе арбитражного суда (кроме случаев, когда разбирательство дела производится в закрытом судебном заседании в целях недопущения разглашения государственной тайны). Файлы аудиозаписи закрытых судебных заседаний записываются на автономном техническом устройстве, зарегистрированном в установленном порядке в качестве носителя информации, содержащего сведения, составляющие государственную тайну, и хранятся исключительно на оптическом диске.Помощник судьи/секретарь СЗ смотрит было ли проведено закрытое судебное заседание по гостайне.Если «Да», то переход к шагу 16 процесса.Если «Нет», то переход к шагу 21 процесса."
"",Помощник судьи/секретарь СЗ,-,Протокол СЗ с использованием автономных технических средств,Составить протокол с исп. автономных тех. средств,-,"Помощник судьи/секретарь СЗ формирует протокол с использованием автономных технических средств, зарегистрированных в установленном порядке в качестве носителя информации, содержащего сведения, составляющие государственную тайну, на основе шаблона."
"",Помощник судьи/секретарь СЗ,-,-, Занести аудио файл  в систему ,-,Помощник судьи/секретарь СЗ заносит аудио-файл хода СЗ в систему.
"",Система,-,-,Ограничить доступ к файлам ,-,Система ограничивает доступ к файлам закрытого СЗ в соответствии с настроенной ролевой моделью для данной категории дел.
