№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Инициатор закупки,—,—,Возникла необходимость проверки исполнения обязательств или контроля за исполнением гос. договоров,__,Поставщик поставляет товары или выполняет работы/ услуги в соответствии с контрактом и передает первичный учетный документ для приемки работ/услуг. Старт процесса
1,Инициатор закупки,Первичный учетный документ,—,"Выполнить приёмку товаров, работ, услуг",__,"Инициатор закупки проверяет количество и качество товара (качество оказанных услуг/ выполненных работ), сверяет с первичным учетным документом от подрядчика (ТОРГ-12, акт оказанных услуг, УПД и др.)."
2,Инициатор закупки,—,—,Выявлены нарушения? Эксклюзивный открывающий шлюз,—,"Выявлены нарушения?Если «Да», то переход к шагу 15Если «Нет», то переход к шагу 4"
3,Инициатор закупки,—,—,Переход от шага 29,—,Переход от шага 29
4,Инициатор закупки,—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 2-го, 3-го шага"
5,Инициатор закупки,—,—,Работа с подрядчиком ведется через ЕИС?Эксклюзивный открывающий шлюз,—,"Если работа с подрядчиком ведется через ЕИС, то первичный учетный документ поступает в ЕИС.Если работа с подрядчиком ведется вне ЕИС, то первичный учетный документ поступает на бумаге.Работа с подрядчиком ведется через ЕИС?Если «Да», то переход к шагу 10Если «Нет», то переход к шагу 6"
6,Инициатор закупки,Первичный учетный документ,Первичный учетный документ подписанный,Подписать первичный учетный документ,20 рабочих дней,Инициатор закупки выполняют задачу: Подписать первичный учетный документ
7,Система,—,—,Передать в бухгалтерию,__,Система автоматически передает сотруднику отдела бухгалтерского учета и отчетности подписанный первичный учетный документ
8,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Ознакомиться с учетными документами,__,Сотрудник отдела бухгалтерского учета и отчетности знакомится с учетными документами.
9,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Внести данные в 1С:БГУ,__,Сотрудник отдела бухгалтерского учета и отчетности вносит данные в 1С:БГУ'.
10,"Руководитель/сотрудник отдела, ответственного за контроль гос. договоров",Первичный учетный документ,Первичный учетный документ подписанный,Подписать первичный учетный документ в ЕИС,__,"Руководитель/сотрудник отдела, ответственного за контроль гос. договоров выполняет задачу: 'Подписать первичный учетный документ в ЕИС'."
11,"Руководитель/сотрудник отдела, ответственного за контроль гос. договоров",—,—,Подписать документ о приемке в ЕИС,__,"Руководитель/сотрудник отдела, ответственного за контроль гос. договоров выполняет задачу: 'Подписать документ о приемке в ЕИС'."
12,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Выгрузить документ приемки из ЕИС,__,Сотрудник отдела бухгалтерского учета и отчетности выполняют задачу: 'Выгрузить документ приемки из ЕИС'.
13,Сотрудник отдела бухгалтерского учета и отчетности,—,"",Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 9-го, 12-го шага"
14,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Обязательства по контракту исполнены,—,Завершение процесса контроля исполнения государственного договора/контракта. Обязательства исполнены.
15,Инициатор закупки,—,Акт несоответствия,Подготовить акт несоответствия,__,"Если при приемке товаров, услуг, работ выявлены нарушения, то инициатор закупки готовит акт несоответствия в MS Word, распечатывает и подписывает у уполномоченных лиц."
16,Инициатор закупки,—,—,Подписать акт несоответствия,__,После согласования и подписания ответственными лицами инициатор закупки так же ставит подпись на акте несоответствия.
17,Инициатор закупки,—,—,Работа с подрядчиком ведется через ЕИС?Эксклюзивный открывающий шлюз,—,"Работа с подрядчиком ведется через ЕИС?Если «Да», то переход к шагу 18Если «Нет», то переход к шагу 20"
18,Инициатор закупки,—,—,Отсканировать акт несоответствия в ЕИС,—,Отсканировать акт несоответствия в ЕИС
19,Инициатор закупки,—,—,Разместить акт несоответствия в ЕИС,__,Инициатор закупки размещает акт несоответствия в ЕИС
20,Инициатор закупки,—,Акт несоответствия,Направить акт несоответствия подрядчику,__,Инициатор закупки направляет акт несоответствия подрядчику в бумажном варианте
21,Инициатор закупки,—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 19-го, 20-го шага"
22,Инициатор закупки,—,—,Событийный открывающий шлюз. Открывающий шлюз,—,"Поток управления направляется по той ветви, событие по которой наступит раньше других. Остальные события будут проигнорированы. Наступление первого из событий после направления акта несоответствия подрядчику:Если наступление следующего дня за сроком, определенным контрактом или сторонами для подписания акта несоответствия - переход к шагу 23Если получение уведомления о подписании акта несоответствия от подрядчика - переход к шагу 24"
23,Инициатор закупки,—,—,"Следующий день за сроком, определенным контрактом или сторонами на подписание акта несоответствия",—,"Следующий день за сроком, определенным контрактом или сторонами на подписание акта несоответствия"
24,Инициатор закупки,—,—,Получить уведомление о подписании акта несоответствия от подрядчика,—,Получить уведомление о подписании акта несоответствия от подрядчика
25,Инициатор закупки,—,—,Событийный открывающий шлюз. Открывающий шлюз,—,"Поток управления направляется по той ветви, событие по которой наступит раньше других. Наступление первого из событий после получения подписанного акта несоответствия от подрядчика:Если наступление следующего дня за сроком, определенным контрактом или сторонами для исправления недостатков, зафиксированных в акте несоответствия - переход к шагу 26Если получение уведомления об исправлении недостатков, зафиксированных в акте несоответствия - переход к шагу 27."
26,Инициатор закупки,—,—,"Следующий день за сроком, определенным контрактом или сторонами на исправление недостатков",—,"Следующий день за сроком, определенным контрактом или сторонами на исправление недостатков"
27,Инициатор закупки,—,—,Получить сообщение об исправлении недостатков по акту несоответствия,—,Получить сообщение об исправлении недостатков по акту несоответствия
28,Инициатор закупки,Первичный учетный документ,—,"Выполнить приёмку товаров, услуг, работ",—,"Выполнить приёмку товаров, услуг, работ"
29,Инициатор закупки,—,—,Переход к шагу 3,—,Переход к шагу 3
30,Инициатор закупки,—,—,Недостатки устранены?. Эксклюзивный открывающий шлюз,—,"Недостатки устранены?Если «Да», то переход к шагу 29Если «Нет», то переход к шагу 31"
31,Инициатор закупки,—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 23-го, 26-го, 30-го шага"
32,Инициатор закупки,—,—,Передать акт несоответствия,—,Передать акт несоответствия
33,"Руководитель/сотрудник отдела, ответственного за контроль гос. договоров",—,Претензия,Подготовить претензию,__,"Руководитель/сотрудник отдела, ответственного за контроль гос. договоров выполняет задачу: 'Подготовить претензию'."
34,"Руководитель/сотрудник отдела, ответственного за контроль гос. договоров",—,"",Работа с подрядчиком ведется через ЕИС? Эксклюзивный открывающий шлюз,—,"Работа с подрядчиком ведется через ЕИС?Если да, то переход к шагу 35Если нет, то переход к шагу 37"
35,"Руководитель/сотрудник отдела, ответственного за контроль гос. договоров",—,—,Отсканировать претензию,—,Отсканировать претензию
36,"Руководитель/сотрудник отдела, ответственного за контроль гос. договоров",—,—,Разместить претензию в ЕИС,__,"Руководитель/сотрудник отдела, ответственного за контроль гос. договоров выполняет задачу: 'Разместить претензию в ЕИС'."
37,"Руководитель/сотрудник отдела, ответственного за контроль гос. договоров",—,—,Направить претензию подрядчику,—,Направить претензию подрядчику
38,"Руководитель/сотрудник отдела, ответственного за контроль гос. договоров",—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 36-го, 37-го шага"
39,"Руководитель/сотрудник отдела, ответственного за контроль гос. договоров",—,Документы по расторжению контракта,Провести работу по расторжению контракта,—,Провести работу по расторжению контракта
40,"Руководитель/сотрудник отдела, ответственного за контроль гос. договоров",—,—,Работа с подрядчиком ведется через ЕИС?. Эксклюзивный открывающий шлюз,—,"Работа с подрядчиком ведется через ЕИС?Если «Да», то переход к шагу 44Если «Нет», то переход к шагу 41"
41,"Руководитель/сотрудник отдела, ответственного за контроль гос. договоров",—,—,Направить документы по расторжению контракта,—,Направить документы по расторжению контракта
42,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Получить документы на бумаге,—,Получить документы на бумаге
43,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Внести документы в 1С: БГУ,__,Сотрудник отдела бухгалтерского учета и отчетности выполняют задачу: 'Внести документы в 1С: БГУ'.
44,"Руководитель/сотрудник отдела, ответственного за контроль гос. договоров",—,—,Отсканировать документы по расторжению контракта,—,Отсканировать документы по расторжению контракта
45,"Руководитель/сотрудник отдела, ответственного за контроль гос. договоров",—,—,Разместить документы по расторжению контракта в ЕИС,__,"Руководитель/сотрудник отдела, ответственного за контроль гос. договоров выполняет задачу: 'Разместить документы по расторжению контракта в ЕИС'."
46,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Выгрузить документы по расторжению контракта из ЕИС,__,Сотрудник отдела бухгалтерского учета и отчетности выполняют задачу: 'Выгрузить документы по расторжению контракта из ЕИС'.
47,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 43-го, 46-го шага"
48,Сотрудник отдела бухгалтерского учета и отчетности,—,—,Контракт расторгнут в связи с неисполнением,—,Завершение процесса контроля исполнения государственного договора/контракта. Контракт расторгнут в связи с неисполнением подрядчиком обязательств.
