№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Сотрудник суда,—,—,Возникла необходимость получить техническую поддержку,—,Возникла необходимость получить техническую поддержку
1,Сотрудник суда,—,—,Авторизоваться Service Desk,—,Для создания заявки в Service Desk сотруднику требуется авторизоваться и войти в личный кабинет
2,Сотрудник суда,—,—,Сформировать заявку,—,После авторизации сотруднику требуется сформировать заявку и указать причину заявки
3,Система,—,—,Запросить информацию о загруженности сотрудников,—,Система выполняет задачу: 'Запросить информацию о загруженности сотрудников'.
4,Система,—,—,Назначить исполнителя,—,"Система автоматически назначает исполнителя, учитывая его компетенцию и нагрузку "
5,Сотрудник отдела информатизации,—,—,Ознакомиться с задачей,—,Сотрудник отдела информатизации выполняют задачу: Ознакомиться с задачей.
6,Сотрудник отдела информатизации,—,—,Внести в систему данные,—,Сотрудник отдела информатизации выполняют задачу: Внести в систему данные.
7,Сотрудник отдела информатизации,—,"",Какой тип заявки?,—,"Эксклюзивный открывающий шлюзЕсли Обеспечение работы сети ""Интернет"", то переход к шагу 8Если Обеспечение работы ИС суда, то переход к шагу 11Если Техническое обеспечение систем, то переход к шагу 14Если Обеспечение работы оборудования и техники, то переход к шагу 17Если Техническое обеспечение нового сотрудника, то переход к шагу 20"
8,Сотрудник отдела информатизации,—,—,"ОБП23:Обеспечить работу сети ""Интернет""",—,"Переход к типовому процессу  ОБП23:Обеспечить работу сети ""Интернет"""
9,Сотрудник отдела информатизации,—,—,Закрыть заявку,—,Сотрудник отдела информатизации выполняют задачу: Закрыть заявку
10,Сотрудник отдела информатизации,—,—,"Заявка обработана. Обеспечена работоспособность сети ""Интернет""",—,Завершение процесса
11,Сотрудник отдела информатизации,—,—,ОБП33:Обеспечить поддержку ИС,—,Переход к типовому процессу  ОБП33:Обеспечить поддержку ИС
12,Сотрудник отдела информатизации,—,—,Закрыть заявку,—,Сотрудник отдела информатизации выполняют задачу: 'Закрыть заявку'.
13,Сотрудник отдела информатизации,—,—,Заявка обработана. Обеспечена работоспособность ИС.,—,Завершение процесса
14,Сотрудник отдела информатизации,—,—,ОБП17:Организовать обслуживание систем,—,Переход к типовому процессу  ОБП17:Организовать обслуживание систем
15,Сотрудник отдела информатизации,—,—,Закрыть заявку,—,Сотрудник отдела информатизации выполняют задачу: Закрыть заявку.
16,Сотрудник отдела информатизации,—,—,Заявка обработана. Обеспечена работоспособность систем.,—,Завершение процесса
17,Сотрудник отдела информатизации,—,—,ОБП14:Организовать обслуживание техники,—,Переход к типовому процессу  ОБП14:Организовать обсуживание техники
18,Сотрудник отдела информатизации,—,—,Закрыть заявку,—,Сотрудник отдела информатизации выполняют задачу: Закрыть заявку
19,Сотрудник отдела информатизации,—,—,Заявка обработана. Обеспечена работоспособность оборудования и техники.,—,Завершение процесса
20,Сотрудник отдела информатизации,—,—,Зарегистрировать нового сотрудника во всех ИС,—,Сотрудник отдела информатизации выполняют задачу: Зарегистрировать нового сотрудника во всех ИС.
21,Сотрудник отдела информатизации,—,—,"Предоставить логин, временный пароль",—,Сотрудник отдела информатизации выдает новому сотруднику технику
22,Сотрудник отдела информатизации,—,—,Выдать технику,—,Сотрудник отдела информатизации выдает технику новому сотруднику
23,Новый сотрудник,—,Журнал выдачи техники,Поставить подпись в журнале выдачи,—,Новый сотрудник принимает технику и ставит подпись в журнале выдачи техники
24,Сотрудник отдела информатизации,—,—,Закрыть заявку,—,Сотрудник отдела информатизации выполняют задачу: Закрыть заявку
25,Сотрудник отдела информатизации,—,—,Заявка обработана. Проведено техническое обеспечение нового сотрудника.,—,Завершение процесса
