№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Сотрудник отдела информатизации,—,—,Возникла необходимость организовать работоспособность каналов связи и сети Интернет,__,Процесс стартует с момента возникновения необходимости организовать работоспособность каналов связи и сети Интернет
1,Система,—,—,Провести проверку работоспособности каналов связи и сети Интернет,__,Система ежедневно проводит проверку работоспособности каналов связи и сети Интернет
2,Сотрудник отдела информатизации,—,—,Проверить наличие заявок от сотрудников судов,__,Сотрудник отдела информатизации проверяет наличие заявок от сотрудников судов о перебоях в каналах связи или сети «Интернет»
3,Система,—,—,Выполнить мониторинг работоспособности,__,"Система ежедневно проводит мониторинг работоспособности на предмет сбоев, в том числе в связи с заявкой сотрудника."
4,Сотрудник отдела информатизации,—,—,Обнаружен сбой в работе сети Интернет?. Эксклюзивный  шлюз,—,"Сотрудник отдела информатизации по результатам проверки смотрит был ли обнаружен сбой в работе сети Интернет? Если «Да», то переход к шагу 5 Если «Нет», то переход к шагу 17"
5,Сотрудник отдела информатизации,—,—,Установить причину сбоя в системе,__,Сотрудник отдела информатизации устанавливает причину сбоя в системе
6,Сотрудник отдела информатизации,__,__,Требуется ли подрядчик для устранения сбоя?. Эксклюзивный открывающий шлюз,__,Сотрудник отдела информатизации ожидает устранения неполадок подрядчиком
7,Сотрудник отдела информатизации,—,—,Самостоятельно устранить сбой,__,"Сотрудник отдела информатизации самостоятельно устраняет сбой в случаях, если не требуется обращаться к подрядчику для устранения сбоя."
8,Сотрудник отдела информатизации,—,—,Переход из шага 16,—,Переход из шага 16
9,Сотрудник отдела информатизации,—,—,Эксклюзивный закрывающий шлюз,—,"Закрывающий шлюз, объединяющий потоки из 6-го, 8-го шага"
10,Система,—,"Запрос на устранение сбоя, Шаблон запроса на устранение сбоя",Подготовка драфта запроса с использованием данных логов,__,Система формирует драфт запроса с использованием данных логов 
11,Сотрудник отдела информатизации,—,—,Проверить запрос на устранение сбоя,__,Сотрудник отдела информатизации проверяет сформированный системой драфт.
12,Сотрудник отдела информатизации,—,—,Направить запрос,—,Сотрудник отдела информатизации направляет запрос подрядчику
13,Сотрудник отдела информатизации,—,—,Получить информацию об устранении сбоя,—,Сотрудник отдела информатизации получает информацию об устранении сбоя
14,Сотрудник отдела информатизации,—,—,Проверить работоспособность сети Интернет,__,"Сотрудник отдела информатизации проверяет работоспособность сети Интернет для понимания, устранена ли неисправность подрядчиком."
15,Сотрудник отдела информатизации,—,—,Неисправность устранена?. Эксклюзивный открывающий шлюз,—,"Сотрудник отдела информатизации, по результатам проведенной проверки, решает устранен ли сбой, на который направлялась заявка?Если «Да», то переход к шагу 17 Если «Нет», то переход к шагу 16"
16,Сотрудник отдела информатизации,—,—,Переход в шаг 8,—,Переход в шаг 8
17,Сотрудник отдела информатизации,—,—,Закрывающий шлюз,—," Закрывающий шлюз, объединяющий потоки из 4-го, 7-го, 15-го шага"
18,Сотрудник отдела информатизации,—,—,Завершающее событие.,—,Работоспособность каналов связи и сети Интернет организована. Завершение процесса поддержки работоспособности каналов связи и сети «Интернет».
