№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Сотрудник суда,—,—,Возникла потребность в функциональности СПС. Стартовое событие,—,"Сотрудник отдела, ответственный за обеспечение доступа к СПС (Справочная правовая система (например, Гарант, Консультант) обязан обеспечить доступ к СПС и функционирование этой системы в судах. Стартом процесс будет являться потребность в обеспечении функциональности (например, при поступлении на службу нового сотрудника, которому необходимо предоставить доступ к такой системе)."
1,Сотрудник суда,—,—,Создать заявку на предоставление доступа,—,Сотрудник суда в системе ЕПЦП создает заявку на предоставление доступа
2,Система,—,—,Создать сущность заявка,—,Система создает сущность заявка
3,Система,—,—,Назначить группу ответственных,—,Система назначает группу ответственных за обеспечение доступа к СПС
4,"Отдел, ответственный за обеспечение доступа к СПС",—,—,Выбрать обращение в работу,до 2-4 часов,"Сотрудник отдела, ответственный за обеспечение доступа к СПС определяет обращение, которое он берет в работу и указывает в системе. "
5,"Отдел, ответственный за обеспечение доступа к СПС",—,—,Новый сотрудник? Эксклюзивный открывающий шлюз,—,"Новый сотрудник?Если да, то переход к шагу 6. Если нет, то переход к шагу 8"
6,"Отдел, ответственный за обеспечение доступа к СПС",—,"УЗ: Логин, пароль",Выдать учетные записи к ПК сотруднику суда,—,"Сотрудник отдела, ответственный за обеспечение доступа к СПС выполняет задачу выдает учетные записи к ПК сотруднику суда."
7,Система,—,—,Сохранить данные в сущности,—,Система сохраняет сущности внутри системы ЕПЦП
8,"Отдел, ответственный за обеспечение доступа к СПС",—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 5-го, 7-го шага"
9,Система,—,—,Уведомить сотрудника о новых данных в заявке,—,Система уведомляет сотрудника суда о новых данных в заявке
10,"Отдел, ответственный за обеспечение доступа к СПС",—,"",Необходимо обучить работе?Эксклюзивный открывающий шлюз,—,"Сотрудник отдела, ответственный за обеспечение доступа к СПС решает есть ли необходимость в обучении сотрудника работе с СПС суда?Если да, то переход к шагу 11Если нет, то переход к шагу 12"
11,"Отдел, ответственный за обеспечение доступа к СПС",—,Сертификат о прохождении обучения,Обучить пользователей работе с СПС,—,"Отдел, ответственный за обеспечение доступа к СПС организует обучение пользователей работе с СПС, по результатам обучения сотруднику выдается сертификат"
12,"Отдел, ответственный за обеспечение доступа к СПС",—,"",Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 10-го, 11-го шага"
13,"Отдел, ответственный за обеспечение доступа к СПС",—,"",Возникли проблемы при работе с СПС? Эксклюзивный открывающий шлюз,—,"Возникли проблемы при работе с СПС?Если да, то переход к шагу 14Если нет, то переход к шагу 22"
14,Сотрудник суда,—,—,Составить заявку в тех.поддержку,—,Сотрудник суда заполняет в системе заявку в техподдержку суда
15,Сотрудник суда,—,—,Направить заявку в тех.поддержку,—,Сотрудник суда передает внутри системы документ в службу технической поддержки.
16,Служба технической поддержки суда,—,—,Обработать запрос по заявке,до 2-4 часов,Служба технической поддержки суда обрабатывает запрос по заявке
17,Служба технической поддержки суда,—,—,Заявка исполнена?Эксклюзивный закрывающий шлюз,—,"Заявка исполнена?Если да, то переход к шагу 19. Если нет, то переход к шагу 18"
18,Служба технической поддержки суда,—,—,Обработать заявку повторно,—,Служба технической поддержки суда обрабатывает заявку повторно
19,Служба технической поддержки суда,—,"",Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 17-го, 18-го шага"
20,Служба технической поддержки суда,—,—,Закрыть заявку,—,"Служба технической поддержки закрывает заявку, после ее исполнения"
21,Служба технической поддержки суда,—,—,Направить уведомление инициатору заявки,—,Служба технической поддержки направляет уведомление инициатору заявки
22,Сотрудник суда,—,"",Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 13-го, 21-го шага"
23,Сотрудник суда,—,—,Начать работать с СПС,—,Сотрудник суда начинает работать с СПС
24,Сотрудник суда,—,—,Обеспечено функционирование СПС. Завершающее событие,—,"Обеспечено функционирование СПС, завершение процесса"
