№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Сотрудник отдела МТО,Заявка на МТО и ТМЦ,—,Поступила заявка на МТО и ТМЦ есть на складе (переход из ОБП53: Формирование потребности МТО,—,Поступила заявка на МТО и ТМЦ есть на складе (переход из ОБП53: Формирование потребности МТО)
1,Сотрудник отдела МТО,Локальный акт о нормах выдачи ТМЦ,Нормативы в отношении потребности,Изучить локальный акт о нормах выдачи ТМЦ,—,Сотрудник отдела МТО изучает локальный акт о нормах выдачи ТМЦ
2,Сотрудник отдела МТО,Нормативы в отношении потребности,—,Потребность в ТМЦ превышает норму?Эксклюзивный открывающий шлюз,—,Эксклюзивный шлюз Потребность в ТМЦ превышает норму?Да - переход к шагу 3Нет - переход к шагу 7
3,Руководитель МТО,Нормативы в отношении потребности,Решение о выдаче запрошенного ТМЦ,Принять решение о выдаче ТМЦ,—,Руководитель МТО после получения заявки на МТО принимает решение о выдаче запрошенного ТМЦ сотруднику.
4,Руководитель МТО,Решение о выдаче запрошенного ТМЦ,—,Выдать ТМЦ?Эксклюзивный открывающий шлюз,—,Эксклюзивный шлюз Выдать ТМЦ?Да - переход к шагу 6Нет - переход к шагу 5
5,Руководитель МТО,—,—,Отказано в выдаче ТМЦ,—,Завершение процесса
6,Руководитель МТО,Заявка на МТО и ТМЦ,Заявка на МТО с визой о выдаче сверхнормы,Поставить визу о выдаче ТМЦ,—,Руководитель МТО ставит визу о выдаче ТМЦ
7,Сотрудник отдела МТО,—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный шлюз переход к шагу 8. Закрывающий шлюз, объединяющий потоки из 2-го, 6-го шага"
8,Сотрудник отдела МТО,Заявка на МТО и ТМЦ или Заявка на МТО с визой о выдаче сверхнормы,ТМЦ или МТО выданы,Выдать ТМЦ со склада,—,Выдать ТМЦ со склада
9,Сотрудник суда (автор заявки),ТМЦ или МТО выданы,Журнал выдачи ТМЦ,Поставить подпись в журнале выдачи ТМЦ,—,При получении ТМЦ сотрудник (автор заявки) ставит электронную подпись в журнале выдачи ТМЦ
10,Сотрудник бухгалтерии,—,—,Учесть перемещение/ списание ТМЦ,—,"Сотрудник бухгалтерии в таблице складского учета отмечает выдачу ТМЦ, если ТМЦ был перемещен, то указывает кому и в какой кабинет.Если ТМЦ - основное средство, то учитывается перемещение.Если ТМЦ - расходный материал, то списание."
11,Сотрудник бухгалтерии,—,—,ТМЦ выдан,—,Завершение процесса
