Номер действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага процесса,Срок,Описание процесса
0.,Судья/Председатель суда/Зам. председателя суда/Председатель судебного состава,-,-,Возникла необходимость рассмотреть вопрос об отложении СЗСтартовое событие,-,Судья/Председатель суда/Зам. председателя суда/Председатель судебного состава инициирует процесс отложения СЗ.Процесс регулируется ст. 158 АПК РФ.  
"",Судья/Председатель суда/Зам. председателя суда/Председатель судебного состава,-,-,Указать причины отложения ,-,Судья указывает в соответствующем поле в системе основание в соответствии со ст. 158 АПК РФ.
"",Система,-,-,Какое указано основание для отложения? Неэксклюзивный шлюз.,"","Система определяет, какое основание для отложения необходимо записать в карточку."
"",Система,-,-,"Записать неявку лица, сведения об извещении которого отсутствуют",-,"Согласно ч. 1 ст. 158 АПК, арбитражный суд откладывает судебное разбирательство в случае неявки в судебное заседание лица, участвующего в деле, если в отношении этого лица у суда отсутствуют сведения об извещении его о времени и месте судебного разбирательства. Система записывает в поле неявку лица."
"",Система,-,-,"Записать неявку лица, явка которого признана обязательной",-,"Согласно ч. 5 ст. 158 АПК, арбитражный суд может отложить судебное разбирательство, если признает, что оно не может быть рассмотрено в данном судебном заседании, в том числе вследствие неявки кого-либо из лиц, участвующих в деле, других участников арбитражного процесса.Система записывает в поле неявку лица, участие которого обязательно для проведения СЗ."
"",Система,-,-,Предоставить сторонам возможность использовать примирение,-,"Согласно ч. 2 ст. 158 АПК, арбитражный суд может отложить судебное разбирательство по ходатайству сторон в случае их обращения за содействием к суду или посреднику, в том числе медиатору, судебному примирителю, а также в случае принятия сторонами предложения арбитражного суда использовать примирительную процедуру.Система записывает факт предоставления сторонам возможности использовать примирение в срок отложения СЗ. "
"",Система,Ходатайство об отложении,-,Записать наличие удовлетворенного ходатайства об отложении,-,"Согласно ч. 3 ст. 158 АПК, в случае, если лицо, участвующее в деле и извещенное надлежащим образом о времени и месте судебного заседания, заявило ходатайство об отложении судебного разбирательства с обоснованием причины неявки в судебное заседание, арбитражный суд может отложить судебное разбирательство, если признает причины неявки уважительными.Система записывает в поле основание отложения ввиду удовлетворенного ходатайства лица об отложении. "
"",Система,-,-,Записать  необходимость привлечения иных лиц,-,"Система записывает в поле, что проведение СЗ невозможно без привлечения в процесс иных лиц."
"",Система,-,-,Записать факт неполадки тех. средств,-,"Система записывает в поле, что проведение СЗ с использованием средств ВКС на данный момент невозможно ввиду неполадки тех. Средств (ч. 5 ст. 158 АПК - «...в случае возникновения технических неполадок при использовании технических средств ведения судебного заседания, в том числе систем видеоконференц-связи либо системы веб-конференции»)"
"",Система,-,-,Записать ошибку идентификации/аутентификации лица,-,"Система записывает в поле основание невозможности проведения СЗ ввиду ошибки идентификации/аутентификации лица (ч. 5 ст. 158 АПК - «… в случае  возникновения у суда обоснованных сомнений относительно того, что в судебном заседании участвует лицо, прошедшее идентификацию или аутентификацию, либо относительно волеизъявления такого лица»)"
"",Система,Ходатайство об отложении (при наличии),-,Записать необходимость предоставления доп. доказательств,-,"Система записывает в поле необходимость в получении дополнительных доказательств по делу, без которых полноценное рассмотрение в СЗ не представляется возможным, или ввиду поступившего ходатайства лица (ч. 5 ст. 158 АПК РФ - «...при удовлетворении ходатайства стороны об отложении судебного разбирательства в связи с необходимостью представления ею дополнительных доказательств»)."
"",Система,-,-,Записать необходимость совершения иных процессуальных действий,-,"Судья устанавливает необходимость проведения иных процессуальных действий, необходимых для СЗ (ч. 5 ст. 158 АПК РФ)"
"",Судья/Председатель суда/Зам. председателя суда/Председатель судебного состава,-,-,Установить иные обстоятельства,-,"Судья устанавливает иные обстоятельства, препятствующие проведению СЗ, и заносит информацию в систему."
