№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Лицо ответственное за межведомсвенный документооборот,—,—,Поступил служебный запрос/письмо,—,"Поступил служебный запрос/письмо. Согласно ст.3.1.1. Поступающая в арбитражный суд корреспонденция принимается экспедицией и регистрируется в группе регистрации подразделения делопроизводства.Корреспонденция принимается экспедицией из почтовых отделений связи, от организаций, специализирующихся на доставке почтовой корреспонденции и грузов, от фельдъегерской службы, подразделений специальной связи, по каналам электронной связи, в том числе с сайта арбитражного суда, представителей юридических и физических лиц в течение всего рабочего дня.Регистрация заявлений производится в день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день.Прием корреспонденции, подаваемой нарочным, ведется в течение всего рабочего дня суда, однако в связи с большим количеством поступающей корреспонденции и с учетом штатной численности работников, осуществляющих прием, обработку и регистрацию корреспонденции, сдаваемой гражданами и представителями организаций через приемную суда, приказом арбитражного суда время приема корреспонденции может быть сокращено не более чем на три часа. В случае сокращения времени приема в суде должна быть размещена информация об альтернативном способе подачи документов в суд, в том числе путем пересылки почтового отправления (с указанием адреса и режима работы ближайшего почтового отделения) либо посредством сервиса электронной подачи документов, а также с использованием ящика приема корреспонденции, установленной в здании арбитражного суда.В выходные и праздничные дни прием корреспонденции не ведется."
1,Лицо ответственное за межведомсвенный документооборот,—,Зарегистрированный входящий документ,Зарегистрировать входящий документ,—,Происходит регистрация входящих документов. Дело формируется в формате WEB.
2,Лицо ответственное за межведомсвенный документооборот,—,—,ТБП106:Передать документ,—,"Переход к ТБП106: Передать документ, результатом которого будет переданные по реестру документ председателю суда"
3,Председатель суда,—,—,Ознакомиться с запросом/письмом,—,Председатель суда знакомится с запросом/письмом
4,Председатель суда,—,—,Возникла необходимость изготовить служебный документ,—,"Поступил служебный запрос/письмо. Согласно ст.3.1.1. Поступающая в арбитражный суд корреспонденция принимается экспедицией и регистрируется в группе регистрации подразделения делопроизводства.Корреспонденция принимается экспедицией из почтовых отделений связи, от организаций, специализирующихся на доставке почтовой корреспонденции и грузов, от фельдъегерской службы, подразделений специальной связи, по каналам электронной связи, в том числе с сайта арбитражного суда, представителей юридических и физических лиц в течение всего рабочего дня.Регистрация заявлений производится в день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день.Прием корреспонденции, подаваемой нарочным, ведется в течение всего рабочего дня суда, однако в связи с большим количеством поступающей корреспонденции и с учетом штатной численности работников, осуществляющих прием, обработку и регистрацию корреспонденции, сдаваемой гражданами и представителями организаций через приемную суда, приказом арбитражного суда время приема корреспонденции может быть сокращено не более чем на три часа. В случае сокращения времени приема в суде должна быть размещена информация об альтернативном способе подачи документов в суд, в том числе путем пересылки почтового отправления (с указанием адреса и режима работы ближайшего почтового отделения) либо посредством сервиса электронной подачи документов, а также с использованием ящика приема корреспонденции, установленной в здании арбитражного суда.В выходные и праздничные дни прием корреспонденции не ведется."
5,Председатель суда,—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 3-го, 4-го шага"
6,Председатель суда,—,—,Определить ответственных лиц,—,Председатель определяет ответственного за ответ на запрос/письмо сотрудника
7,Система,—,Задача на ознакомление запросом/поручением,Поставить задачу на ознакомление с запросом/поручением,—, Система ставит задачу на ознакомление запросом/поручением. 
8,Сотрудник ответственный на основании поручения,—,—,Ознакомиться с запросом/поручением,—,"Сотрудник, ответственный на основании поручения суда, знакомится с запросом/письмом"
9,Сотрудник ответственный на основании поручения,—,—,Определить вид поручения,—,"Сотрудник, ответственный на основании поручения определяет вид поручения"
