№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Руководитель отдела МТО,-,-,Согласно графику госзакупок наступила дата ежегодного заключения контракта на оказание услуг по уборке помещений,-,Согласно графику госзакупок наступила дата ежегодного заключения контракта на оказание услуг по уборке помещений.
1,Система,-,-,"Создать новый объект ""контроль санитарных норм""",-,"Система выполняет задачу: 'Создать новый объект ""контроль санитарных норм""'."
2,Система,-,"Госконтракт на оказание услуг по уборке помещений комплекса зданий прилегающей территории, Шаблон технического задания",Сформировать шаблон ТЗ,-,Система выполняет задачу: 'Сформировать шаблон ТЗ'.
3,Система,-,-,Уведомить Руководителя отдела МТО,-,Система выполняет задачу: 'Уведомить Руководителя отдела МТО'.
4,Руководитель отдела МТО,-,Техническое заданиеОказание услуг по уборке помещений комплекса зданийи прилегающей территории,Определить объем работ на оказание услуг по уборке помещений,-,Руководитель отдела МТО определяет объем работ и фиксирует в системе в сущности «техническое задание».
5,Руководитель отдела МТО,-,Госконтракт на оказание услуг по уборке помещений комплекса зданий и прилегающей территории,ОБП18:Участвовать в госзакупках,-,"Переход в обеспечивающий процесс ОБП18:Участвовать в госзакупках, результатом которого будет, участие в госзакупках"
6,Руководитель отдела МТО,-,-,ОБП29:Контролировать исполнение госконтракта,-,"Переход в обеспечивающий процесс ОБП29:Контролировать исполнение госконтракта, результатом которого будет контроль исполнения госконтаркта"
7,Руководитель отдела МТО,-,-,Контролировать соблюдение санитарных норм,-,Руководитель отдела МТО выполняет задачу: 'Контролировать соблюдение санитарных норм'.
8,Руководитель отдела МТО,-,"",Санитарные нормы соблюдаются?. Эксклюзивный открывающий шлюз,-,"Санитарные нормы соблюдаются?Если да, то переход к шагу 9. Если нет, то переход к шагу 10"
9,Руководитель отдела МТО,-,-,Санитарные нормы соблюдены. Работы по договору выполнены.,-,Санитарные нормы соблюдены. Работы по договору выполнены. Завершение процесса
10,Руководитель отдела МТО,-,-,Установлено нарушение санитарных норм. Сформированы претензии к исполнителю.,-,Установлено нарушение санитарных норм. Сформированы претензии к исполнителю.Завершение процесса
