Номер действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага процесса,Срок,Описание процесса
0,Помощник судьи,-,-,Необходимо осуществить контроль проведения назначенной экспертизыСтартовое событие,-,"Во время проведения экспертом экспертизы, у суда возникает необходимость осуществить контроль ее проведения для получения информации о текущем статусе и сроках проведения."
1,Помощник судьи,-,-,Ожидать проведения экспертизыТаймер,Срок проведения экспертизы,Помощник судьи ожидает окончания проведения экспертизы 
2,Система,-,-,Запустить чат-бот,-,"Система запускает чат-бот, настроенный в качестве инструмента для получения актуальной информации от эксперта в режиме одного окна. Данное действие системы подразумевает добавление ссылки на чат-бот в номенклатурное дело с экспретизой, формирование и отправка письма экспертной организации для контроля сроков и статусов."
3,Помощник судьи,-,-,Осуществлять контроль проведения экспертизы,-,Помощник судьи периодически осуществляет контроль проведения экспертизы посредством получения информации в процессе коммуникации с чат-ботом.
4,Экспертное учреждение,-,-,Появилась необходимость сообщить о невозможности проведения экспертизы в срокСтартовое событие,-,"У эксперта/экспертного учреждения возникает необходимость сообщить суду о невозможности проведения экспертизы в установленный срок. Сообщение суду оформляется в виде мотивированного сообщения. При отсутствии такого сообщения, судом на руководителя государственного судебно-экспертного учреждения или виновного в нарушении сроков проведения экспертизы налагается судебный штраф (ч. 6 ст. 55 АПК РФ)"
5,Экспертное учреждение,-,Мотивированное сообщение о невозможности проведения экспертизы в срок,Подать документы в суд,-,"Переход к типовому процессу ""Подать документы в суд"".Эксперт/экспертное учреждение направляет в суд мотивированное сообщение о невозможности проведения экспертизы в срок.Подача документов в веб-форме с валидацией полей."
6,Экспертное учреждение,-,-,Ожидать рассмотрениеТаймер,Срок рассмотрения заявления,Эксперт/Экспертное учреждение ожидает рассмотрения сообщения судом.
7,Экспертное учреждение,-,-,Завершение процесса.,-,Завершение процесса. Эксперт/Экспертное учреждение направило мотивированное сообщение.
8,Экспертное учреждение,-,-,Возникла необходимость сообщить о невозможности дать заключениеСтартовое событие,-,"Эксперт вправе отказаться от дачи заключения по вопросам, выходящим за пределы его специальных знаний, а также в случае, если представленные ему материалы недостаточны для дачи заключения. Отказ от дачи заключения оформляется в виде сообщения о невозможности дать заключение (ч. 4 ст. 55 АПК РФ)У эксперта/экспертного учреждения возникает необходимость сообщить суду сообщить о невозможности дать заключение "
9,Экспертное учреждение,-,Сообщение о невозможности дать заключение,Подать документы в суд,-,"Переход к типовому процессу ""Подать документы в суд"".В рамках процесса эксперт/Экспертное учреждение направляет сообщение о невозможности дать заключение с обоснованием, почему дача заключения не представляется возможной.Подача документов в веб-форме с валидацией полей."
10,Экспертное учреждение,-,-,Завершение процесса.,-,Завершение процесса. Эксперт/Экспертное учреждение подало сообщение о невозможности дать заключение в суд.
