№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Сотрудник отдела МТО,—,—,Поступила заявка на МТО,—,Сотруднику отдела МТО поступает заявка на МТО
1,Сотрудник отдела МТО,Заявка на МТО,—,Запросить наличие ТМЦ на складе,—,Сотрудник отдела МТО выполняет задачу: Запросить наличие ТМЦ на складе.
2,Сотрудник отдела МТО,—,—,Проверить наличие ТМЦ на складе,—,Сотрудник отдела МТО выполняет задачу: Проверить наличие ТМЦ на складе.
3,Сотрудник отдела МТО,—,"",Товар есть на складе?.,—,Эксклюзивный шлюз Товар есть на складе?Да - переход к шагу 4Нет - переход к шагу 5
4,Сотрудник отдела МТО,—,—,ТМЦ есть в наличии (переход к ОБП-55 Организация отпуска ТМЦ),—,Завершение процесса
5,Сотрудник отдела МТО,—,Сводная заявка,Создать/скорректировать сводную заявку,—,"При отсутствии товара на складе сотрудник отдела МТО, добавляет необходимый товар в сводную заявку (электронная таблица) или создаёт сводную заявку на основе необходимых ТМЦ."
6,Руководитель отдела МТО,—,—,Рассчитать потребность в закупке по видам ТМЦ,—,"Руководитель отдела МТО рассчитывает потребность в закупке по видам ТМЦЗакупка будет проводиться, если потребность в ТМЦ определенного вида достаточна для проведения конкурса"
7,Руководитель отдела МТО,—,—,Установить достаточность для проведения конкурса,—,Руководитель отдела МТО устанавливает достаточность количества требуемых товаров для проведения конкурса
8,Руководитель отдела МТО,—,"",Эксклюзивный  шлюз,—,Эксклюзивный шлюз переход к шагу 9. 
9,Система,Сводная заявка,—,Рассчитать сумму закупки,—,"После того как потребность в ТМЦ достаточна, система на основе сформированной сводной заявки рассчитывает сумму закупки, которая равна сумме стоимости ТМЦ"
10,Сотрудник отдела бухгалтерского учета и отчетности,—,Сумма закупки согласованная,Согласовать сумму закупки,—,Для согласования суммы закупки руководитель МТО звонит сотруднику отдела бухгалтерского учета и отчетности и уточняет финансовый вопросСотрудник отдела бухгалтерского учета и отчетности согласовывает сумму закупки
11,Сотрудник отдела бухгалтерского учета и отчетности,—,"",Сумма согласована?,—,Эксклюзивный шлюз Сумма согласована?Да - переход к шагу 12Нет - переход к шагу 8
12,Руководитель отдела МТО,—,Список ТМЦ для размещения закупкиСводная заявка скорректированная,Подготовить список ТМЦ для закупки,—,"Руководитель отдела МТО после согласования суммы закупки подготавливает список ТМЦ, в котором указан перечень ТМЦ, на основе которого будет происходить закупка"
13,Руководитель отдела МТО,—,—,Подготовлен список ТМЦ для размещения закупки (переход к ОБП18:Участвовать в госзакупках),—,Завершение процесса
