Номер действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага процесса,Срок,Описание процесса
0,Судья,-,-,Возникла необходимость разрешить поступившие ходатайства/заявления в СЗСтартовое событие,-,"Судья инициирует рассмотрение ходатайств, поступивших от лиц, в ходе СЗ.Разрешение ходатайств судом регулируется ст. 159 АПК РФ.Ч. 1 ст. 159 АПК РФ: Заявления и ходатайства лиц, участвующих в деле, о достигнутых ими соглашениях по обстоятельствам дела, существу заявленных требований и возражений, об истребовании новых доказательств и по всем другим вопросам, связанным с разбирательством дела, обосновываются лицами, участвующими в деле, и подаются в письменной форме, направляются в электронном виде или заносятся в протокол судебного заседания, разрешаются арбитражным судом после заслушивания мнений других лиц, участвующих в деле. "
1,Судья,-,-,Ходатайство было заявлено устно в СЗ?Эксклюзивный шлюз,-,"Если ходатайство было заявлено лицом устно непосредственно в ходе СЗ, то переход к шагу 3. Если нет, то переход к шагу 2."
2,Судья,Устное ходатайство ЛУВД,-,Огласить ходатайство/заявление,-,Судья оглашает содержание ходатайства на СЗ.
3,Секретарь сз/Помощник судьи,Устное ходатайство ЛУВД,Запись в протоколе СЗ,Занести в протокол,-,Секретарь СЗ/помощник заносят информацию о ходатайстве в системе для использования в протоколе СЗ.
4,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
5,Судья,-,-,Выяснить мнение сторон по заявленному ходатайству,-,"Согласно ст. 159 АПК РФ, заявления и ходатайства лиц, участвующих в деле, разрешаются арбитражным судом после заслушивания мнений других лиц, участвующих в деле.Судья заслушивает мнение сторон касательно ходатайства."
6,ЛУВД,-,-,Необходимо выразить мнение по заявленным ходатайствам/поданным заявлениямСтартовое событие,-,ЛУВД необходимо выразить мнение касаемо ходатайства в процессе СЗ.
7,ЛУВД,Устное ходатайство ЛУВД,Мнение сторон,Выразить мнение/изложить позицию,-,ЛУВД выражают мнение и излагают позицию по вопросу ходатайства.
8,ЛУВД,-,-,Завершение процесса.,-,Завершение процесса. ЛУВД выразили мнение.
9,Судья,Мнение сторон,-,Принять решение с учетом мнения сторон,-,"Судья принимает решение касаемо удовлетворения или отказа в удовлетворении ходатайства с учетом мнения сторон в системе, опираясь на имеющуюся информацию."
10,Судья,-,-,Ходатайство подлежит удовлетворению?Эксклюзивный шлюз,-,"Если да, то переход к шагу 12. Если нет, то переход к шагу 11"
11,Судья,-,Протокольное определение об отказе в удовлетворении ходатайства.,Принять СА,-,"Переход к типовому процессу ""Принять СА""В рамках процесса судья выносит протокольное определение об отказе в удовлетворении ходатайства."
12,Судья,-,Протокольное определение об удовлетворении ходатайства.,Принять СА,-,"Переход к типовому процессу ""Принять СА""В рамках процесса судья выносит протокольное определение об удовлетворении ходатайства."
13,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
14,Судья,-,-,Переход к основному процессуЗавершение процесса.,-,"Завершение процесса. Ходатайство рассмотрено, переход к основному процессу."
