№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Сотрудник отдела кадров,-,-,Наступил срок заполнения табеля учета,-,Сотрудник отдела кадров инициирует процесс заполнения табеля учета рабочего времени сотрудников согласно сроку.
1,Система,-,-,Создать сущность табеля,-,"Система выполняет задачу: 'Создать сущность табеля', результатом будет созданная сущность Табель и предзаполнение информации из системы."
2,Система,-,-,Указать основные реквизиты,-,"Система выполняет задачу: 'Указать основные реквизиты', результатом будет полученные данные из системыНаименование суда, номер и дата документа, отчетный период, должности, табельные номера и ФИО работников."
3,Система,-,-,Отразить данные о явке сотрудников в табеле,-,"Система выполняет задачу: 'Отразить данные о явке сотрудников в табеле', результатом будет сбор информации о отсутствующих пользователях по болезни/отпуску/другая причина"
4,Сотрудник отдела кадров,-,-,Отразить данные о неявке сотрудников в табеле,-,"Сотрудник отдела кадров выполняет задачу: 'Отразить данные о неявке сотрудников в табеле', результатом будет проверка данных по отсутствующим сотрудникам"
5,Система,-,-,Отразить отработанные часы,-,"Система выполняет задачу: 'Отразить отработанные часы', результатом будет проставленная информация по табелю по отработанным часам."
6,Система,-,-,Отразить отпуска сотрудников в табеле,-,"Система выполняет задачу: 'Отразить отпуска сотрудников в табеле', отображает в табеле сотрудников в отпуске"
7,Система,-,-,Отразить больничные в табеле,-,"Система выполняет задачу: 'Отразить больничные в табеле', отображает в табеле сотрудников на больничном."
8,Система,-,Табель учета,Сформировать табель учета,-,"Система выполняет задачу: 'Сформировать табель учета', формирует итоговый документ или таблицу."
9,Сотрудник отдела кадров,-,-,Согласовать табель учета с руководством,-,"Сотрудник отдела кадров выполняет задачу: 'Согласовать табель учета с руководством', сотрудник меняет статус на согласование, передаем сущность председателю суда."
10,Председатель суда,-,-,Проверить табель учета,-,Председатель суда знакомится с табелем учета и проверяет его на критерий корректности его оформления и релевантности данных в нем.
11,Председатель суда,-,"",Табель учета составлен корректно?. Эксклюзивный открывающий шлюз,-,"Председатель суда делает вывод о корректности табеля.Если да, то переход к шагу 14. Если нет, то переход к шагу 12"
12,Председатель суда,-,-,Вернуть на доработку,-,Председатель суда направляет табель в отдел кадров вместе с замечаниями для внесения корректив.
13,Сотрудник отдела кадров,-,-,Внести изменения в табель,-,"Сотрудник отдела кадров выполняет задачу: 'Внести изменения в табель', результатом будет устранненные замечания и правки которые передал Председатель суда в 10 шаге."
14,Председатель суда,-,-,Распечатать скорректированный табель. Эксклюзивный закрывающий шлюз,-,"Сотрудник отдела кадров печатает скорректированный табель на бумаге. Эксклюзивный закрывающий шлюз, объединяющий потоки из 11-го, 13-го шага"
15,Председатель суда,-,Подписанный табельучета,Подписать табель учета,-,"Председатель суда выполняет задачу: 'Подписать табель учета', результатом будет подписанный документ и сохранение документа и открепленной подписи в сущности."
16,Сотрудник бухгалтерии,-,-,Проверить табель учета,-,"Сотрудник бухгалтерии выполняют задачу: 'Проверить табель учета', результатом будет передача в доработку или переход к подписанию."
17,Сотрудник бухгалтерии,-,-,Табель учета составлен корректно?. Эксклюзивный открывающий шлюз,-,"Сотрудник отдела кадров направляет табель, согласованный с председателем, в бухгалтерию для завершения этапа согласования.Если да, то переход к шагу 22. Если нет, то переход к шагу 18"
18,Сотрудник бухгалтерии,-,-,Вернуть на доработку,-,"Сотрудник бухгалтерии выполняют задачу: 'Вернуть на доработку', результатом будет передача сущности на доработку с оставленным комментарием бухгалтерии"
19,Сотрудник отдела кадров,-,-,Скорректировать табель по замечаниям бухгалтерии,-,"Сотрудник отдела кадров выполняет задачу: 'Скорректировать табель по замечаниям бухгалтерии', результатом будет внесение исправлений и смена статуса сущности."
20,Система,-,-,Передать на подпись председателю,-,"Система выполняет задачу: 'Передать на подпись председателю', результатом будет информирование председателя о повторном подписании из-за внесения корректировок."
21,Председатель суда,-,-,Подписать исправленный табель учета,-,"Председатель суда выполняет задачу: 'Подписать исправленный табель учета', результатом будет подписанный и сохраненный файл с открепленной подписью."
22,Сотрудник бухгалтерии,-,-,Эксклюзивный закрывающий шлюз,-,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 17-го, 21-го шага"
23,Сотрудник бухгалтерии,-,-,Подписать табель учета,-,"Сотрудник бухгалтерии выполняют задачу: 'Подписать табель учета', результатом будет подписанный документ и сохранение документа и открепленной подписи в сущности."
24,Сотрудник бухгалтерии,-,-,Табель сформирован и согласован,-,Табель сформирован и согласован. Завершение процесса.
