№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Специалист архива,—,—,В архив передано судебное/номенклатурное дело,—,"Специалист архива инициирует процесс в момент передачи документов в архивВ соответствии Федеральным законом «Об архивном деле в Российской Федерации» суды судебной системы РФ обязаны создавать архивы в целях хранения, комплектования, учета и использования образовавшихся в процессе их деятельности архивных документов."
1,Специалист архива,—,"",Данные хранятся в электронном виде?. Эксклюзивный открывающий шлюз,—,"Специалист архива определяет место хранения дела в архиве и вносит информацию о месте хранения в системуЕсли да, то переход к шагу 9. Если нет, то переход к шагу 2"
2,Система,Судебное/номенклатурное дело,Информация о необходимости передачи в Госархив,Сформировать рекомендацию,—,Система проводит анализ и создает событие с рекомендацией 
3,Система,—,—,Проверить выводы системы,—,"Переход к типовому процессу проверить выводы системы, результатом которой будет занесенные данные в систему и провалидированные."
4,Специалист архива,Информация о необходимости передачи в Госархив,Реестр передачи соответствующего года,Определить место хранения в архиве,—,Специалист архива вносит дело в реестр передачи соответствующего года
5,Специалист архива,—,—,Установить необходимость передачи в Госархив,—,Специалист архива выполняет задачу: 'Установить необходимость передачи в Госархив'.
6,Специалист архива,—,—,Дело подлежит передаче в Госархив?. Эксклюзивный открывающий шлюз,—,"Определяется являются ли документы документами постоянного храненияЕсли да, то переход к шагу 7. Если нет, то переход к шагу 15"
7,Система,Судебное/номенклатурное дело,Судебное/номенклатурное дело в условиях сохранности,Внести дело в реестр передачи соответствующего года,—,Специалист архива обеспечивает сохранность документов до ликвидации суда
8,Специалист архива,—,—,Завершающее событие,—,Завершение процесса
9,Специалист архива,—,—,Установить необходимость передачи в Госархив,—,"Определяется требуется ли решение экспертной комиссии на установление срока хранения документовПереход к шагам 10, 13"
10,Специалист архива,—,"",Документы необходимо передавать в Госархив?. Эксклюзивный открывающий шлюз,—,"Специалист архива устанавливает срок хранения и вносит его в системуЕсли да, то переход к шагу 11. шаг 14"
11,Система,Судебное/номенклатурное дело,Судебное/номенклатурное дело в условиях сохранности,Поставить задачу на передачу в Госархив,—,Специалист архива обеспечивает сохранность документов до даты уничтожения документов
12,Система,—,—,Обеспечить сохранность,—,Система выполняет задачу: 'Обеспечить сохранность'.
13,Специалист архива,—,—,Завершающее событие,—,"Определяется создана ли экспертная комиссияПереход к шагам 14, 15"
14,Специалист архива,—,—,Переход к шагу 9.,—,Создать экспертную комиссию
15,Специалист архива,—,—,Документы постоянного хранения?. Эксклюзивный открывающий шлюз,—,"Эксклюзивный шлюз для координации потоков, Если да, то переход к шагу 16. Если нет, то переход к шагу 21"
16,Специалист архива,—,—,Необходимо оцифровать документы?. Эксклюзивный открывающий шлюз,—,"Экспертная комиссия проводит заседания в соответствии с планом работы и по мере необходимости (но не реже двух раз в год). Заседания экспертной комиссии протоколируются. Протоколы подписываются председателем и секретарем комиссии. Решения экспертной комиссии вступают в силу после утверждения протокола председателем суда.Протоколы экспертной комиссии, содержащие решения о согласовании описей дел постоянного и временного (свыше 10 лет) хранения, утверждаются председателем суда только после их рассмотрения и утверждения экспертно-проверочной комиссии (ЭПК) соответствующего уполномоченного органа исполнительной власти субъекта Российской Федерации в области архивного дела.Если да, то переход к шагу 17. Если нет, то переход к шагу 18"
17,Специалист архива,—,—,Оцифровать документы,—,"Определяется требуется ли продлить срок храненияПереход к шагам 18, 19"
18,Специалист архива,—,"",Событие. Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 16-го, 17-го шага"
19,Специалист архива,—,—,Обеспечить сохранность до ликвидации суда,—,Вынести решение о продлении сроков хранения
20,Специалист архива,—,—,Завершающее событие,—,Специалист архива изменяет срок хранения
21,Специалист архива,—,"",Требуется решение экспертной комиссии на установление срока хранения документов?. Эксклюзивный открывающий шлюз,—,"Специалист архива обеспечивает сохранность в соответствии с сроком храненияЕсли да, то переход к шагу 30. Если нет, то переход к шагу 22"
22,Специалист архива,—,—,Документы хранятся в электронном виде?. Эксклюзивный открывающий шлюз,—,"Если да, то переход к шагу 28. шаг 23"
23,Специалист архива,—,—,Необходимо оцифровать документы?. Эксклюзивный открывающий шлюз,—,"Если да, то переход к шагу 24. Если нет, то переход к шагу 25"
24,Специалист архива,—,—,Оцифровать документы,—,Специалист архива выполняет задачу: 'Оцифровать документы'.
25,Специалист архива,—,—,Событие. Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 23-го, 24-го шага"
26,Специалист архива,—,—,Обеспечить сохранность до даты уничтожения,—,Обеспечить сохранность до даты уничтожения
27,Специалист архива,—,—,Завершающее событие,—,—
28,Система,—,—,Обеспечить сохранность до даты уничтожения,—,Система выполняет задачу: 'Обеспечить сохранность до даты уничтожения'.
29,Специалист архива,—,—,Завершающее событие,—,Завершающее событие
30,Специалист архива,—,"",В суде создана экспертная комиссия?. Эксклюзивный открывающий шлюз,—,"Если да, то переход к шагу 34. Если нет, то переход к шагу 31"
31,Специалист архива,—,—,Создать задачу на руководителя архива,—,Специалист архива выполняет задачу: 'Создать задачу на руководителя архива'.
32,Председатель суда,—,—,Выбрать пользователей входящих в экспертную коммисию,—,Председатель суда выполняет задачу: 'Выбрать пользователей входящих в экспертную коммисию'.
33,Специалист архива,—,—,Событие. Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 31-го, 32-го шага"
34,Специалист архива,—,—,Событие. Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 30-го, 33-го шага"
