№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Отдел бухгалтерии,—,—,Возникла необходимость подготовить обоснования потребности в бюджетных ассигнованиях для финансирования деятельности суда,—,Возникла необходимость подготовить обоснования потребности в бюджетных ассигнованиях для финансирования деятельности суда
1,Система,—,—,Создать сущность для данных отчета,—,Система проводит анализ исполнения бюджета за предыдущий год
2,Система,—,—,Провести анализ исполнения бюджета за предыдущий год,—,Система проводит анализ исполнения бюджета за предыдущий год
3,Система,—,—,Сформировать рекомендацию,—,Система выполняет задачу формирует рекомендацию.
4,Отдел бухгалтерии,—,—,"Изучить НПА, которые могут влиять на будущие расходы",—,"Отдел бухгалтерии изучает НПА, которые могут влиять на будущие расходы'."
5,Отдел бухгалтерии,—,—,"Определить факторы, влияющие на увеличение/уменьшение расходов",—,"Отдел бухгалтерии определяет факторы, влияющие на увеличение/уменьшение расходов."
6,Отдел бухгалтерии,—,—,Приступить к составлению сметы расходов,—,Отдел бухгалтерии приступает к составлению сметы расходов.
7,Система,—,—,Детализировать все расходы по статьям,—,"Система выполняет детализирует все расходы по статьям. Например: оплата труда, материальные расходы (включая закупку оргтехники, мебели, канцтоваров), командировочные расходы, расходы на оплату услуг связи, коммунальные услуги, прочие расходы."
8,Отдел бухгалтерии,—,—,Обосновать каждую статью расходов,—,Отдел бухгалтерии выполняют задачу: 'Обосновать каждую статью расходов'.
9,Отдел бухгалтерии,—,—,Определить необходимый объем БА для каждой статьи расходов,—,Отдел бухгалтерии определяет необходимый объем бюджетных ассигнований для каждой статьи расходов.
10,Отдел бухгалтерии,—,—,Определить показатели как основу для будущего расчета бюджета,—,Отдел бухгалтерии определяет показатели как основу для будущего расчета бюджета
11,Отдел бухгалтерии,—,"",Достаточно данных для сопоставления расходов с конкретными результатами деятельности? Эксклюзивный шлюз,—,Достаточно данных для сопоставления расходов с конкретными результатами деятельности?Да: переход к шагу 13Нет: переход к шагу 12
12,Отдел бухгалтерии,—,Отчет,ТБП2. Сформировать отчет,—,Переход к типовому процессу «ТБП2. Сформировать отчет». В результате данного ТП отдел бухгалтерии формирует отчет
13,Отдел бухгалтерии,—,"",Эксклюзивный шлюз,—,"Эксклюзивный шлюз, переход к шагу 14"
14,Отдел бухгалтерии,—,—,Связать расходы с результатами деятельности,—,Отдел бухгалтерии связывает расходы с результатами деятельности
15,Отдел бухгалтерии,—,—,Указать запрашиваемую сумму бюджетных ассигнований,—,Отдел бухгалтерии указывает запрашиваемую сумму бюджетных ассигнований
16,Отдел бухгалтерии,—,—,Обосновать необходимость и достаточность указанной суммы,—,Отдел бухгалтерии обосновывает необходимость и достаточность указанной суммы для выполнения судом своих функций
17,Отдел бухгалтерии,—,—,Определить коды бюджетных ассигнований,—,Отдел бухгалтерии определяют коды бюджетных ассигнований.
18,Отдел бухгалтерии,—,Форма по ОКУД,ТБП49. Сформировать и подписать документ,—,Переход к типовому процессу «ТБП49. Сформировать и подписать документ». В результате данного ТП отдел бухгалтерии формирует и подписывает форму по ОКУД
19,Отдел бухгалтерии,—,—,Передать на согласование председателю,—,Отдел бухгалтерии передает форму на согласование председателю
20,Система,—,—,Создать задачу,—,Отдел бухгалтерии создает задачу в системе
21,Председатель,—,—,Ознакомиться с обоснованием бюджетных ассигнований,—,Председатель знакомится с обоснованием бюджетных ассигнований
22,Председатель,—,"",Все корректно? Эксклюзивный шлюз,—,Определяется все ли корректно в обосновании.Да: переход к шагу 28. Нет: переход к шагу 23
23,Председатель,—,—,Сформировать замечания,—,"Председатель формирует замечания, если форма по ОКУД некорректна"
24,Председатель,—,—,Передать замечания,—,Председатель передает замечания в отдел бухгалтерии
25,Отдел бухгалтерии,—,—,Исправить по замечаниям,—,Отдел бухгалтерии исправляет форму согласно замечаниям председателя
26,Отдел бухгалтерии,—,—,Передать на повторное согласование,—,Отдел бухгалтерии передает форму на повторное согласование председателю
27,Система,—,—,Создать задачу,—,Отдел бухгалтерии создает задачу в системе 
28,Председатель,—,"",Эксклюзивный шлюз,—,"Эксклюзивный шлюз, переход к шагу 29"
29,Председатель,—,—,Согласовать,—,Председатель суда согласовывает форму по ОКУД после исправлений
30,Система,—,—,Изменить стадию сущности,—,Система изменяет стадию сущности
31,Система,—,—,Передать для направления в УСД,—,Система передать документацию для направления в УСД'.
32,Система,—,—,Направить в УСД,—,Система направляет данные в УСД
33,Отдел бухгалтерии,—,—,Бюджетное ассигнование для финансирования деятельности суда обосновано. Документы переданы в УСД,—,Бюджетное ассигнование для финансирования деятельности суда обосновано. Документы переданы в УСД
