№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Сотрудник отдела кадров,"","",Сотрудник АС согласован и принят в штат,__,"Процесс стартует, когда сотрудник арбитражного суда согласован и принят в штат, так же процесс может стартовать если есть необходимость получения удостоверения в случаях: смены ФИО, утери удостоверения, перевод из другого отделения."
1,Сотрудник отдела кадров,"",__,Проверить наличие бланков удостоверений,__,Сотрудник отдела кадров проверяет наличие у него пустых бланков удостоверении.
2,Сотрудник отдела кадров,"","",Бланки удостоверения в наличии? Эксклюзивный шлюз,__,"Сотрудник отдела кадров смотрит есть ли в наличии бланки удостоверений?Если «Да», то переход к шагу 7Если «Нет», то переход к шагу 3"
3,Сотрудник отдела кадров,"",Запрос,Сформировать запрос в УСД,__,Сотрудник отдела кадров формирует запрос в УСД на получения бланков
4,Сотрудник отдела кадров,"",__,Передать запрос,__,Сотрудник отдела кадров направляет запрос в УСД
5,Сотрудник отдела кадров,"",__,Ожидать поступление бланков,__,Сотрудник отдела кадров ожидает поступления бланков удостоверений
6,Сотрудник отдела кадров,"",Бланки удостоверения,Бланки получены,__,Сотрудник отдела кадров получает от УСД бланки удостоверений
7,Сотрудник отдела кадров,"","",Эксклюзивный шлюз,__,"Эксклюзивный шлюз для шага 2 процесса, переход к шагу 8"
8,Сотрудник отдела кадров,"",Запись об удостоверении в журнале учета удостоверений,Зарегистрировать бланки удостоверений в журнале,__,Сотрудник отдела кадров регистрирует бланки удостоверений в журнале учета бланков удостоверений
9,Сотрудник отдела кадров,"",Удостоверение,Наклеить фотографию,__,"Сотрудник отдела кадров приклеивает фотографию сотрудника суда, которому выдается удостоверение."
10,Сотрудник отдела кадров,"",__,Наклеить голограмму круглой формы,__,Сотрудник отдела кадров наклеивает голограмму круглой формы на удостоверение
11,Сотрудник отдела кадров,"",__,Поставить гербовую печать на нижний угол фотографии,__,Сотрудник отдела кадров проставляет гербовую печать на нижний угол фотографии
12,Сотрудник отдела кадров,"",__,Заполнить срок действия удостоверения,__,Сотрудник отдела кадров заполняет срок действия удостоверения
13,Сотрудник отдела кадров,"",__,Заполнить данные суда,__,"Сотрудник отдела кадров заполняет данные суда, в который принят сотрудник"
14,Сотрудник отдела кадров,"",Удостоверение,Занести реквизиты сотрудника,__,"Сотрудник отдела кадров заполняет реквизиты сотрудника (ФИО, должность, год рождения)"
15,Сотрудник отдела кадров,"",__,Передать на подпись председателю,__,Сотрудник отдела кадров передает заполненное удостоверение на подпись председателю суда.
16,Председатель суда,"",Удостоверение,Подписать бланк удостоверения,__,Председатель суда подписывает заполненный бланк удостоверения и после этого удостоверение считается действующим
17,Председатель суда,"",__,Передать подписанное удостоверение для вручения сотруднику,__,Председатель суда передает уже действующее удостоверение для последующего вручения сотруднику
18,Сотрудник отдела кадров,"",Запись об удостоверении в журнале учета удостоверений,Сделать запись в журнале учета удостоверений,__,"Сотрудник отдела кадров делает запись в журнале учета удостоверений о новом выдаваемом удостоверении, указывая в нем номер удостоверения и фамилию сотрудника, которому оно выдается, а также срок действия удостоверения."
19,Сотрудник отдела кадров,"",__,Передать удостоверение сотруднику по журналу,__,Сотрудник отдела кадров передает удостоверение сотруднику по журналу
20,Сотрудник,"",Удостоверение,Поставить подпись в удостоверении,__,"Сотрудник суда, которому выдается удостоверение, ставит подпись в самом удостоверении"
21,Сотрудник,Запись об удостоверении в журнале учета удостоверений,__,Поставить подпись в журнале о выдачи удостоверения,__,"Сотрудник суда, которому выдается удостоверение, ставит подпись в журнале о выдачи удостоверения, подтверждая получения удостоверения на руки"
22,Сотрудник,"",__,Удостоверение выдано. Завершающее событие,__,Завершения процесса оформления служебного удостоверения. Служебное удостоверение выдано сотруднику суда.
