№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Руководитель МТО,—,—,Возникла необходимость в списании ТМЦ,—,Возникла необходимость в списании ТМЦ
1,Руководитель МТО,Учетная политика,—,Ознакомиться с учетной политикой,—,Руководитель МТО знакомиться с учетной политикой
2,Руководитель МТО,—,Порядок и причина списания ТМЦ определены,Определить порядок и причину списания ТМЦ,—,Руководитель МТО определяет порядок и причину списания ТМЦ
3,Руководитель МТО,Порядок и причина списания ТМЦ определены,—,Какой порядок и причина списания ТМЦ?Эксклюзивный открывающий шлюз,—,Эксклюзивный шлюз Какой порядок и причина списания ТМЦ?Расходование в деятельности - переход к шагу 4ТМЦ испорчены/утрачены - переход к шагу 5
4,Руководитель МТО,—,Журнал выдачи ТМЦ,Передать документы подтверждающие расход ТМЦ,—,"Руководитель МТО направляет комиссии журналы выдачи ТМЦ, которые подтверждают расходы ТМЦ"
5,Система,—,Акт о результатах инвентаризации,ОБП30:Участвовать в инвентаризации,—,"Переход к ОБП30:Участвовать в инвентаризации, итогом процесса является подготовленный Акт о результатах инвентаризации"
6,Главный бухгалтер,Акт о результатах инвентаризации,Акт о результатах инвентаризации,Указать причину списания,—,Главный бухгалтер указывает в акте инвентаризации причину списания ТМЦ
7,Комиссия,—,—,Какая причина списания ТМЦ?. Эксклюзивный открывающий шлюз,—,Эксклюзивный шлюз Какая причина списания ТМЦ?Порча - переход к шагу 8Утрата - переход к шагу 9
8,Комиссия,Акт о результатах инвентаризации,Решение о прекращении признания активами объектов нефинансовых активов,Признать испорченные ТМЦ не активами,—,Комиссия формирует решение о прекращении признания активами объектов нефинансовых активов
9,Комиссия,—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный шлюз. Закрывающий шлюз, объединяющий потоки из 7-го, 8-го шага"
10,Комиссия,—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный шлюз. Закрывающий шлюз, объединяющий потоки из 4-го, 9-го шага"
11,Комиссия,—,Акт о списании материальных запасов,Принять решение о выбытие активов,—,Комиссия принимает решение о выбытие активов
12,Комиссия,—,—,ТМЦ утрачены?Эксклюзивный открывающий шлюз,—,Эксклюзивный шлюз ТМЦ утрачены?Если да - переход к шагу 14Если нет - переход к шагу 13
13,Комиссия,—,Акт об утилизации (уничтожении) материальных ценностей,Принять решение об утилизации отходов,—,Комиссия принимает решение об утилизации отходов
14,Комиссия,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 12-го, 13-го шага",Эксклюзивный закрывающий шлюз,—,"Эксклюзивный шлюз. Закрывающий шлюз, объединяющий потоки из 12-го, 13-го шага"
15,Главный бухгалтер,—,—,Провести бухгалтерские операции,—,После принятия решения комиссией о дальнейшей судьбе ТМЦ главный бухгалтер проводит бухгалтерские операции
16,Главный бухгалтер,—,—,Требуется учесть на забалансовых счетах?Эксклюзивный открывающий шлюз,—,Эксклюзивный шлюз ТМЦ утрачены?Если да - переход к шагу 17Если нет - переход к шагу 18
17,Главный бухгалтер,—,—,Учесть ТМЦ на забалансовых счетах,—,Главный бухгалтер учитывает ТМЦ на забалансовых счетах
18,Главный бухгалтер,—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный шлюз. Закрывающий шлюз, объединяющий потоки из 16-го, 17-го шага"
19,Главный бухгалтер,—,—,ТМЦ списаны.,—,Завершение процесса
