№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Председатель суда,—,—,Возникла необходимость составить сводную номенклатуру дел,По мере выявления необходимости,"Председатель фиксирует необходимость актуализации сводной номенклатуры и инициирует процесс.Согласно ст.44.1 Постановление Пленума ВАС РФ от 25.12.2013 N 100:Сводная номенклатура дел представляет собой ежегодный систематизированный перечень заголовков дел, заводимых в судебных составах и подразделениях арбитражного суда, с указанием сроков их хранения. Она предназначена для группировки в дела исполненных документов, образующихся в процессе работы, их систематизации, учета, индексации и определения сроков хранения.Сводная номенклатура дел арбитражного суда:а) утверждается председателем арбитражного суда после ее согласования с экспертной комиссией арбитражного суда не позднее конца текущего года и вводится в действие с 1 января следующего года;б) один раз в 5 лет согласовывается с экспертно-проверочной комиссией уполномоченного органа исполнительной власти субъекта Российской Федерации в области архивного дела.Судебные дела, апелляционные и кассационные производства в сводную номенклатуру дел не включаются.Сводная номенклатура дел является основой для составления описей дел постоянного и долговременного (свыше 10 лет) хранения, сдаваемых в архив арбитражного суда, а также используется для учета дел временного (до 10 лет включительно) хранения, находящихся в судебных составах и подразделениях."
1,Председатель суда,—,Карточка дела сводной номенклатуры,Создать новый объект сводной номенклатуры,—,Председатель суда создает в системе новую карточку дела сводной номенклатуры
2,Председатель суда,Карточка дела сводной номенклатуры,Карточка дела сводной номенклатуры,Определить сроки подготовки и утверждения номенклатуры,—,Председатель суда выполняет задачу: определяет сроки подготовки и утверждения номенклатуры и вносит эту информацию в ранее созданную карточку дела сводной номенклатуры.
3,Председатель суда,Карточка дела сводной номенклатуры,Карточка дела сводной номенклатуры,Определить ответственных лиц,—,Председатель суда выполняет задачу: определяет ответственных лиц и вносит эту информацию в ранее созданную карточку дела сводной номенклатуры.
4,Система,Карточка дела сводной номенклатуры,Задача-поручение создана,Создать задачу-поручение,—,"После определения ответственных лиц, система создает задачу для этих лиц."
5,Система,Карточка дела сводной номенклатуры,"Анализ НПА,Карточка дела сводной номенклатуры",Провести анализ НПА,—,"Система выполняет задачу: 'Провести анализ НПА'. Используя LLM система готовит развернутый и обоснованный анализ, представленный в виде отдельного документа, прикрепленного к карточке дела сводной номенклатуры"
6,Система,Анализ НПА,Задача на проверку анализа,Создать задачу на проверку анализа,—,Система создает задачу на проверку анализа.
7,Руководитель архива,"Анализ НПА, Задача на проверку анализа",Анализ НПА (проверен),ТБП139: Проверить выводы системы,—,"Руководитель архива проверяет подготовленный системой Анализ НПА, при необходимости внося коррективы."
8,Система,Карточка дела сводной номенклатуры,"Разделы номенклатуры, Карточка дела сводной номенклатуры",Определить разделы номенклатуры,—,"Используя LLM система определяет необходимые разделы номенклатуры, представляя результат в виде отдельного документа, прикрепленного к карточке дела сводной номенклатуры"
9,Система,Разделы номенклатуры,Задача на проверку разделов номенклатуры,Создать задачу на проверку раздела номенклатуры,—,Система создает задачу на проверку определенных разделов номенклатуры.
10,Начальник отдела делопроизводства,"Разделы номенклатуры, Задача на проверку разделов номенклатуры",Разделы номенклатуры (проверены),ТБП139: Проверить выводы системы,—,"Начальник отдела делопроизводства проверяет определенные системой разделы номенклатуры, при необходимости внося коррективы."
11,Руководители подразделений суда,Карточка дела сводной номенклатуры,Карточка дела сводной номенклатуры,Включить в номенклатуру заголовки дел,—,"В номенклатуру дел включаются заголовки дел, отражающие все документируемые участки работы структурных подразделений арбитражного суда."
12,Начальник отдела делопроизводства,—,—,Эксклюзивный закрывающий шлюз,—,"Закрывающий шлюз, объединяющий потоки из 11-го, 16-го шага"
13,Система,Карточка дела сводной номенклатуры,"Номенклатура, полученная от подразделений,Карточка дела сводной номенклатуры",Получить номенклатуру от подразделений,—,"Система получает номенклатуру от подразделений, заполняя специальный раздел в карточке дела сводной номенклатуры"
14,Начальник отдела делопроизводства,"Номенклатура, полученная от подразделений",—,Все ли подразделения передали номенклатуру? Эксклюзивный открывающий шлюз,—,Все ли подразделения передали номенклатуру?Если нет – переход к шагу 15.Если да – переход к шагу 17.
15,Система,—,Задача на передачу номенклатуры,Поставить задачу на передачу номенклатуры,—,Система выполняет задачу: 'Поставить задачу на передачу номенклатуры'.
16,Система,—,—,Уведомить ответственных лиц о задержке,—,Система выполняет задачу: 'Уведомить ответственных лиц о задержке'.
17,Система,Карточка дела сводной номенклатуры,"Проект сводной номенклатуры, Карточка дела сводной номенклатуры",Сформировать проект сводной номенклатуры,—,"Система на основании поступивших материалов формирует сводный проект документа, добавляя его в карточку дела сводной номенклатуры. Согласно ст. 44.5, 44.6 Постановление Пленума ВАС РФ от 25.12.2013 N 100:44.5. Сводная номенклатура дел арбитражного суда формируется в соответствии со структурой суда. Названиями разделов номенклатуры являются наименования судебных составов и структурных подразделений.44.6. Сводная номенклатура дел арбитражного суда на предстоящий календарный год составляется работником архива в последнем квартале текущего года на основании номенклатур дел судебных составов и подразделений, утвержденных их руководителями и представляемых в архив не позднее 1 декабря текущего года (приложение N 64)."
18,Система,Карточка дела сводной номенклатуры,Карточка дела сводной номенклатуры,Указать сроки хранения и номера статей по перечню,—,Система на основе собранных материалов указывает сроки хранения и номера статей по перечню
19,Руководитель архива,Проект сводной номенклатуры,Проект сводной номенклатуры,Подписать сводную номенклатуру,—,Руководитель архива выполняет задачу: 'Подписать сводную номенклатуру'.
20,Начальник отдела делопроизводства,Проект сводной номенклатуры,Проект сводной номенклатуры,Подписать сводную номенклатуру,—,Начальник отдела делопроизводства выполняет задачу: 'Подписать сводную номенклатуру'.
21,Экспертная комиссия,Карточка дела сводной номенклатуры,"Сводная номенклатура, Протокол экспертной комиссии суда",Согласовать сводную номенклатуру,—,Экспертная комиссия проверяет собранные материалы и согласовывает сводную номенклатуру через экспертно-проверочную комиссию уполномоченного органа исполнительной власти субъекта Российской Федерации в области архивного дела
22,Система,Протокол Экспертно-проверочной комиссии,Сводная номенклатура (согласованна),Получить согласованную номенклатуру,—,Система получает согласованную сводную номенклатуру использую интегрированные каналы связи.
23,Председатель суда,Сводная номенклатура,Сводная номенклатура (утверждена),Утвердить сводную номенклатуру дел,—,Председатель суда утверждает сводную номенклатуру дел.
24,Начальник отдела делопроизводства,Проект сводной номенклатуры,Проект сводной номенклатуры (зарегистрирован),Зарегистрировать документ,—,Начальник отдела делопроизводства выполняет задачу: 'Зарегистрировать документ'.
25,Начальник отдела делопроизводства,Проект сводной номенклатуры,—,Опубликовать документ,—,Начальник отдела делопроизводства публикует проект сводной номенклатуры
26,Начальник отдела делопроизводства,Проект сводной номенклатуры,—,Уведомить сотрудников суда о публикации документа,—,Начальник отдела делопроизводства уведомляет сотрудников суда о публикации документа.
27,Система,Карточка дела сводной номенклатуры,—,Определить место хранения документа,—,Система определяет электронное место хранения сводной номенклатуры
28,Система,Проект сводной номенклатуры,"Номенклатурное дело,Карточка дела сводной номенклатуры",Сохранить в номенклатурное дело,—,Система выполняет задачу: 'Сохранить в номенклатурное дело'.
29,Начальник отдела делопроизводства,—,—,Сводная номенклатура дел утверждена. Документ подшит в номенклатурное дело.,—,—
