№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Начальник отдела информатизации суда,-,-,Выявлена необходимость проведения оценки соответствия имеющихся КИТ требованиям суда,—,В суде появляется необходимость проведения оценки соответствия имеющихся компьютерно-информационных технологий (далее - КИТ) требованиям суда
1,Начальник отдела информатизации суда,—,—,Провести в суде анализ потребности в КИТ,—,Провести в суде анализ потребности в КИТ
2,Начальник отдела информатизации суда,—,"",Потребность имеется?Эксклюзивный открывающий шлюз,—,"Сотрудник управления информатизации суда определяет имеется ли потребность в обеспечении КИТЕсли ""Да"", то переход к шагу 4 ""Оценить возможность комплектования и определение бюджета"". Если ""Нет"", то переход к шагу 3 ""Суд обеспечен всеми КИТ"""
3,Начальник отдела информатизации суда,—,—,Суд обеспечен всеми КИТ,—,"Завершающее событие, если суд обеспечен всеми КИТ"
4,Начальник отдела информатизации суда,—,—,Оценить возможность комплектования и определение бюджета,—,Оценить возможность комплектования и определение бюджета
5,Начальник отдела информатизации суда,—,"",Возможно ли выделить бюджет?Эксклюзивный открывающий шлюз,—,"Сотрудник управления информатизации суда определяет возможно ли выделить бюджет?Если да, то переход к шагу 7. Если нет, то переход к шагу 6"
6,Начальник отдела информатизации суда,—,—,Согласовать выделение бюджета,—,Согласовать выделение бюджета
7,Начальник отдела информатизации суда,—,"",Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 5-го, 6-го шага"
8,Начальник отдела информатизации суда,—,—,Разработать детальный план внедрения КИТ,—,Разработать детальный план внедрения КИТ
9,Начальник отдела информатизации суда,—,—,ОБП18:Участвовать в госзакупках,—,"Переход в обеспечивающий процесс ОБП18:Участвовать в госзакупках, результатом которого будет участие в госзакупках и фиксирование данных в системе."
10,Начальник отдела информатизации суда,—,—,Осуществить КИТ,—,Осуществить КИТ
11,Начальник отдела информатизации суда,Контракт,Акт приемки КИТ,Подписать акт приема-передачи,—,Управление информатизации суда подписывает акт приема-передачи КИТ
12,Начальник отдела информатизации суда,—,—,Организовано обеспечение современными КИТ,—,Завершающее событие организации обеспечения современными КИТ
