№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,-,-,Изменился закон,-,Изменилось законодательство (изменен/принят новый НПА)
1,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,Измененный закон,-,Ознакомиться с изменениями в законодательстве,-,Ознакомиться с изменениями в законодательстве
2,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,-,-,Загрузить измененный закон в систему,-,Сотрудник отдела обобщения судебной практики и анализа судебной статистики выполняют задачу: 'Загрузить измененный закон в систему'.
3,Система,-,-,Выполнить анализ изменений,-,Система выполняет задачу: 'Выполнить анализ изменений' используя интеграции.
4,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,-,-,ТБП139.Проверить выводы системы,-,"Переход в типовой процесс ТБП139.Проверить выводы системы, результатом которого будет валидированные данные занесенные в систему или отчет об ошибке в техническую поддержку."
5,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,-,"",Нужно ли информировать работников суда?. Эксклюзивный открывающий шлюз,-,"Сотрудник принимает решение о необходимости принятия или изменения локальных актов. Эксклюзивный шлюзЕсли да, то переход к шагу 6 ОБП48:Принять локальный акт. Если нет, то переход к шагу 7"
6,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,-,-,Информирование работников об изменениях в законодательстве,-,Переход в процесс Информирование работников об изменениях в законодательстве.
7,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,-,-,Создать/ изменить локальные НПА. Эксклюзивный закрывающий шлюз,-,"Сотрудник отдела обобщения судебной практики и анализа судебной статистики инициирует процесс ОБП48:Принять локальный акт. Эксклюзивный закрывающий шлюз, объединяющий потоки из 5-го, 6-го шага"
8,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,-,-,Требуется ли создание/изменение локальных НПА?. Эксклюзивный открывающий шлюз,-,"Если да, то переход к шагу 10. Если нет, то переход к шагу 9"
9,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,-,-,Локальные НПА оставлены без изменений,-,Локальные НПА оставлены без измененийЗавершение процесса
10,Система,Локальный НПА в соответствии с изменениями законодательства,"Измененный закон, Локальный НПА (при наличии)",Создать/ изменить локальные НПА,-,Система выполняет задачу: 'Создать/ изменить локальные НПА'. Вносит изменения и информирует подписанных на данный объект пользователей об изменении.
11,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,-,-,Локальные НПА созданы или изменены в соответствии с изменениями в законодательстве,-,Локальные НПА созданы или изменены в соответствии с изменениями в законодательствеЗавершение процесса.
