№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Руководитель отдела эксплуатации здания,—,—,Возникла необходимость проверки надлежащей эксплуатации здания,—,Возникла необходимость проверки надлежащей эксплуатации здания
1,Руководитель отдела эксплуатации здания,—,—,Создать сущность проверка,—,Руководитель отдела эксплуатации здания выполняет задачу: Создать сущность проверка
2,Руководитель отдела эксплуатации здания,—,—,Определить участников проверки,—,Руководитель отдела эксплуатации здания определяет участников проверки
3,Руководитель отдела эксплуатации здания,—,"",Проверка проводиться комиссионно?,—,"Эксклюзивный  шлюзПроверка проводиться комиссионно?Если да, то переход к шагу 4. Если нет, то переход к шагу 5"
4,Председатель суда,—,Локальный акт об утверждении комиссии,Утвердить состав комиссии,—,Председатель суда утверждает состав комиссии
5,Руководитель отдела эксплуатации здания,—,"",Эксклюзивный шлюз,—,"Эксклюзивный шлюз объединяющий потоки из 3-го, 4-го шага"
6,Руководитель отдела эксплуатации здания,—,—,Провести проверку,—,Руководитель отдела эксплуатации здания проводит проверки надлежащей эксплуатации здания
7,Руководитель отдела эксплуатации здания,—,"",Проверка установила надлежащую эксплуатацию?,—,"Эксклюзивный  шлюзЕсли да, то переход к шагу 8. Если нет, то переход к шагу 9"
8,Руководитель отдела эксплуатации здания,—,—,Обеспечена надлежащая эксплуатация здания.,—,Завершение процесса
9,Руководитель отдела эксплуатации здания,—,—,Установить факт нарушения,—,Руководитель отдела эксплуатации здания устанавливает факт нарушения
10,Руководитель отдела эксплуатации здания,—,—,Сообщить о нарушении председателю,—,Руководитель отдела эксплуатации здания сообщает о нарушении председателю
11,Председатель суда,—,Локальный акт по устранению нарушений,Разработать меры по устранению нарушения,—,Председатель суда разрабатывает меры по устранению нарушений
12,Руководитель отдела эксплуатации здания,—,—,Исполнить поручение,—,Руководитель отдела эксплуатации здания исполняет поручение и устраняет нарушения 
13,Руководитель отдела эксплуатации здания,—,—,Установить устранение нарушения,—,Руководитель отдела эксплуатации здания оценивает исполнение поручения и устанавливает факт устранения нарушений 
14,Руководитель отдела эксплуатации здания,—,—,Нарушения устранены. Обеспечена надлежащая эксплуатация здания.,—,Завершение процесса
