№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Председатель суда,—,—,Начало планирования закупок,—,Председатель суда начинает планирование закупок Предусловия:1. Сформирован бюджет2. Соблюдены сроки
1,Председатель суда,—,—,Создать сущность для сбора информации,—,Председатель суда создает сущность для учета информации 
2,Председатели судебных коллегий и судебных составов,—,—,Организовать сбор потребностей в печатных изданиях,—,"Председатели судебных коллегий и судебных составов организовывают сбор потребностей в печатных изданиях посредством личного общения или личной переписки, посредством официальной переписки по электронной почте, посредством объявления о сборе заявок на собраниях."
3,Система,-,Перечень потребностей в печатных изданиях,Отправить на почту уведомление ссылкой на сущность,—,"Судьи формируют потребность в печатных изданиях с указанием количества и необходимых экземпляров. Сформированная потребность может быть оформлена как на бумаге, так и электронно."
4,Судьи,—,—,Сформировать потребности в печатных изданиях,—,"Судьи формируют потребность в печатных изданиях с указанием количества и необходимых экземпляров. Сформированная потребность может быть оформлена как на бумаге, так и электронно."
5,Председатели судебных коллегий и судебных составов,Перечень потребностей в печатных изданиях,Заявка,Запустить проверку повторений,—,Председатели судебных коллегий и судебных составов формируют заявку на потребность в печатных изданиях и направляют ее в отдел обобщения судебной практики и анализа судебной&nbsp; статистики.
6,Система,—,—,Изучить перечень потребностей в печатных изданиях,—,Председатели судебных коллегий и судебных составов изучают полученные от судей сформированные потребности в печатных изданиях.
7,Председатели судебных коллегий и судебных составов,—,—,Изменить стадию сущности заявки,—,Председатели судебных коллегий и судебных составов формируют заявку на потребность в печатных изданиях и направляют ее в отдел обобщения судебной практики и анализа судебной&nbsp; статистики.
8,Система,-,-,Изменить ответсвенного,—,"Если да, то переход к шагу 10, Если нет, переход к шагу 9."
9,Система,-,-,Создать задачу,—,Переход в шаг 22.
10,"Отдел, ответственный за закупку печатных изданий",—,—,Изучить заявку,—,Отдел обобщения судебной практики и анализа судебной статистики изучает заявку на приобретение печатных изданий
11,"Отдел, ответственный за закупку печатных изданий",—,"",Необходимо передать в финансовый отдел?. Эксклюзивный открывающий шлюз,—,"Если да, то переход к шагу 13. Если нет, то переход к шагу 12"
12,"Отдел, ответственный за закупку печатных изданий",—,—,Переход в шаг 29,—,Переход в шаг 29
13,"Отдел, ответственный за закупку печатных изданий",—,—,Отправить на согласование в финансовый отдел,—,Отдел обобщения судебной практики и анализа судебной статистики отправляет перечень необходимых печатных изданий на согласование в финансовый отдел.
